		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-08-29	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
9 inch diff conversions brisbane		7	6	5	4	2	2	1	2	2	3	1	1	2	2	2	1	1	1	2	4	3	3	3	3	5	6	6	6	5	3	5	5	3	5	2	2	2	2
9 inch diff conversions perth		6	7	3	3	4	3	4	6	7	6	7	5	7	7	2	2	2	2	4	4	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
9 inch diff conversions sydney		3	3	3	2	1	1	3	2	2	2	3	3	5	4	5	4	4	4	3	4	5	3	2	5	3	4	3	4	3	4	4	4	3	3	2	3	2	3
bearing manufacturer brisbane		9	13	14	12	10	20	12	10	19	31	30	18	16	18	20	24	19	25	27	28	29	24	13	12	14	12	31	18	-	17	17	18	21	18	20	18	20	18
bearing manufacturer melbourne		-	-	-	-	12	12	9	9	12	12	14	13	14	12	14	14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19	23	21	19	-	19	16
bearing manufacturer sydney		5	4	8	9	8	10	11	9	9	12	12	10	12	13	11	11	11	13	13	15	16	13	16	15	11	11	15	16	18	13	14	14	17	18	14	16	14	13
bearing manufacturers		16	11	16	11	17	17	21	18	12	11	11	8	13	9	-	53	13	-	-	-	-	-	-	-	-	-	-	-	-	29	9	14	36	12	10	26	-	9
bearing manufacturing company		5	8	7	14	7	15	17	11	6	7	4	7	6	5	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	6	27	8	10	5	5	-	6
car parts adelaide		98	-	-	-	-	-	-	-	-	-	86	96	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
car parts auckland		-	97	-	-	59	78	82	49	51	-	-	65	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
car parts brisbane		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	89	-	-	-	96	-	-	-	-	-	-	-	-	-	-	-	-	-
car parts darwin		51	48	49	65	69	67	71	57	51	53	48	50	52	46	57	15	45	42	48	40	50	46	55	55	55	55	65	59	52	53	61	64	59	51	39	56	50	67
car parts for sale brisbane		24	39	82	39	48	49	54	46	32	28	26	25	26	26	35	34	40	38	42	45	43	37	43	43	44	46	53	58	68	79	78	89	93	-	-	97	-	-
car parts for sale melbourne		48	34	50	-	46	49	43	22	26	-	-	-	17	27	21	23	30	24	-	-	43	36	-	-	-	40	66	44	47	44	43	68	52	56	49	57	44	67
car parts for sale perth		31	48	42	42	39	40	34	35	28	25	27	25	32	34	27	24	-	20	19	24	44	39	37	38	33	25	32	56	71	33	29	-	49	51	51	55	53	59
car parts perth		-	-	96	-	-	-	94	76	73	82	64	74	74	77	-	72	71	73	73	74	94	85	84	87	91	-	-	-	-	-	-	-	-	-	-	-	-	-
car parts sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
car repairs melbourne		-	-	-	-	-	-	-	-	-	91	-	-	82	63	87	77	49	77	71	50	-	-	59	62	62	60	-	96	-	-	-	-	-	-	-	-	-	-
cheap car parts melbourne		31	-	48	-	63	53	49	97	34	-	-	-	27	47	25	27	50	48	-	-	-	27	-	-	-	-	-	46	51	45	47	49	69	70	30	47	44	86
custom axles		1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	26	1
custom made axles		2	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
custom made axles sydney		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
diff conversions		2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
diff conversions brisbane		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
diff conversions sydney		2	2	2	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
diff lockers brisbane		31	36	23	16	28	20	19	19	18	19	17	16	14	15	20	21	26	19	20	23	27	30	38	30	27	23	21	32	20	23	50	59	67	51	49	52	47	54
diff lockers perth		38	37	29	25	29	37	43	33	29	30	34	28	32	28	31	32	28	28	29	32	33	35	33	35	38	46	44	62	27	29	34	28	26	29	30	29	55	57
diff repairs adelaide		4	3	4	3	3	3	4	3	3	3	3	3	3	3	3	3	3	2	4	3	2	2	2	2	2	2	3	2	2	2	2	2	2	3	2	2	4	3
diff repairs auckland		6	6	5	6	7	5	6	5	7	7	6	7	7	7	7	7	6	5	6	5	4	2	3	2	2	2	2	2	2	2	2	2	2	2	2	1	6	5
diff repairs brisbane		9	8	8	6	6	7	6	6	5	6	7	6	7	7	4	4	4	4	5	5	7	4	5	3	5	4	5	6	6	6	6	7	7	7	6	6	5	7
diff repairs gold coast		27	35	48	42	44	14	25	17	22	10	19	14	19	21	26	21	17	16	27	17	14	12	16	17	12	10	8	10	14	11	9	9	7	7	5	6	11	6
diff repairs perth		5	5	5	5	5	6	6	6	5	6	7	8	8	7	7	8	8	8	7	7	6	7	6	6	6	6	7	6	6	5	5	6	6	6	6	6	7	10
diff repairs sydney		5	3	5	4	6	5	5	6	8	7	8	8	7	8	8	9	8	8	7	7	7	5	5	5	4	4	4	3	4	2	3	3	2	2	2	2	3	3
diff specialist adelaide		4	4	4	3	4	3	3	3	3	3	3	3	3	3	3	4	4	3	4	4	3	3	3	3	3	4	3	3	3	3	4	4	4	3	3	3	3	3
diff specialist auckland		6	6	6	5	4	6	6	6	7	7	6	6	7	6	7	4	4	3	3	3	3	3	2	3	2	2	2	2	2	3	2	3	2	2	5	2	3	3
diff specialist brisbane		5	5	5	5	4	6	4	3	3	4	4	4	4	5	3	4	4	4	3	3	3	3	3	4	5	4	3	4	3	3	2	3	2	2	3	2	2	2
diff specialist melbourne		6	4	3	3	3	4	4	4	4	4	4	4	4	5	6	6	5	4	3	3	4	2	2	2	2	2	1	1	1	1	1	1	1	2	1	1	1	1
diff specialist sydney		2	2	4	5	6	6	4	4	6	7	6	6	7	6	6	8	7	5	5	5	6	7	6	6	4	5	3	3	3	4	4	5	3	3	3	3	3	2
differential specialist perth		7	7	6	7	6	7	8	6	8	8	8	8	8	8	8	8	7	7	8	8	7	6	6	6	7	8	8	6	5	5	6	7	6	6	8	7	8	6
drive shaft balancing brisbane		3	3	4	3	3	4	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	4	4	4	3	3	3	3	5	5	3	3	4	4	5	4
drive shaft repairs brisbane		6	9	12	8	8	8	6	8	9	8	10	12	14	16	10	13	6	7	8	9	6	8	9	6	7	10	14	10	6	7	8	9	5	4	4	7	9	8
drive shaft repairs perth		14	18	14	14	14	13	15	10	14	12	14	18	22	-	17	14	12	13	12	14	20	17	14	20	14	15	15	15	16	17	18	18	16	16	16	15	15	15
drive shaft repairs sydney		6	9	13	11	7	7	10	9	9	11	12	12	17	18	18	16	12	17	14	21	16	21	21	21	18	16	14	15	15	13	14	10	9	9	9	13	12	12
drive shafts adelaide		3	5	5	3	4	5	4	4	6	9	12	14	16	15	10	11	7	12	5	16	-	18	17	18	17	16	15	15	18	15	22	20	11	14	17	13	12	12
drive shafts brisbane		11	11	13	13	14	13	12	12	13	12	16	17	24	27	16	16	12	11	9	13	12	9	14	11	16	18	19	15	18	20	18	23	18	18	15	17	15	16
drive shafts melbourne		12	8	9	9	11	8	9	8	8	8	8	9	10	8	6	9	7	10	13	13	11	13	12	14	18	19	17	23	25	16	21	22	14	14	11	13	16	16
drive shafts perth		12	25	15	13	18	32	30	21	29	31	36	49	12	11	11	14	10	12	13	14	19	23	24	21	24	20	20	20	22	20	25	20	25	24	21	21	21	21
drive shafts sydney		16	13	18	14	12	15	15	14	16	24	27	37	39	33	37	42	15	36	35	45	32	41	34	38	40	29	31	32	34	32	36	36	-	50	19	21	19	18
driver shafts for sale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
driveshaft balancing		9	4	9	11	7	4	9	8	5	22	6	5	4	4	2	4	4	7	5	13	3	6	6	6	8	7	23	25	25	8	6	6	3	18	19	22	15	20
driveshaft balancing perth		9	18	18	13	14	16	12	11	11	12	12	11	11	12	9	10	10	12	10	17	12	14	11	10	11	11	16	16	16	11	15	15	10	12	13	15	14	12
driveshaft repairs auckland		15	21	24	18	19	24	14	11	13	11	16	16	18	16	14	22	13	17	14	19	8	15	13	14	13	14	11	12	14	12	12	10	9	10	11	10	12	11
driveshaft repairs melbourne		5	3	6	6	4	5	4	6	5	5	4	5	7	5	7	7	5	6	5	8	5	11	12	11	14	13	9	13	13	11	15	14	10	10	6	9	11	6
driveshafts for sale		7	9	-	7	-	12	17	-	6	8	6	15	7	8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	86	87	55	-
engine changeover		10	34	56	24	43	42	55	73	31	51	-	-	-	-	-	-	53	-	9	9	23	32	33	31	9	10	6	6	6	5	8	5	4	5	3	6	3	6
prop shaft balancing		7	6	6	7	5	5	5	4	3	3	4	4	5	4	3	3	4	4	3	4	3	3	3	2	3	3	3	4	5	7	3	5	9	4	54	7	4	3
propeller shaft manufacturer sydney		4	19	6	5	7	5	5	6	8	8	9	8	9	8	8	7	7	7	7	6	7	5	4	4	5	4	7	5	4	4	6	5	4	5	8	6	5	7
propeller shaft manufacturers		41	36	59	26	25	33	19	12	9	9	5	9	14	17	11	15	12	7	10	6	11	6	6	5	12	14	15	17	17	13	13	21	16	26	29	18	19	18
propeller shaft repair		53	69	67	59	75	37	23	65	8	17	11	11	13	21	34	40	24	12	27	20	18	23	5	4	3	9	8	6	10	14	12	9	10	10	40	46	44	82
tailshaft balancing adelaide		5	4	4	4	4	4	4	4	4	5	4	4	6	5	4	2	2	4	3	4	5	8	5	5	3	3	3	2	2	3	4	3	1	1	3	3	4	4
tailshaft balancing brisbane		4	5	6	4	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	5	4	4	4	4	4	4	3	3	4	4	4	3	4	4	4	4
tailshaft balancing melbourne		4	4	4	4	4	4	4	3	4	2	4	3	4	3	4	4	3	3	4	3	4	4	3	2	6	4	4	4	5	4	5	4	4	4	2	2	2	3
tailshaft balancing perth		8	10	10	9	8	9	9	8	10	11	11	11	13	11	8	8	7	8	8	10	9	8	7	8	9	8	9	7	11	8	9	10	9	10	10	10	10	10
tailshaft balancing sydney		1	3	2	3	3	3	3	3	3	3	3	3	4	3	3	5	2	3	4	6	6	4	4	8	4	4	4	4	4	3	4	4	4	42	2	2	2	5
tailshaft manufacturer melbourne		6	6	5	4	4	4	4	4	4	4	5	6	8	5	6	6	6	5	6	5	6	5	6	8	8	8	7	7	8	6	6	6	6	5	5	5	4	4
truetrac diffs		49	34	24	25	21	46	60	-	-	-	-	-	-	53	-	-	-	-	56	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
universal joint manufacturer melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
universal joint manufacturer sydney		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	2	5	2	1
universal joint manufacturers		3	3	2	2	1	2	3	2	1	2	1	2	2	1	2	4	2	2	3	2	3	3	3	3	3	3	3	3	4	3	3	4	5	5	10	10	9	6
universal joint suppliers		3	3	3	2	2	2	3	3	2	2	2	2	3	2	2	3	3	3	3	3	4	4	3	3	3	3	4	4	6	5	5	7	6	8	10	14	14	8
diff repairs melbourne		5	3	3	3	3	3	3	2	2	2	3	4	4	4	4	5	4	4	2	2	2	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
