		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
4wd mechanic briar hill		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4wd mechanic bundoora		4	4	5	6	5	8	7	6	9	8	7	6	5	9	9	10	7	8	8	7	7	4	5	10	5	5	3	3	4	4	4	3	2	4	3	4	4
4wd service Briar Hill		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4wd service centre Eltham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4wd service centre St Helena		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4wd service Research		1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	3	1	2	2	2	3	1	3	2	3	2	2	3	2	2	4	5	14	18
4x4 mechanic bundoora		4	4	10	15	15	19	14	15	20	23	15	17	20	19	16	18	12	15	12	13	14	15	11	11	10	7	6	6	4	5	4	5	5	4	5	5	7
4x4 mechanic templestowe		4	4	5	6	3	8	7	8	11	10	9	9	10	9	8	9	9	10	9	14	13	2	11	12	3	4	4	6	2	1	1	2	8	1	2	2	3
4x4 mechanic yallambie		1	5	3	3	1	1	1	6	6	5	7	6	6	6	5	5	5	5	3	2	4	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4x4 specialist bundoora		4	4	6	11	12	11	11	15	17	15	8	9	7	10	7	6	6	5	6	5	5	8	8	8	7	6	5	6	6	7	5	6	7	6	7	6	6
4x4 specialist diamond creek		4	5	5	6	6	5	5	6	6	6	6	6	6	6	5	5	6	6	4	6	3	2	6	5	5	5	5	5	5	4	4	4	6	4	6	3	4
4x4 specialist eltham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4x4 specialist greensborough		3	3	3	3	2	3	3	3	2	3	3	3	4	4	6	6	3	6	3	4	5	5	6	3	3	3	3	3	2	3	2	2	2	2	2	2	2
4x4 specialist heidelberg		9	10	8	10	12	9	9	9	7	7	10	14	11	5	5	6	5	6	6	6	7	7	8	7	6	6	7	7	3	6	6	6	4	5	6	7	9
4x4 specialist montmorency		1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
4x4 specialist research		1	1	1	2	2	1	1	1	2	8	2	2	4	1	1	1	1	-	1	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	2
4x4 specialist st helena		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4x4 specialist templestowe		1	2	2	5	3	3	4	4	7	5	4	3	3	4	4	-	4	3	3	2	2	3	3	1	1	2	2	2	1	1	1	1	1	1	1	1	2
4x4 specialist yallambie		1	1	1	1	1	1	1	2	2	2	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
audi service centre research		2	3	2	4	4	2	4	7	3	3	2	2	4	3	2	2	2	3	3	3	1	3	3	3	3	2	3	4	3	3	1	6	4	1	1	-	3
audi service greensborough		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
audi service st helena		1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
auto repair briar hill		19	19	15	20	18	17	18	18	17	18	14	17	16	17	9	14	14	14	14	13	13	29	-	25	15	12	11	11	11	11	10	13	15	14	11	10	12
auto repair bundoora		82	-	62	68	68	80	74	-	68	67	69	-	71	67	-	75	81	-	78	76	77	78	80	77	75	85	96	76	65	79	78	73	51	68	71	49	48
auto repair diamond creek		12	11	4	5	6	6	7	5	7	6	3	4	5	6	4	4	4	5	5	5	5	5	6	4	4	5	4	4	3	2	4	6	5	2	2	2	2
auto repair eltham		13	15	12	12	12	11	12	11	10	10	9	9	9	9	7	7	5	5	6	7	5	6	8	7	6	7	4	5	8	7	8	9	8	7	7	4	5
auto repair greensborough		13	12	11	12	15	19	17	16	18	17	18	17	17	17	12	12	11	13	15	12	13	15	22	24	14	13	16	15	15	15	16	19	19	17	17	16	15
auto repair heidelberg		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	84	-	70	-	71	-	69	-	91	-	-	-	-	-	-	-	66	-	79
auto repair montmorency		7	8	7	8	12	13	13	10	16	19	11	11	11	12	9	10	10	10	10	9	9	9	12	14	10	9	5	5	6	8	8	12	9	5	5	4	4
auto repair research		7	5	4	7	9	5	13	6	3	25	22	29	4	7	23	37	29	30	7	7	24	54	53	55	37	39	24	24	29	42	34	37	27	33	5	43	42
auto repair st helena		28	38	36	39	35	38	39	38	35	29	22	12	14	16	20	17	19	23	20	21	17	28	23	19	-	26	38	3	3	6	5	7	5	5	6	5	3
bmw service centre greensborough		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
car mechanic Diamond Creek		5	8	6	7	9	11	9	10	10	2	5	4	4	7	4	4	6	4	6	6	5	5	8	6	5	6	4	4	2	3	3	5	5	2	2	2	2
car mechanic Eltham		6	5	4	9	7	9	9	6	7	8	6	4	6	6	5	5	2	2	4	3	4	2	3	3	1	3	3	3	4	5	4	4	3	4	6	4	2
car mechanic Greensborough		13	13	13	14	15	24	19	19	18	18	-	20	13	8	5	7	6	6	7	6	6	7	6	7	5	7	7	7	7	6	8	10	11	13	14	14	14
car mechanic Montmorency		5	6	5	5	6	6	6	6	6	7	3	4	5	4	4	4	5	5	7	7	6	7	9	7	6	5	4	4	5	7	3	5	7	6	6	6	4
car mechanic Research		6	16	10	10	12	29	17	32	18	72	25	34	12	37	26	28	87	21	49	-	26	23	26	24	34	36	39	47	53	48	48	56	48	24	26	38	30
car mechanic Templestowe		21	20	21	23	26	37	39	29	33	33	26	27	32	23	35	34	20	30	27	22	37	32	42	-	39	20	31	51	46	-	50	52	26	46	19	19	15
car repairs Eltham		11	9	7	11	10	11	11	10	9	9	8	8	9	8	5	4	2	10	3	3	3	2	3	3	2	3	3	3	4	4	4	3	4	3	5	3	3
car service Diamond Creek		6	6	2	5	5	9	7	5	5	5	3	2	2	2	2	2	4	3	3	3	3	3	3	3	3	3	3	3	2	2	2	3	3	2	2	2	2
car service Eltham		8	7	4	8	7	9	9	8	9	9	4	5	6	4	4	4	4	2	4	3	4	3	5	5	3	2	1	3	6	6	5	5	4	5	7	6	2
car service Greensborough		13	16	12	12	14	17	16	14	13	14	13	12	12	13	9	9	8	8	10	9	12	12	14	12	12	11	15	15	14	12	12	11	17	11	10	12	11
car service Montmorency		9	10	8	8	9	14	13	10	10	15	8	8	10	12	7	7	8	7	8	7	8	7	11	10	7	6	6	6	5	6	5	6	7	3	3	3	2
car service Research		8	9	8	9	10	11	12	75	80	29	16	14	14	46	32	4	4	4	4	5	18	31	29	29	17	21	23	17	10	16	8	16	4	5	6	20	12
car service St Helena		22	22	26	27	32	39	38	45	38	30	36	27	25	25	13	5	8	22	35	16	14	16	13	13	22	5	12	10	3	5	5	3	2	2	3	2	1
car service Yallambie		14	13	7	8	11	6	11	10	6	12	13	13	14	13	13	12	7	5	6	11	4	5	5	5	4	7	7	4	5	7	5	6	4	2	2	1	1
car servicing Briar Hill		13	14	11	14	11	12	15	15	9	12	8	9	9	10	11	11	7	7	7	7	5	5	6	7	6	6	7	5	5	4	5	5	6	6	3	3	3
ford service centre eltham		1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
holden service eltham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
honda service briar hill		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
hyundai service briar hill		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
hyundai service centre diamond creek		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jeep service briar hill		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kia service briar hill		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
log book service Eltham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	2	2	2	2	2	3	3	2	2	3	3	4
mazda service centre montmorency		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
mazda service greensborough		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
mercedes service centre yallambie		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
