		2021-11-16	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-05	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-08	2024-08-16	2024-09-20	2024-10-02	2024-11-14
blocked drains abbotsford		62	1	1	1	2	5	3	4	4	3	22	20	22	21	18	12	2	5	5	5	5	7	6	3	7	8	7	10	9	10	10	9	7	4	7	6	10
blocked drains balwyn		-	26	41	2	18	3	2	3	1	1	1	1	1	1	1	1	1	3	4	6	1	2	1	2	2	3	4	5	6	4	5	6	4	7	8	7	5
blocked drains bulleen		81	60	1	43	49	1	1	1	2	18	1	1	1	1	1	1	1	2	5	3	2	3	3	3	4	7	8	9	6	8	5	6	4	4	5	5	7
blocked drains camberwell		-	96	16	13	12	5	5	-	5	6	2	4	4	5	5	4	4	7	8	7	8	7	4	8	9	14	15	16	9	9	11	11	10	12	8	8	7
blocked drains caulfield		-	25	26	45	41	5	6	6	6	5	4	5	5	5	4	4	4	6	4	7	6	6	1	5	6	7	10	9	9	12	12	8	9	14	11	10	10
blocked drains collingwood		31	32	26	19	13	17	8	3	5	6	3	4	16	5	8	4	4	4	4	21	7	9	6	6	6	7	8	10	8	8	6	18	9	8	6	11	10
blocked drains doncaster		56	3	4	3	3	5	3	4	1	2	1	3	2	2	3	3	2	3	7	4	7	6	6	5	5	5	9	10	10	11	11	11	13	13	10	24	9
blocked drains hawthorn		94	10	26	32	38	35	21	20	22	23	18	23	22	22	3	8	24	40	23	20	5	6	9	11	9	10	15	16	12	20	8	11	6	4	2	4	5
blocked drains kew		81	36	10	28	5	11	29	7	7	28	21	23	4	4	4	5	5	5	37	6	10	7	5	8	10	10	14	16	11	13	15	16	14	11	10	10	6
blocked drains malvern		-	87	35	21	4	8	19	17	3	32	15	3	4	4	3	3	6	5	4	4	3	4	2	2	3	3	4	6	3	5	7	10	10	9	7	3	7
blocked drains richmond		-	36	35	38	4	9	7	5	4	4	3	3	3	4	4	5	9	11	12	10	8	8	6	7	8	8	8	9	15	18	19	13	13	14	8	6	15
blocked drains south yarra		74	4	3	1	24	22	17	18	21	30	6	5	6	6	3	5	7	7	20	4	6	6	1	5	5	7	10	10	8	7	12	12	6	8	6	4	4
blocked drains surrey hills		28	5	14	11	11	4	4	4	3	4	4	3	3	3	2	2	2	4	1	3	3	3	1	3	3	2	2	3	2	3	3	4	4	3	3	3	4
blocked drains toorak		8	2	2	3	3	7	6	4	5	2	2	2	1	1	2	2	1	3	3	5	2	3	4	4	4	4	3	3	8	10	6	6	7	8	8	9	13
hot water service abbotsford		-	1	5	2	3	6	3	4	3	5	3	2	2	2	3	27	2	5	5	2	3	7	5	7	8	9	12	10	8	6	5	4	4	3	3	20	3
hot water service balwyn		23	14	11	4	10	11	11	9	8	5	4	4	5	6	5	3	4	5	5	4	6	6	3	4	5	3	4	5	4	3	4	4	5	4	3	10	8
hot water service bulleen		27	10	12	13	2	10	11	2	2	8	3	4	3	4	3	3	3	4	5	3	2	4	6	6	6	6	8	9	8	8	6	5	2	2	3	2	6
hot water service camberwell		-	16	5	5	5	7	6	4	16	3	4	4	4	4	2	3	2	3	3	3	2	1	3	6	7	10	9	11	10	11	6	3	3	5	3	3	11
hot water service caulfield		-	6	5	4	5	9	5	5	16	6	5	4	5	11	3	4	4	5	6	6	6	7	6	8	8	8	10	12	11	12	8	9	9	9	9	8	16
hot water service collingwood		-	2	3	2	2	2	2	2	2	3	3	3	4	4	4	5	4	5	4	13	5	6	4	4	5	4	8	6	6	6	6	7	7	6	7	5	13
hot water service doncaster		-	22	29	12	28	22	19	7	6	9	15	17	6	7	4	3	2	15	9	25	7	11	7	10	13	14	17	20	18	19	19	64	74	17	17	18	18
hot water service hawthorn		49	21	22	32	22	26	4	3	6	6	6	7	6	6	6	6	4	6	7	7	6	7	5	5	4	5	7	7	6	15	13	11	14	11	12	12	17
hot water service kew		10	5	1	1	1	2	1	1	1	2	2	2	2	2	2	2	2	3	3	3	1	4	3	3	6	4	5	6	5	6	4	5	5	5	4	4	5
hot water service malvern		-	18	18	16	17	5	12	10	12	5	3	4	25	4	4	4	5	5	6	4	8	5	3	9	9	6	6	6	10	11	8	9	8	9	8	14	11
hot water service richmond		-	4	4	4	6	4	3	3	5	6	5	5	4	5	2	2	4	4	28	5	4	4	5	6	8	8	12	8	11	10	9	11	9	7	4	7	9
hot water service south yarra		63	26	3	4	4	6	6	6	5	4	5	4	4	4	3	3	3	4	4	4	5	4	4	4	4	4	6	7	9	9	8	9	10	11	8	16	13
hot water service surrey hills		20	15	1	2	2	3	2	2	2	2	4	2	3	4	3	3	3	5	5	6	4	5	5	6	6	6	7	7	7	6	7	6	6	8	6	8	6
hot water service toorak		-	2	2	2	2	3	3	3	3	3	2	3	3	5	5	5	3	5	5	5	3	5	6	7	7	7	9	9	7	8	8	8	4	7	9	5	8
plumbers abbotsford		16	6	10	12	11	14	9	11	10	10	7	7	10	9	8	5	9	9	15	7	15	15	16	18	23	28	31	26	33	28	22	19	20	15	24	33	17
plumbers balwyn		-	-	-	5	10	11	10	8	7	7	6	4	5	4	3	3	2	7	7	5	7	11	11	12	13	15	20	16	15	18	17	16	15	11	12	15	30
plumbers bulleen		-	-	88	13	87	17	13	54	51	58	10	12	10	11	10	10	11	13	16	12	13	13	14	14	14	14	14	13	14	18	16	14	11	8	7	9	15
plumbers camberwell		-	-	32	32	35	45	35	28	22	24	18	14	14	13	12	6	9	12	11	13	13	14	10	9	9	13	16	15	16	24	21	23	20	28	13	27	24
plumbers caulfield		-	37	31	26	27	39	36	27	20	16	13	10	9	-	9	9	9	21	18	12	26	25	18	20	21	29	29	24	23	21	19	77	16	18	23	16	21
plumbers collingwood		13	14	10	11	12	14	14	10	9	8	8	8	8	10	8	6	7	7	-	-	10	12	8	8	9	8	13	15	13	17	9	7	9	21	10	10	9
plumbers doncaster		36	9	11	12	15	16	10	28	18	16	15	15	13	13	10	13	28	50	64	38	14	16	12	10	17	18	22	18	19	-	21	-	16	17	15	17	19
plumbers hawthorn		40	11	14	19	18	24	19	20	18	15	14	14	15	11	9	9	11	14	9	8	7	13	11	9	9	8	10	8	10	14	13	13	12	12	10	15	12
plumbers kew		22	9	9	6	7	3	2	2	2	4	3	3	4	4	4	4	3	4	4	4	10	10	12	14	12	12	20	17	38	34	19	19	17	10	12	10	10
plumbers malvern		-	-	7	7	7	7	7	7	10	9	9	9	9	10	9	8	9	12	19	16	13	11	12	15	16	19	26	27	22	23	28	60	21	28	22	22	20
plumbers richmond		-	24	33	31	31	38	37	21	22	31	19	19	23	28	15	12	12	13	16	15	12	12	13	13	15	15	15	19	16	15	12	15	13	18	16	15	16
plumbers south yarra		-	-	13	11	16	23	20	18	14	15	14	11	13	14	11	12	14	13	14	13	13	15	14	12	15	12	14	15	14	15	17	16	15	15	12	14	15
plumbers surrey hills		28	22	19	22	19	31	18	16	17	19	12	12	13	11	9	8	10	30	28	11	12	18	14	17	11	13	17	15	15	14	11	13	14	12	12	14	10
plumbers toorak		30	20	43	13	14	18	18	13	12	12	13	12	12	10	19	21	10	10	32	9	12	13	13	13	13	11	17	17	44	17	13	17	16	14	14	17	18
