		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-21	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-07	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-07	2023-09-15	2023-09-18	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-12	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
back pain treatment ascot vale		11	7	2	4	3	4	4	4	4	6	4	4	5	6	6	5	5	5	4	3	5	5	6	5	5	5	5	5	5	3	4	3	4	5	6	2	4	3
back pain treatment avondale heights		5	7	5	6	4	5	5	5	5	3	3	4	4	5	5	6	7	8	3	4	2	5	4	8	5	5	5	3	3	3	4	1	4	3	2	3	2	3
back pain treatment brunswick		-	-	14	38	12	12	13	37	35	46	29	21	15	14	15	17	35	32	20	17	16	17	24	24	25	19	19	19	13	15	19	22	26	20	15	12	9	13
back pain treatment essendon		16	8	8	6	7	21	7	14	22	18	14	16	13	10	10	10	13	17	16	17	22	13	22	21	17	7	4	8	9	7	12	10	11	12	8	1	5	11
back pain treatment keilor		11	11	7	8	5	7	5	8	8	8	5	5	5	5	6	6	10	7	5	7	7	4	4	3	6	5	3	7	2	2	3	3	4	3	3	2	2	2
back pain treatment moonee ponds		21	21	25	23	27	30	31	43	41	43	19	18	20	21	15	5	4	3	2	2	2	2	2	2	2	1	1	1	1	1	2	3	3	3	1	3	1	1
back pain treatment pascoe vale		11	9	8	8	8	8	7	11	9	8	6	6	7	9	8	8	10	12	9	10	12	6	20	17	11	7	6	7	7	5	6	5	10	8	4	6	4	4
physio ascot vale		14	14	13	10	10	9	8	10	11	11	8	7	8	8	7	6	15	25	17	15	19	20	24	21	19	12	16	16	15	16	17	15	10	10	10	11	13	12
physio brunswick		42	42	37	26	22	49	32	57	55	68	28	22	42	44	46	46	72	-	67	59	70	73	56	56	31	21	18	21	19	12	13	18	17	17	9	7	14	7
foot clinic ascot vale		2	3	3	4	2	1	2	3	4	4	1	1	1	1	2	3	3	6	4	2	1	6	7	7	8	8	4	5	5	6	7	8	7	6	7	6	7	6
