		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
bulk billed eye test shepparton		2	2	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	2	2	1	2	2	1	1
bulk billing optometrist shepparton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
children's eye test Shepparton		1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
children's optometrist Shepparton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
childrens prescription glasses Shepparton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
clear frame glasses Shepparton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
dry eye treatment shepparton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eye test shepparton		2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	3	2	2	2	2	1	1	1	1
glasses frames for women Shepparton		6	5	5	5	2	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1
glasses frames Shepparton		3	3	2	3	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
glasses Shepparton		3	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
keratoconus shepparton		4	4	4	2	1	1	1	2	3	3	2	2	2	2	2	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1
laser eye surgery shepparton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
medicare optometrist shepparton		-	-	3	4	3	3	3	3	3	3	3	3	3	3	3	1	2	1	1	2	1	3	2	4	4	4	4	5	3	3	3	4	3	1	1	1
optometrist Shepparton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ortho k shepparton		1	1	1	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
prescription glasses Shepparton		2	1	1	1	2	2	2	1	1	2	3	2	2	2	4	4	2	3	2	1	1	2	1	1	3	1	1	1	2	2	2	2	2	2	2	3
prescription sunglasses Shepparton		3	4	5	4	5	5	5	4	3	3	6	3	3	3	4	6	7	4	3	5	4	4	3	4	5	5	5	5	5	4	5	4	2	3	3	3
safety glasses shepparton		13	14	12	15	12	16	9	8	7	8	7	13	14	12	21	14	11	14	17	15	10	15	19	20	20	17	13	13	13	12	13	15	11	12	7	12
sunglasses shepparton		8	9	6	5	5	6	4	4	3	4	6	5	7	5	4	12	13	6	6	6	7	5	5	4	4	4	4	4	5	6	8	4	2	3	4	4
