		2021-11-18	2021-11-24	2021-12-20	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-08-28	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
commercial loan broker		10	12	11	12	8	12	11	14	18	20	21	21	19	21	20	92	-	-	-	-	-	-	-	-	32	-	-	-	-	-	-	-	40	-	-	-	-	-	17
commercial property loan		52	53	43	46	46	36	38	40	38	45	74	61	60	22	24	74	-	-	94	95	84	74	78	74	75	-	77	69	72	77	-	66	-	60	72	48	41	45	-
commercial property loans australia		29	21	35	26	22	20	23	23	28	28	29	26	24	23	24	29	30	45	51	52	48	41	37	35	14	27	22	21	22	24	18	14	21	18	87	19	15	18	18
Excavator finance		13	13	12	15	12	14	23	28	24	20	22	16	17	20	14	11	9	11	15	11	18	17	15	13	13	11	10	12	11	15	16	-	22	33	38	38	40	34	44
Farm equipment finance		10	10	10	9	10	9	19	21	21	20	21	27	26	28	27	34	29	35	43	42	31	21	21	21	15	20	22	23	27	29	30	64	35	32	12	9	13	17	30
heavy machinery loans		7	7	8	7	11	6	7	17	16	14	13	27	33	15	12	14	27	37	35	15	27	24	9	9	9	11	10	7	11	11	42	11	9	4	14	64	7	5	5
low doc commercial loans		11	11	11	10	12	10	11	14	15	16	18	19	16	17	17	30	33	-	32	22	24	33	33	21	32	33	26	24	24	21	20	23	30	21	44	36	36	33	26
low doc construction loan		7	9	8	11	13	12	13	15	17	14	14	12	16	12	12	13	26	23	26	25	25	12	12	16	15	16	5	7	9	8	6	5	5	4	1	2	3	4	7
Machinery finance		15	13	18	16	14	9	23	30	24	74	22	27	27	33	26	38	57	-	33	98	92	44	-	-	33	30	24	67	64	76	75	70	67	63	87	-	16	-	11
non bank lenders melbourne		4	4	4	3	6	7	4	5	3	3	5	4	6	6	10	11	14	14	18	8	8	13	-	29	26	38	15	12	19	19	19	12	13	-	32	34	10	24	11
non bank lenders sydney		4	3	4	4	8	9	8	7	5	4	3	5	5	4	9	15	16	16	15	15	15	27	27	28	26	29	21	18	25	25	22	21	60	40	61	47	39	32	29
private commercial loans		1	1	1	1	1	1	1	2	1	1	5	5	2	2	2	3	3	3	3	3	6	2	6	3	2	4	39	47	50	50	45	52	57	54	58	55	52	8	5
private lenders		5	7	7	2	4	7	7	9	5	6	7	7	6	7	5	8	9	7	9	11	12	13	14	13	13	13	13	13	15	19	18	19	21	21	27	41	41	32	25
private lenders brisbane		2	2	2	3	3	3	3	3	3	3	4	4	4	3	4	4	5	5	6	5	6	7	8	9	6	10	7	7	9	7	9	5	6	8	6	5	5	4	4
private lenders melbourne		4	4	4	5	5	5	6	6	4	6	6	8	7	7	8	6	7	7	7	7	9	12	11	10	8	9	12	11	11	10	13	14	18	21	19	18	18	28	29
private lenders sydney		5	5	7	6	7	7	7	8	5	5	6	8	5	7	7	9	12	9	11	11	12	11	13	12	13	13	13	11	14	14	13	15	15	13	14	17	13	10	14
private loans		9	9	10	6	9	9	8	11	7	9	12	13	10	11	6	4	15	15	7	21	9	23	23	8	15	-	14	16	25	20	15	15	31	51	-	28	70	39	59
short term finance sydney		6	6	7	7	7	8	7	8	7	5	6	6	5	5	5	6	5	7	6	10	7	6	6	6	6	6	4	5	4	4	4	4	4	5	5	4	3	2	2
short term loans		30	29	35	28	34	27	-	74	40	42	45	40	40	38	42	34	64	47	57	54	47	44	51	51	45	44	49	45	52	55	51	54	56	-	46	27	16	64	81
Truck finance melbourne		12	13	19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20	-	-	25	51	35	66	44	52	54	-
