		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-08	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-12	2023-05-22	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
Flooring Brookvale		2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Flooring Dee Why		4	4	4	2	3	2	2	2	2	3	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	4	2	4	4	5
Flooring Newport		-	-	-	2	2	1	1	1	2	1	2	3	2	4	5	3	1	4	3	2	2	-	-	-	-	8	2	3	2	2	2	3	2	3	2	2	3
Flooring Mona Vale		62	59	10	11	9	6	6	8	6	7	10	7	7	6	5	7	9	8	8	8	8	8	11	10	13	14	21	20	16	16	17	15	17	12	13	9	17
Flooring Manly		9	9	8	9	8	3	4	6	3	5	5	6	5	4	2	4	4	3	4	3	3	3	3	3	2	2	2	2	2	2	2	2	2	3	3	3	4
Flooring Belrose		9	8	-	7	9	8	8	7	7	7	6	6	6	7	7	7	7	7	8	8	8	8	9	9	9	10	12	12	11	8	9	10	9	9	9	7	13
Flooring Neutral Bay		6	39	36	32	23	12	18	6	5	19	4	3	3	4	3	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2
Flooring Crows Nest		64	68	58	66	59	63	67	69	59	10	10	10	10	10	6	6	7	6	4	6	6	8	6	7	9	10	8	10	8	6	10	9	9	7	4	4	4
Flooring North Sydney		5	6	6	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	4	4	5	5	4	5	5	6	4	3	7	7	9	5	4	9
Flooring St Ives		5	4	4	4	3	2	1	1	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	2	2	1	2	1	1	2	2	1	1
Carpets Brookvale		4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	4	2	2	3	3	4	4	4	4	4	4	3	4	4	4
Carpets Dee Why		10	10	9	8	8	4	4	4	4	7	6	4	4	4	4	5	4	3	5	6	6	4	5	3	4	4	4	5	5	7	7	5	5	4	5	5	7
Carpets Newport		-	-	-	5	3	5	4	1	2	4	3	2	6	6	5	4	4	7	6	5	7	4	9	6	6	6	4	4	3	2	2	3	3	14	1	-	3
Carpets Mona Vale		-	86	9	9	8	6	7	8	7	8	11	6	6	9	10	9	10	9	9	8	11	11	7	11	9	10	11	10	10	10	15	14	15	13	15	10	9
Carpets Manly		7	6	6	6	6	4	3	4	4	4	4	4	3	2	2	3	5	4	4	4	4	3	5	5	4	4	5	4	3	6	7	6	6	6	8	6	8
Carpets Belrose		-	12	14	12	10	10	7	8	10	10	9	8	8	9	8	9	8	7	10	10	12	12	11	16	12	14	13	13	10	10	9	12	10	10	8	10	12
Carpets Neutral Bay		6	64	63	56	31	23	31	5	4	5	4	4	3	3	4	3	3	3	4	3	3	4	3	3	3	3	3	2	2	2	2	2	3	3	2	2	3
