		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-08-31	2023-09-15	2023-10-11	2023-11-01	2023-11-08	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
Demolition Baulkham Hills		26	5	26	4	4	4	-	4	4	4	4	4	3	3	3	3	3	4	5	4	5	5	3	3	3	3	3	3	2	2	2	2	1	1	1	2	2	1	2
Demolition Blacktown		5	2	4	3	3	2	2	2	1	2	2	1	1	1	1	1	4	4	5	5	4	6	5	5	6	5	5	6	7	8	5	8	6	6	6	2	3	5	5
Demolition Caringbah		3	2	3	1	2	3	3	4	3	3	4	4	3	3	3	3	4	4	3	3	4	4	4	3	2	2	3	5	4	5	4	-	30	4	3	4	3	3	3
Demolition Carlingford		2	3	4	2	3	4	4	5	4	4	4	4	4	4	4	4	5	5	5	5	6	4	4	4	5	6	4	7	28	7	5	6	7	7	4	5	5	3	4
Demolition Castle Hill		3	4	4	4	4	4	3	4	4	3	3	3	3	4	3	3	5	5	5	4	3	-	2	3	2	2	2	3	4	2	2	2	1	1	1	1	1	1	1
Demolition Concord		4	3	3	4	3	2	2	2	2	1	1	2	1	1	1	1	1	1	2	2	2	2	1	1	1	2	4	4	5	4	4	4	4	3	5	6	5	1	3
Demolition Croydon		6	7	-	4	5	4	3	3	5	3	3	3	4	4	1	2	2	3	3	3	1	2	2	2	1	1	1	1	1	4	2	3	-	3	3	2	2	-	2
Demolition Epping		7	8	7	5	-	6	6	-	6	-	-	4	5	4	5	5	6	-	-	-	-	-	-	-	-	-	-	-	-	-	4	-	-	5	5	6	4	2	2
Demolition Gymea		46	43	5	4	5	5	-	6	5	4	5	3	4	4	3	3	4	4	4	67	45	6	6	7	5	4	4	2	2	49	2	32	2	3	10	4	2	2	2
Demolition Hornsby		5	5	6	5	5	5	5	5	5	5	4	4	3	3	2	2	2	3	3	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	8	3	3	3
Demolition Merrylands		4	-	4	4	-	5	6	-	82	-	-	-	-	-	83	82	4	-	-	-	-	-	-	80	5	4	5	6	5	5	-	57	4	4	4	4	4	4	4
Demolition Northern Beaches		3	3	3	2	2	2	2	1	1	2	3	2	2	2	2	2	3	3	7	5	11	5	5	4	1	4	4	5	5	7	6	6	7	4	5	4	5	6	6
Demolition Parramatta		7	6	7	5	5	5	5	5	5	5	5	5	3	3	3	3	7	6	7	6	5	5	3	4	4	5	4	5	5	4	5	5	5	5	3	4	4	4	5
Demolition Pymble		4	-	66	3	4	2	5	-	5	3	5	3	3	3	1	-	4	4	4	4	3	4	5	6	4	2	4	3	42	1	1	1	1	1	2	1	2	2	1
Demolition Ryde		5	6	5	5	6	6	5	5	3	3	5	4	5	4	4	6	20	17	20	22	13	14	8	7	5	7	6	8	9	9	7	8	8	7	7	7	6	6	6
Demolition Seven Hills		3	3	3	3	3	3	3	5	5	4	3	3	2	2	2	2	3	3	3	4	2	2	2	2	2	2	2	4	2	2	4	4	5	3	3	3	2	3	4
Demolition Strathfield		5	6	3	2	2	3	4	4	3	5	5	5	5	3	4	3	4	5	4	4	4	4	4	3	3	4	2	4	3	4	3	3	3	2	2	2	2	2	2
Demolition Sutherland Shire		2	3	3	2	2	4	2	2	2	3	2	2	2	2	2	2	4	3	6	5	5	5	4	3	4	6	7	6	7	6	5	4	6	3	5	6	6	6	7
Demolition Wentworthville		6	5	3	3	-	5	5	5	5	4	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	5	3	36	41	3	29	3	29	34	29	29	40	53
Demolition Winston Hills		4	5	3	2	2	1	3	1	1	1	2	2	1	3	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	1	2
House Demolition Baulkham Hills		11	9	9	3	4	4	-	4	4	4	4	4	4	4	3	2	3	3	3	3	4	5	3	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
House Demolition Blacktown		2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	3	4	4	2	3	4	2	3	4	3	2	3	2	2	2	2	1	1	1	1
