		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-22	2022-11-24	2022-12-07	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-09-23	2024-10-18	2024-11-14
bored piers melbourne		15	17	18	12	14	16	18	24	25	22	20	15	16	17	15	14	13	14	-	18	17	15	17	18	19	18	19	19	28	19	-	23	15	17	20	21	23	31	22
concrete slabs melbourne		15	13	27	12	20	19	20	27	37	49	32	22	24	20	18	17	19	30	30	29	41	25	22	30	-	33	33	36	37	-	-	31	36	20	20	40	53	50	44
exposed aggregate melbourne		85	74	66	49	66	67	61	91	91	90	63	61	50	53	54	70	-	-	-	-	87	45	53	-	53	62	77	69	74	67	71	76	78	-	94	-	-	-	-
concreter Bentleigh		36	12	11	5	7	9	8	16	10	10	8	8	8	7	7	7	6	7	7	7	6	7	8	8	8	7	8	7	9	11	8	10	10	10	12	20	22	20	15
exposed aggregate Caulfield		11	3	4	3	4	3	5	6	6	6	5	5	4	4	3	3	3	4	3	3	3	3	3	5	4	4	4	4	6	6	5	8	6	4	8	20	19	16	15
concreter melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	69	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
driveways melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	77	72	74	96	80	80	74	60	49	66	64	49	49	57	61	57	-	65	63	82	87	-	-	-	-
concrete contractors melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	23	24	24	36	49	44	39	37	29	39	46	27	35	51	39	43	24	14	20	-	60	-	-	99	-
footings melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28	-	24	22	26	19	15	24	19	19	24	21	24	32	25	27	20	28	33	39	66	45	38
concrete slabs ashburton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	8	7	29	4	5	1	3	3	2	3	6	2	4	8	4	6	8	95	10	-
concrete slabs bentleigh		-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	10	10	9	7	7	8	9	8	7	6	4	5	3	4	8	2	4	6	13	9	14	14	14	12
concrete slabs box hill		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27	24	23	18	8	4	7	7	6	5	7	11	11	6	8	7	55	11	20	18	18	16
concrete slabs burwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	6	8	6	7	6	9	10	8	6	8	8	12	7	11	17	16	15	20	16	19	7
concrete slabs camberwell		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	82	7	7	7	6	7	6	7	6	6	6	7	6	8	4	3	4	5	5	15	14	14	13
concrete slabs caulfield		-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	8	9	5	5	5	5	5	5	8	7	6	6	9	9	13	7	8	8	9	10	17	18	16	17
concrete slabs chadstone		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	6	6	5	4	5	5	5	6	6	6	6	6	11	7	7	8	15	10	13	13	15	18
concrete slabs elsternwick		-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	5	5	5	4	3	4	2	2	4	4	4	2	2	2	6	3	7	4	8	10	10	10	11	10
concrete slabs glen iris		-	-	-	-	-	-	-	-	-	-	-	-	-	-	79	-	7	6	8	6	7	6	6	6	5	3	4	3	3	3	3	3	4	3	2	5	6	6	6
concrete slabs glen waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	66	-	28	8	7	6	6	5	6	8	7	7	6	5	7	7	8	8	6	8	73	-	18	19	20
concrete slabs hawthorn		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	18	17	18	21	15	29	41	35	5	5	12	12	11	9	9	8	15	21	24	-	63	51
concrete slabs malvern		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13	11	9	7	5	5	6	10	8	5	5	5	6	4	5	6	7	7	7	19	18	21	16
concrete slabs malvern east		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	7	4	5	8	4	5	4	5	6	5	3	3	1	1	1	1	8	3	8	7	10	16
