		2023-04-11	2023-05-17	2023-06-15	2023-07-21	2023-08-17	2023-08-29	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-14	2024-11-14
above ground pools adelaide		-	-	-	-	9	12	8	3	3	2	2	3	3	2	2	3	2	3	4	3	3
above ground pools ballarat		-	-	-	-	21	16	5	3	3	2	1	1	2	1	1	1	1	1	1	2	2
above ground pools bendigo		-	-	-	-	15	7	6	6	6	2	2	2	2	2	2	1	1	1	2	2	2
above ground pools brisbane		-	-	-	-	28	30	17	11	14	4	4	5	4	2	2	3	3	3	3	3	8
above ground pools canberra		-	-	-	-	15	11	8	4	3	2	1	1	2	1	1	1	1	1	2	2	4
above ground pools geelong		-	-	-	-	21	19	8	6	3	2	1	1	1	1	1	1	1	1	1	1	1
above ground pools gold coast		-	-	-	-	23	9	8	6	1	1	1	1	3	1	1	1	3	3	1	2	3
above ground pools melbourne		-	-	-	20	16	18	16	14	10	4	2	4	4	4	4	4	4	4	4	3	4
above ground pools newcastle		-	-	-	-	28	13	7	9	4	3	7	4	6	5	5	3	4	5	5	4	4
above ground pools northern rivers		-	-	-	-	22	12	12	10	12	8	8	7	16	12	6	6	7	4	5	10	5
above ground pools sunshine coast		-	-	-	-	35	16	10	6	3	1	1	1	1	1	1	1	1	1	1	1	2
above ground pools sydney		-	-	-	-	55	23	19	15	11	4	2	2	5	2	3	3	5	4	7	7	13
air beds adelaide		-	-	21	19	12	6	5	3	3	1	1	1	1	1	1	1	1	1	1	1	3
air beds brisbane		-	-	35	30	16	9	8	3	5	3	3	2	2	1	1	2	2	2	3	6	2
air beds melbourne		-	-	36	30	13	11	8	3	3	2	2	2	2	2	3	2	2	2	1	3	2
air beds sydney		-	-	48	41	27	15	11	3	4	4	2	2	2	2	1	2	1	1	1	1	3
inflatable camping chairs		11	9	12	15	10	12	8	19	-	30	20	3	2	3	2	2	2	-	3	3	4
inflatable kayaks adelaide		-	-	-	-	15	13	4	3	3	3	3	3	3	2	3	2	2	2	2	4	2
inflatable kayaks brisbane		-	-	-	-	21	22	16	7	8	5	2	2	5	1	8	1	7	1	1	7	7
inflatable kayaks melbourne		-	-	-	-	28	13	12	9	8	6	6	6	4	2	2	2	3	3	4	5	6
inflatable kayaks sydney		-	-	-	-	53	11	12	9	10	8	6	5	8	5	9	7	9	7	7	15	16
inflatable pools adelaide		-	-	-	-	2	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
inflatable pools brisbane		-	-	-	-	12	13	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1
inflatable pools melbourne		-	-	-	15	6	6	5	3	5	2	1	1	1	1	1	1	1	1	1	6	7
inflatable pools sydney		-	-	-	-	21	18	2	1	1	1	1	1	1	1	1	1	1	1	1	1	7
inflatable spa adelaide		-	-	-	-	9	4	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
inflatable spa brisbane		-	-	-	-	20	5	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1
inflatable spa melbourne		-	-	-	-	16	14	5	2	2	2	2	1	1	1	1	1	1	1	1	1	1
inflatable spa sydney		-	-	-	-	28	26	8	5	9	4	4	4	5	3	10	3	1	2	1	3	2
intex above ground pools		-	-	-	10	8	10	6	3	5	3	3	3	3	3	3	3	3	3	3	1	3
Intex Inflatable Air Mattress		-	-	16	10	12	10	11	10	-	4	3	3	6	4	3	3	3	3	3	1	1
Intex Inflatable Airbeds		-	-	17	14	13	13	12	7	8	4	2	3	4	2	2	3	2	2	1	1	2
intex inflatable kayak		-	34	47	-	-	58	49	6	4	3	2	5	1	1	1	1	1	1	1	1	1
intex pool pump		-	25	-	-	9	13	7	8	7	3	2	2	3	2	5	2	6	2	8	9	7
intex pools australia		-	-	-	-	-	29	19	10	4	2	2	2	2	2	6	4	1	9	2	8	8
