		2024-07-12	2024-08-16	2024-09-20	2024-10-18	2024-11-14
cleaners pascoe vale		-	-	51	37	56
cleaners essendon		-	-	83	24	19
cleaners strathmore		-	44	14	13	15
cleaners moonee ponds		-	-	88	22	22
cleaners coburg		-	-	-	17	18
cleaners brunswick		-	-	34	24	28
cleaners niddrie		-	67	11	16	15
cleaners tullamarine		-	-	95	14	14
cleaners keilor east		-	-	-	14	15
cleaners oak park		-	-	-	8	15
cleaners glenroy		-	-	-	16	17
cleaners thornbury		-	-	49	18	33
cleaners northcote		-	-	29	18	32
cleaners reservoir		-	24	14	21	20
end of lease cleaning pascoe vale		-	51	15	6	13
end of lease cleaning essendon		-	80	16	11	16
end of lease cleaning strathmore		-	26	8	5	9
end of lease cleaning moonee ponds		-	67	11	15	12
end of lease cleaning coburg		-	73	22	15	14
end of lease cleaning brunswick		-	-	37	8	16
end of lease cleaning niddrie		-	8	7	7	5
end of lease cleaning tullamarine		-	31	15	7	4
end of lease cleaning keilor east		-	41	16	7	9
end of lease cleaning oak park		-	19	14	4	5
end of lease cleaning glenroy		-	10	28	15	13
end of lease cleaning thornbury		-	67	13	18	15
end of lease cleaning northcote		-	68	13	12	16
end of lease cleaning reservoir		-	63	21	9	9
caulking services pascoe vale		-	15	3	1	1
caulking services essendon		-	5	6	4	6
caulking services strathmore		-	7	2	1	1
caulking services moonee ponds		-	2	2	2	1
caulking services coburg		-	15	2	2	2
caulking services brunswick		-	6	3	1	1
caulking services niddrie		-	3	3	1	1
caulking services tullamarine		-	6	12	8	6
caulking services keilor east		-	9	2	1	1
caulking services oak park		-	7	3	3	1
caulking services glenroy		-	2	2	1	1
caulking services thornbury		-	1	1	1	1
caulking services northcote		-	3	3	1	3
caulking services reservoir		-	10	2	2	2
