		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-07	2022-07-15	2022-08-17	2022-09-16	2022-10-10	2022-11-17	2022-11-28	2022-12-15	2023-01-19	2023-02-16	2023-02-21	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-10	2024-08-16	2024-09-11	2024-10-18	2024-11-14
pilates airport west		11	7	10	5	4	4	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pilates albanvale		2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pilates burnside heights		1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	1	1	1
pilates cairnlea		7	4	4	11	4	3	3	3	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	2
pilates caroline springs		-	-	72	54	40	50	53	44	32	34	35	3	3	3	3	3	4	4	2	2	2	3	3	3	4	4	4	4	4	3	4	4	4	5	4	4	4	3	3
pilates deer park		-	-	48	48	3	39	3	45	51	43	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	17	1	1	1	1	1	1	1	1	1	1
pilates delahey		2	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pilates essendon		-	-	-	-	-	-	-	11	11	5	4	5	5	4	5	6	6	6	6	7	7	7	7	7	5	6	7	7	5	7	7	10	8	9	10	8	8	11	8
pilates hillside		10	10	9	27	7	2	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pilates keilor		9	10	3	3	3	2	3	3	2	2	3	3	2	2	2	2	2	2	1	2	1	1	1	2	1	1	1	2	1	2	1	1	1	1	2	1	1	3	2
