		2024-02-26	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
cabinet maker bondi beach		-	-	5	3	3	1	1	2	3	2
cabinet maker bronte		-	-	2	2	1	1	2	1	1	1
cabinet maker chatswood		-	-	7	4	4	3	5	5	6	6
cabinet maker cremorne		-	-	5	2	2	2	2	2	2	3
cabinet maker darling point		-	-	1	1	1	1	1	2	1	1
cabinet maker darlinghurst		-	-	3	1	1	1	1	1	1	1
cabinet maker double bay		-	-	2	1	1	1	1	1	1	1
cabinet maker killara		-	-	3	1	1	1	1	3	3	3
cabinet maker manly		-	-	15	5	6	3	2	1	8	10
cabinet maker northbridge		-	-	4	2	2	2	2	3	3	2
cabinet maker paddington		-	-	8	1	1	1	4	1	1	2
cabinet maker pymble		-	-	1	1	1	1	1	3	5	4
cabinet maker rose bay		-	-	3	1	2	1	1	1	1	1
cabinet maker roseville		-	-	3	1	2	1	2	2	3	3
cabinet maker vaucluse		-	-	3	2	1	1	11	2	1	4
cabinet maker willoughby		-	-	5	4	3	3	4	5	5	5
custom joinery bondi beach		-	-	3	1	1	1	1	1	1	1
custom joinery bronte		-	-	5	3	2	2	4	4	3	3
custom joinery chatswood		-	-	5	2	2	2	2	3	2	2
custom joinery cremorne		-	-	3	3	2	3	3	2	2	2
custom joinery darling point		-	-	3	1	2	1	2	3	3	3
custom joinery darlinghurst		-	-	2	1	1	1	1	1	1	2
custom joinery double bay		-	-	3	1	1	1	1	2	3	2
custom joinery killara		-	-	2	2	2	2	2	2	2	2
custom joinery manly		-	-	6	1	1	1	1	5	4	10
custom joinery northbridge		-	-	3	2	2	2	2	2	3	3
custom joinery paddington		-	-	5	3	3	3	3	3	3	5
custom joinery pymble		-	-	3	2	2	3	3	3	3	4
custom joinery rose bay		-	-	4	2	2	2	1	4	3	3
custom joinery roseville		-	-	3	2	2	2	3	2	2	3
custom joinery vaucluse		-	-	2	1	1	1	1	4	3	3
custom joinery willoughby		-	-	3	3	3	3	3	3	3	3
