		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
fly screens alphington		3	2	2	2	2	2	2	2	2	1	2	2	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens beveridge		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens blackburn		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens broadmeadows		4	4	3	3	3	3	3	1	3	2	1	1	1	1	2	3	3	3	3	3	3	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1
fly screens bulleen		4	2	2	2	3	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	2	3	3	2	2	2	2	2	2
fly screens bundoora		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
fly screens campbellfield		3	3	4	4	4	6	6	5	6	5	3	4	6	5	5	5	5	5	6	5	3	4	5	3	3	3	5	5	4	3	2	4	4	4	4	3
fly screens coburg		3	3	3	2	2	2	2	1	1	1	1	1	1	1	1	1	3	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens craigieburn		2	4	3	2	2	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens diamond creek		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens doncaster		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens donnybrook		1	1	1	1	1	1	1	3	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
fly screens doreen		1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens eaglemont		6	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens eltham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens epping		1	2	2	2	2	2	2	2	2	2	2	1	2	-	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
fly screens fairfield		1	1	1	1	1	1	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens fawkner		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens greensborough		1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens greenvale		1	4	3	2	2	3	3	2	1	1	1	1	1	1	3	2	2	2	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens hadfield		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
security doors Mickleham		2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens heidelberg		4	2	2	2	3	2	3	3	2	2	2	2	2	2	2	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens hurstbridge		3	3	2	1	2	2	1	2	1	2	2	2	2	2	2	1	1	1	1	2	2	2	2	1	1	1	2	2	2	1	2	1	1	1	1	1
fly screens ivanhoe		1	2	1	1	1	1	1	3	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
fly screens kalkallo		2	2	2	2	2	2	2	2	1	1	2	2	2	1	1	2	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens lalor		3	3	3	3	3	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens lower plenty		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens macleod		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens melbourne		12	13	12	11	10	12	12	12	12	12	12	11	12	12	8	10	9	10	10	8	10	8	10	10	9	9	9	8	9	8	10	10	11	10	11	10
fly screens mernda		2	2	2	2	2	2	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens mickleham		3	3	3	3	3	3	3	3	3	2	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
fly screens mill park		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1
fly screens mitcham		4	2	3	3	3	3	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens montmorency		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens northcote		1	1	1	1	1	1	2	1	2	2	2	2	2	2	1	3	2	2	1	3	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1
fly screens pascoe vale		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens plenty		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1
fly screens preston		2	3	3	3	2	3	3	3	3	1	2	3	3	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens reservoir		2	3	2	2	2	2	2	2	1	1	2	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens ringwood		1	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	3	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1
fly screens rosanna		1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens south morang		1	5	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
fly screens templestowe		2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens thomastowm		2	3	1	1	2	3	3	3	2	2	2	3	3	4	3	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2
fly screens thornbury		2	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1
fly screens watsonia		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	2	2	2	1
fly screens wollert		1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
fly screens yallambie		2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fly screens yarrambat		1	1	3	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
