		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-12	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-11-28	2023-12-14	2024-01-19	2024-02-15	2024-03-14	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
hot water service box hill		1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
hot water service chadstone		1	-	1	1	1	3	7	4	4	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	2	1	2	1	1	2	1	3	1	2	2	2	1
hot water service coburg		3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
hot water service dandenong		1	2	2	2	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
hot water service doncaster		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	2	2	3	1	1	1	1
hot water service epping		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	2	1	2	2	1	2	1	2	2	2
hot water service essendon		3	2	2	3	2	3	2	2	2	3	3	3	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2
hot water service frankston		1	1	2	3	3	3	3	3	3	3	2	3	4	3	3	2	1	1	1	5	6	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1
hot water service greensborough		2	1	2	2	1	1	1	1	1	2	2	2	2	2	2	2	2	3	4	3	10	2	5	4	3	3	4	5	4	3	3	5	3	3	3	2	2	4
hot water service lilydale		1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
hot water service moorabbin		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
hot water service mordialloc		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	7	7	1	1	1	1	1	2	2	1	2	2	2	3	1	1	2
hot water service pakenham		1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
hot water service ringwood		1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
hot water service seaford		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	1	1	1	1	1	1	2	1	3	2	2	2	3	3	3	2	2	2
hot water service south melbourne		2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2
hot water service sunshine		1	1	1	1	2	1	1	10	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	2	3
hot water service glen waverley		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1
hot water service werribee		2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2
hot water service yarraville		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	2	1	2	1	1	1	3
hot water systems box hill		1	1	1	1	1	1	1	2	2	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	4	1	3
hot water systems chadstone		1	-	1	1	1	12	18	-	10	3	1	1	1	1	1	1	1	1	2	17	2	1	2	1	2	2	2	2	1	2	1	1	3	3	4	4	2	1
hot water systems coburg		2	2	2	3	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3
hot water systems dandenong		1	1	2	1	1	1	2	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
hot water systems doncaster		1	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1
hot water systems epping		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9	1	1	1	3	1	2	2	2	2	1	1	1	1	1	2	1	2
hot water systems essendon		3	5	4	5	4	4	4	3	2	3	3	3	3	2	2	2	2	2	2	2	2	2	2	3	3	3	2	2	3	4	3	4	3	4	4	4	2	2
hot water systems frankston		3	1	3	3	2	3	2	1	3	1	2	3	2	2	3	2	1	1	1	4	7	1	1	1	1	1	1	2	1	1	2	2	2	1	2	2	1	2
hot water systems greensborough		3	5	3	4	3	3	3	3	3	3	3	2	2	2	2	3	2	3	4	2	8	3	4	4	4	4	5	4	4	4	4	4	4	4	5	4	4	5
hot water systems lilydale		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
hot water systems moorabbin		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2	3	3	6	3	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1
hot water systems mordialloc		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	8	11	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2
hot water systems pakenham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4	4	1	2	2	2	2	2	1	1	2	1	1	1	1	1	1	1
hot water systems ringwood		1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1
hot water systems seaford		1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	9	1	2	1	2	2	2	3	3	4	3	3	4	6	7	4	4	2	2
hot water systems south melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	4
hot water systems sunshine		2	2	3	4	27	4	20	26	2	4	2	4	3	4	2	4	1	2	1	1	1	1	1	1	1	1	1	1	1	3	4	3	18	15	16	24	17	6
hot water systems glen waverley		1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
hot water systems werribee		2	2	2	2	2	2	2	3	3	3	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	2	1	2	1	1	3	3	3
hot water systems yarraville		1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	2	2	2	2	1	2	2	2	1	2	3
hot water service bayside		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	3	2	2	2	2	2	2	2	2	1	1
hot water service beaumaris		1	1	1	1	1	1	1	2	2	1	1	1	2	2	1	1	1	1	1	-	18	20	19	1	2	2	2	2	2	3	3	3	3	3	3	3	3	3
hot water service brighton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
hot water service caroline springs		3	2	2	3	1	3	3	2	2	2	3	3	3	3	3	2	2	2	1	1	1	1	1	1	2	1	2	2	1	2	1	2	2	2	1	1	1	1
hot water service caulfield		1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	1	3
hot water service clayton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1
hot water service craigieburn		3	3	2	3	3	3	3	3	3	3	2	2	2	2	2	2	1	1	1	1	9	7	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1
hot water service diamond creek		3	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	2
hot water service elwood		2	2	2	3	2	2	3	3	4	3	4	4	4	4	1	1	1	1	1	1	12	1	1	3	3	4	2	3	2	2	1	1	1	1	1	1	1	1
hot water service emerald		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
hot water service hampton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	1	1	2
hot water service malvern		1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1
hot water service mornington		9	8	7	6	4	3	2	5	5	4	5	3	2	2	2	2	1	2	2	12	20	27	28	32	3	3	4	5	5	4	4	4	4	4	4	4	4	4
hot water service oakleigh		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	4	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1
hot water service sandringham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	28	1	1	1	1	2	1	1	2	2	3	2	1	2	1	1	1
hot water service south yarra		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1
hot water service springvale		1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	1	2	1	2	1	1	1	1	1
hot water service sunbury		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
hot water service toorak		1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	7	1	1	1	1	1	1	1	1	3	2	3	2	2	4	2	2
hot water systems bayside		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	3	2	2	2	3	2	2	1	1
hot water systems beaumaris		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	18	22	22	1	1	1	1	1	1	1	2	3	3	2	3	2	2	2
hot water systems brighton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	27	11	25	1	1	1	1	1	1	2	2	2	2	2	2	5	7	1	1
hot water systems caroline springs		5	4	4	4	2	4	4	3	3	4	3	4	4	3	3	3	2	2	2	2	2	2	2	2	3	3	3	3	3	5	5	6	6	5	5	3	2	3
hot water systems caulfield		2	2	2	1	1	1	1	1	2	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1
hot water systems clayton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1
hot water systems craigieburn		3	3	4	4	4	3	3	3	3	3	2	2	2	2	2	2	2	2	1	2	9	9	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1
