		2023-07-31	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
interior decorator newtown		-	-	-	-	-	-	-	4	2	1	1	1	1	1	1	1	3
interior designer newtown		-	-	-	-	-	-	-	5	2	2	1	1	1	1	1	1	1
interior decorator altona		-	-	5	1	2	1	1	1	1	1	1	1	1	1	1	1	1
interior decorator altona north		-	-	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1
interior decorator anglesea		-	-	1	1	1	1	1	2	2	2	2	2	3	2	2	2	2
interior decorator geelong		-	-	52	46	53	36	17	7	1	1	4	3	3	3	3	4	4
interior decorator highton		-	-	20	1	1	1	1	1	1	1	1	1	1	1	1	1	1
interior decorator kingsville		-	-	5	1	1	1	1	1	1	1	1	1	1	1	1	1	3
interior decorator lorne		-	-	12	10	14	9	2	2	2	1	2	2	1	2	3	4	4
interior decorator newport		-	-	-	89	-	5	-	3	3	4	3	2	2	3	1	1	1
interior decorator ocean grove		-	-	8	7	10	5	5	7	3	2	3	1	1	2	5	4	9
interior decorator seddon		-	-	7	2	2	1	1	2	1	1	2	1	1	2	1	1	2
interior decorator torquay		75	74	7	6	7	8	3	3	2	3	3	3	2	2	2	2	6
interior decorator williamstown		-	-	23	12	9	2	2	3	3	2	3	3	2	2	2	2	2
interior decorator yarraville		-	-	4	3	3	3	2	3	3	2	2	1	1	1	1	1	1
interior designer altona		-	-	5	2	2	1	1	1	1	1	1	1	1	1	1	1	1
interior designer altona north		-	-	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1
interior designer anglesea		-	-	3	2	2	2	1	3	3	2	2	2	2	2	2	1	1
interior designer geelong		-	-	61	68	76	73	18	10	3	2	4	2	3	2	4	3	5
interior designer highton		-	-	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1
interior designer kingsville		-	-	24	1	1	1	1	1	1	1	1	2	1	1	1	1	4
interior designer lorne		-	-	32	32	25	22	7	7	6	4	5	5	5	3	2	5	6
interior designer newport		-	-	-	-	-	13	-	6	3	2	2	1	1	1	1	1	3
interior designer ocean grove		-	-	7	7	9	6	6	6	3	2	4	2	2	3	6	4	7
interior designer seddon		-	-	10	2	2	1	1	2	1	1	1	1	1	1	1	2	2
interior designer torquay		-	-	5	4	6	5	5	1	1	1	2	1	3	1	2	1	2
interior designer williamstown		-	-	34	24	9	4	3	5	5	4	4	2	2	1	1	3	3
interior designer yarraville		-	-	5	3	5	3	2	2	3	1	1	1	1	1	1	1	1
home interior designer melbourne		-	-	61	24	38	31	26	24	22	24	20	20	12	19	49	46	49
home styling melbourne		-	-	-	96	-	69	-	95	-	21	70	58	73	72	76	-	-
interior decorator melbourne		-	-	58	-	65	36	29	21	-	30	55	25	12	29	43	38	43
interior designer melbourne		-	-	-	-	-	83	92	35	34	-	-	37	13	28	86	-	-
interior stylist melbourne		-	-	-	77	100	78	76	82	66	20	-	32	23	20	26	38	45
kitchen interior designer melbourne		-	-	48	11	14	12	12	13	13	12	14	10	12	15	18	20	21
