		2022-11-03	2022-12-13	2023-01-19	2023-02-16	2023-02-27	2023-03-16	2023-04-14	2023-04-19	2023-04-26	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-05	2023-10-03	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-19	2024-11-15
conveyancer auburn		-	30	26	18	16	14	5	-	5	5	5	5	5	6	5	9	10	12	11	11	10	10	7	7	7	6	7
conveyancer bankstown		-	63	48	13	14	11	14	13	10	6	10	11	15	17	12	17	18	18	17	14	13	14	11	12	24	22	22
conveyancer blacktown		-	-	68	60	57	64	49	-	44	22	28	20	27	38	38	31	34	34	33	29	25	27	27	23	27	23	30
conveyancer burwood		-	-	59	54	51	52	45	-	13	17	11	7	6	9	10	12	12	12	12	12	11	11	15	11	14	13	13
conveyancer cabramatta		-	9	9	9	9	9	10	-	8	8	8	7	9	9	7	5	8	6	8	2	3	5	4	1	3	2	3
conveyancer fairfield		-	-	45	35	35	40	14	-	13	11	13	9	15	14	11	10	12	12	14	9	8	12	10	15	14	13	13
conveyancer granville		-	23	9	8	7	6	3	3	3	3	3	-	4	5	5	5	4	4	4	4	4	4	4	4	4	4	2
conveyancer liverpool		-	-	77	70	77	79	11	12	12	11	10	11	32	26	32	12	15	18	17	16	14	16	18	21	24	19	18
conveyancer merrylands		-	24	16	13	11	14	13	-	11	6	7	7	10	10	8	7	8	8	7	7	8	8	8	7	7	9	7
conveyancer parramatta		-	64	61	56	62	60	53	29	21	23	23	21	40	42	38	31	36	37	37	34	23	28	28	32	30	29	41
conveyancer revesby		-	20	18	16	15	16	8	8	7	6	6	7	8	8	8	8	8	9	8	8	8	8	8	8	6	5	7
conveyancer westmead		-	23	13	5	5	5	6	6	6	6	5	6	5	7	6	5	5	5	5	5	6	6	6	4	4	4	5
criminal lawyer auburn		-	-	-	87	-	88	2	2	-	2	2	2	4	4	2	4	4	4	4	3	6	7	7	6	7	4	8
criminal lawyer bankstown		-	61	-	15	15	13	13	-	14	16	12	11	24	23	23	29	32	29	31	22	25	33	24	24	19	19	27
criminal lawyer blacktown		-	45	51	23	27	25	25	25	27	30	14	12	22	21	19	23	24	25	22	24	27	31	19	18	21	30	41
criminal lawyer burwood		-	38	13	13	13	14	12	13	14	14	13	14	21	21	-	22	25	21	17	15	14	17	17	25	25	27	35
criminal lawyer cabramatta		-	16	19	8	7	8	7	7	5	5	5	4	5	6	4	4	4	5	4	4	5	6	6	6	8	8	10
criminal lawyer fairfield		-	30	-	17	40	18	24	24	26	11	8	7	15	16	14	12	14	14	12	11	13	18	16	18	23	25	22
criminal lawyer granville		-	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1
criminal lawyer liverpool		-	-	-	-	-	-	16	14	15	15	15	14	20	19	17	15	21	21	18	16	19	26	23	23	24	29	28
criminal lawyer merrylands		-	15	14	5	4	6	4	4	4	3	3	3	3	4	3	3	6	3	7	3	3	4	5	4	7	5	4
criminal lawyer parramatta		-	78	80	50	78	67	44	-	38	40	22	22	33	33	31	37	38	45	48	43	43	44	45	39	26	46	30
criminal lawyer revesby		-	11	2	1	1	2	2	3	2	2	2	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1
criminal lawyer westmead		-	8	8	8	8	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
family lawyer auburn		-	17	14	10	10	10	4	-	5	5	4	3	3	4	5	6	7	6	4	5	5	4	6	4	6	5	5
family lawyer bankstown		-	31	33	20	20	17	11	-	10	11	6	6	6	6	4	6	6	3	3	4	5	5	4	4	5	9	8
family lawyer blacktown		-	-	35	20	19	21	19	-	21	14	15	18	20	21	16	16	23	21	22	20	27	27	21	23	32	20	19
family lawyer burwood		-	27	20	19	18	18	9	-	8	8	7	5	4	5	5	4	4	4	3	2	1	2	3	1	1	1	2
family lawyer cabramatta		-	19	16	13	13	11	7	-	7	6	2	5	8	9	10	5	8	8	4	4	5	7	5	5	5	4	6
family lawyer fairfield		-	8	9	9	8	8	9	7	10	5	5	4	10	11	11	11	14	14	13	11	13	16	18	17	18	14	18
family lawyer granville		-	2	2	2	2	2	2	2	2	3	2	2	3	2	3	4	4	4	1	2	1	2	2	2	3	2	2
family lawyer liverpool		-	60	47	20	50	20	12	-	16	15	13	11	16	15	13	14	15	15	16	18	15	14	12	12	11	11	18
family lawyer merrylands		-	15	12	6	6	6	4	4	4	4	4	2	5	2	2	2	2	2	2	1	1	2	3	3	2	3	6
family lawyer parramatta		-	-	-	44	-	-	26	-	40	22	21	28	51	45	47	48	42	55	54	50	47	55	48	55	63	52	31
family lawyer revesby		-	20	20	11	10	10	9	-	5	6	5	5	4	7	6	5	5	5	5	3	5	4	5	3	1	2	4
family lawyer westmead		-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1	2
lawyers auburn		-	-	79	79	79	92	32	11	10	11	8	10	8	11	12	14	15	11	11	12	11	13	12	12	11	11	12
lawyers bankstown		-	-	-	34	21	19	21	21	23	20	19	20	30	25	28	35	37	37	36	34	33	38	41	38	42	48	61
lawyers blacktown		-	-	-	21	27	24	23	-	27	19	23	19	28	27	26	34	20	19	18	65	18	16	24	21	35	35	34
lawyers burwood		-	17	15	15	14	14	12	10	14	14	17	12	15	18	15	14	14	14	13	11	9	5	9	11	5	8	12
lawyers cabramatta		-	31	31	13	13	13	13	13	16	18	17	18	22	25	21	19	22	21	21	20	20	29	23	24	23	23	12
lawyers fairfield		-	-	-	13	29	13	17	-	26	22	18	19	22	29	22	34	34	43	40	40	38	40	31	29	31	31	38
lawyers granville		-	12	10	11	4	4	5	5	5	5	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2
lawyers liverpool		-	-	-	-	-	-	38	30	29	28	17	12	20	17	13	17	18	19	24	19	-	27	13	12	13	23	31
lawyers merrylands		-	30	31	7	7	7	7	7	7	6	6	7	9	11	8	6	7	7	6	5	5	5	7	6	7	7	8
lawyers parramatta		-	66	52	50	65	56	57	-	30	29	55	37	36	52	66	72	84	83	86	67	62	60	64	69	60	79	43
lawyers revesby		-	23	26	19	18	18	9	9	8	8	8	10	9	12	12	12	16	15	15	14	14	14	14	13	10	8	11
lawyers westmead		-	15	13	12	12	11	7	-	7	7	6	6	8	8	6	5	5	5	4	3	2	2	2	2	2	2	2
property lawyer auburn		-	-	67	75	79	-	2	-	2	2	2	2	-	3	5	5	7	6	5	4	5	5	6	6	4	4	6
property lawyer bankstown		-	29	22	5	6	5	2	2	3	2	2	4	5	5	3	3	3	2	2	2	2	3	3	3	3	3	3
property lawyer blacktown		-	-	47	50	22	21	7	7	7	7	7	7	6	9	11	11	14	16	17	14	10	10	10	7	12	11	14
property lawyer burwood		-	24	18	54	14	19	12	24	3	4	2	1	1	2	2	2	2	2	2	2	3	2	2	2	3	3	4
property lawyer cabramatta		-	6	6	6	6	4	6	-	3	3	4	1	5	4	4	5	6	5	6	4	4	4	3	2	2	4	3
property lawyer fairfield		-	-	83	75	77	75	5	5	5	4	4	5	8	7	8	4	4	4	3	3	5	6	5	4	4	2	18
property lawyer granville		-	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
property lawyer liverpool		-	-	-	-	-	18	9	9	9	9	6	7	10	12	7	8	10	10	12	5	4	5	3	3	3	3	4
property lawyer merrylands		-	16	20	7	24	6	14	7	10	3	3	3	3	2	5	4	4	4	4	4	3	4	2	3	4	4	5
property lawyer parramatta		-	42	47	21	65	44	38	11	11	12	12	11	11	12	12	15	17	16	17	15	12	14	11	10	8	10	13
property lawyer revesby		-	7	2	2	4	11	2	2	3	4	3	2	5	4	5	6	7	8	8	6	5	5	6	12	4	5	9
property lawyer westmead		-	13	8	2	2	2	2	-	2	2	2	2	2	2	2	1	2	2	2	2	1	2	1	2	1	2	2
conveyancer sydney		-	-	-	-	-	-	-	-	-	72	91	91	-	-	-	-	-	-	-	-	82	81	85	94	91	-	-
criminal lawyer sydney		-	-	45	48	69	44	51	46	-	51	62	58	54	56	48	58	77	74	71	79	78	-	82	-	74	-	-
family lawyer sydney		-	-	-	78	69	60	54	-	49	53	61	42	58	58	-	60	58	75	79	-	85	-	-	-	86	-	-
lawyers sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
property lawyer sydney		-	-	22	21	22	18	28	28	30	30	29	27	30	35	36	30	38	38	37	25	25	32	34	33	38	50	43
