		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-14	2023-03-16	2023-04-14	2023-04-26	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
chrome hearts sydney cbd		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1
contact lenses george st sydney		3	3	3	3	3	3	3	2	1	1	1	1	1	1	1	3	2	3	4	2	3	2	3	2	2	2	3	3	3	4	2	3	2	2	2	2	2	2
contact lenses macquarie st		5	4	4	6	8	55	7	7	8	44	51	73	8	5	55	41	9	10	40	24	49	69	54	6	-	-	-	-	74	83	-	-	-	-	-	32	34	17
contact lenses martin place station		1	1	2	1	2	1	1	1	1	1	4	4	5	5	1	1	1	1	2	1	1	1	1	1	1	1	1	1	6	7	11	-	-	8	1	1	1	1
contact lenses piccadilly car park		3	3	3	3	3	3	3	3	3	3	3	3	4	4	3	3	2	3	3	3	3	4	3	3	2	-	-	-	-	-	2	2	2	6	6	6	6	13
contact lenses st james station		1	1	3	1	1	1	1	1	1	1	1	1	1	1	6	4	1	1	7	7	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
contact lenses sydney cbd		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
contact lenses town hall station		3	3	2	2	2	2	2	2	2	2	11	1	1	1	2	2	4	3	6	2	6	4	4	7	5	11	9	8	5	7	7	14	17	16	12	12	12	9
digital eye strain sydney cbd		1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	1	1	2	2	2	1	1	1	1	1	2	1	2	2	2	2	2	2	2	1	1	1	1
dior glasses store sydney cbd		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1
eye tests george st sydney		4	4	4	4	4	3	4	3	3	3	4	4	4	3	3	2	3	5	24	3	5	16	18	19	19	28	35	33	38	29	34	36	32	34	14	31	30	23
eye tests martin place station		1	2	1	1	1	1	1	1	2	2	2	3	4	3	1	1	1	1	5	1	1	1	1	1	1	1	1	1	19	38	-	26	23	10	1	1	1	1
eye tests park st		1	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	-	2
eye tests piccadilly car park		2	2	2	1	1	2	2	2	2	2	2	2	3	3	3	3	3	3	-	-	3	-	3	3	3	2	2	2	-	-	2	2	2	3	3	3	-	2
eye tests sheraton grand sydney hyde park		1	2	2	1	1	1	1	1	1	1	2	1	3	3	1	3	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	3	1	1
eye tests st james station		1	1	1	1	1	1	1	1	2	1	2	2	3	3	3	2	1	1	3	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2
eye tests sydney cbd		13	10	9	7	5	9	9	9	8	9	8	8	11	10	13	10	8	13	9	9	10	11	3	10	9	13	8	9	5	10	8	9	9	8	7	8	5	5
eye tests town hall station		4	3	2	2	2	2	2	2	2	2	2	1	1	1	2	4	3	6	16	3	7	13	5	5	13	13	14	16	16	14	14	-	-	-	13	-	-	50
glasses store sydney cbd		10	12	6	4	3	3	3	3	2	2	4	5	8	10	4	3	3	14	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gucci sydney cbd		42	58	44	26	22	23	11	13	7	9	18	16	16	9	5	5	4	60	3	3	3	3	4	4	5	6	6	6	7	7	8	5	6	6	6	7	7	6
lindberg sydney cbd		2	3	2	1	2	2	2	2	1	1	2	2	2	3	1	1	2	3	4	2	1	2	2	2	2	1	2	1	2	1	1	1	1	1	1	1	1	1
maui jim sydney cbd		2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	1	8	7	9	8	8	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2
optometrist hyde park sydney		1	1	1	2	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
