		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-18	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
diesel generators australia		29	24	32	22	29	26	28	25	33	26	28	29	23	17	28	27	47	47	48	44	48	39	53	60	52	68	82	78	79	69	66	55	52	50	58	49	48
diesel generators melbourne		19	18	22	20	20	22	20	19	26	20	8	21	19	8	7	10	8	11	9	9	9	8	9	10	10	11	9	9	8	9	8	11	8	7	8	6	6
diesel engines australia		4	4	4	4	4	4	4	4	4	3	3	3	4	3	3	3	3	3	4	4	4	4	5	6	6	5	5	8	6	5	7	9	6	7	6	6	4
diesel engines for sale australia		11	10	13	9	10	11	11	14	9	9	10	11	12	9	10	10	9	10	12	9	11	10	11	13	12	12	18	15	15	14	14	13	8	15	13	12	13
diesel engine parts australia		15	10	9	10	13	10	12	13	9	9	6	7	9	9	8	10	6	6	6	7	7	7	9	15	13	19	13	11	14	15	14	10	12	11	11	9	10
diesel engines melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
diesel pumps australia		45	13	59	14	16	40	14	12	51	37	37	36	38	40	57	66	72	78	-	96	-	-	-	99	-	-	-	-	-	-	-	-	-	-	-	-	-
diesel engines braeside		1	1	1	1	1	1	1	1	1	1	2	2	2	3	2	1	2	3	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
diesel engines clayton		13	14	10	38	15	19	12	11	12	17	15	16	23	21	15	20	15	12	11	9	4	6	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1
diesel engines dandenong		1	1	2	1	1	2	2	2	2	2	3	3	4	4	3	3	2	2	2	3	3	3	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
diesel engines for sale clayton		3	1	1	2	2	3	5	2	2	4	1	2	2	3	3	3	3	3	3	2	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
diesel engines for sale moorabbin		2	2	2	2	2	2	2	2	2	5	4	4	4	3	2	3	4	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1
diesel engines for sale mordialloc		5	5	2	2	3	3	4	4	4	4	4	3	4	2	3	3	3	3	2	3	4	4	3	2	2	3	2	2	2	3	1	1	1	1	1	1	1
diesel engines moorabbin		5	5	5	4	4	4	4	4	3	6	7	7	7	6	4	5	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
diesel engines mordialloc		6	6	4	5	4	4	4	6	6	3	6	7	3	3	2	2	3	3	3	2	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1
diesel engines oakleigh		3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
mann filters australia		8	7	5	5	5	6	7	8	5	5	5	5	4	5	5	6	5	5	11	7	6	7	9	9	10	12	11	9	10	12	13	10	9	10	22	20	14
mann filters melbourne		2	2	2	3	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	3	2	2	2	2	2	2	1	6	5	5
mann filters distributors australia		2	3	2	2	1	1	1	3	2	2	1	1	2	2	2	2	2	1	2	1	3	1	3	2	2	2	2	1	2	2	2	2	2	2	4	8	5
mann filters braeside		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
mann filters dandenong		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	1
mann filters oakleigh		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
kohler engine parts australia		6	8	8	8	7	6	5	6	9	5	5	5	7	5	4	4	4	4	4	3	3	3	4	4	2	4	6	4	4	5	5	6	6	6	5	4	5
kohler diesel engines australia		3	3	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	4	4	5	5	5	4	4	3	3	3	3	5	8
kohler diesel engines braeside		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kohler diesel engines clayton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kohler diesel engines mordialloc		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kohler diesel engines oakleigh		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kubota engines australia		3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	6	6	5	6	5	5	5	4	4	3	5	5	5
kubota generators australia		15	15	31	19	19	19	15	21	31	29	29	30	28	19	17	16	18	20	20	18	24	25	30	26	27	24	44	42	47	43	37	37	38	26	28	17	24
kubota dealers melbourne		20	16	31	12	36	34	14	17	18	12	12	9	10	13	14	10	9	14	9	12	9	6	10	8	9	12	14	13	12	13	12	12	12	13	15	15	14
kubota dealers australia		25	13	39	11	13	14	15	13	43	41	39	32	27	20	19	18	17	23	34	-	27	23	27	-	30	35	51	49	19	19	38	35	43	36	37	43	39
kubota engine parts australia		4	4	4	3	4	4	4	4	7	5	4	4	5	4	4	3	3	3	3	3	3	4	6	6	6	9	8	7	6	4	4	6	6	6	6	6	5
kubota generators for sale australia		16	17	17	16	15	23	18	19	25	25	27	26	26	21	18	15	17	25	21	21	24	26	24	27	23	35	51	51	48	37	37	38	27	22	28	23	25
kubota diesel engines australia		3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	5	3	5	4	5	5	5	5	5	4	5	4	4
kubota generators melbourne		5	5	5	6	5	8	9	5	9	8	6	7	8	6	9	9	6	5	8	8	6	6	10	9	10	14	11	12	8	8	8	7	7	7	21	9	8
kubota engines melbourne		3	1	2	2	2	1	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kubota engines braeside		2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
kubota engines clayton		1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kubota engines mordialloc		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kubota generators clayton		1	1	1	2	2	2	2	1	2	1	1	1	1	1	1	1	2	2	3	1	1	1	1	3	3	3	2	2	2	2	4	2	2	2	2	2	2
kubota generators moorabbin		1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kubota generators braeside		3	3	3	3	3	3	3	3	3	2	3	3	3	2	2	2	3	3	3	3	3	2	3	2	2	2	3	3	2	2	2	2	2	2	2	2	2
kubota generators dandenong		1	1	1	1	1	1	3	4	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	1	2	4	2	3
kubota generators oakleigh		1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kubota generators mordialloc		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
yanmar engines australia		4	5	3	3	3	2	2	2	3	3	3	3	3	2	3	3	2	2	2	2	2	-	6	6	5	5	5	2	3	3	3	2	2	2	2	2	3
yanmar diesel engines australia		3	4	3	3	3	2	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	4	4	3	4	2	2	2	2	2	2	3	2	2	2
yanmar parts melbourne		2	2	2	3	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	2	2	2	2	2	1	1	1	2
yanmar diesel engines melbourne		3	3	2	2	2	3	3	3	2	1	2	2	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
