		2023-08-09	2023-09-15	2023-10-20	2023-11-17	2024-01-17	2024-02-16	2024-04-19	2024-05-17	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
electrical contractors melbourne		-	-	23	45	55	72	-	80	-	87	-	-	-	-
commercial electrician melbourne		-	-	96	69	68	30	52	32	29	30	33	72	-	-
industrial electrician melbourne		-	-	8	11	10	6	11	11	8	18	9	23	24	25
maintenance electrician melbourne		-	-	85	22	23	26	20	14	7	7	21	21	27	32
gas and electricity safety check melbourne		-	-	19	22	21	20	20	19	13	14	22	23	24	31
electrical contractors pakenham		-	-	12	12	9	11	9	12	6	4	10	18	23	17
electrical contractors frankston		-	-	11	13	16	18	9	8	7	7	12	21	27	19
electrical contractors cranbourne		-	-	12	14	13	14	12	14	9	8	20	23	29	25
electrical contractors berwick		-	-	15	18	21	20	19	19	7	7	16	27	24	24
electrical contractors dandenong		-	-	13	13	17	19	16	13	6	5	16	25	30	53
electrical contractors rowville		-	-	10	12	13	16	6	8	2	3	14	22	25	25
electrical contractors narre warren		-	-	9	7	14	15	11	14	4	4	5	10	6	26
electrical contractors langwarrin		-	-	9	11	15	15	11	13	9	10	19	24	23	24
electrical contractors carrum downs		-	-	9	10	13	6	5	9	3	3	11	21	31	25
electrical contractors carnegie		-	-	55	61	63	59	16	17	10	11	17	23	20	22
electrical contractors mordialloc		-	-	12	19	21	18	12	15	5	5	10	18	17	28
electrical contractors clayton		-	-	-	14	10	9	6	13	3	3	11	18	10	23
electrical contractors springvale		-	-	10	16	14	13	7	7	4	3	9	9	25	19
commercial electrician pakenham		-	-	3	5	9	9	3	5	1	2	6	8	14	13
commercial electrician frankston		-	-	4	5	7	4	4	4	4	5	7	18	25	32
commercial electrician cranbourne		-	-	3	4	4	3	3	3	3	2	4	6	17	21
commercial electrician berwick		-	-	4	4	4	6	5	5	4	4	6	10	10	24
commercial electrician dandenong		-	-	5	7	6	7	5	8	4	3	7	23	27	29
commercial electrician narre warren		-	-	6	5	11	12	5	7	6	7	10	13	16	15
commercial electrician carnegie		-	-	15	19	20	16	4	3	4	4	3	4	5	9
commercial electrician springvale		-	-	1	1	2	2	1	1	1	1	2	3	1	8
industrial electrician pakenham		-	-	2	4	2	3	3	2	1	1	1	1	4	2
industrial electrician frankston		-	-	1	1	1	1	1	1	1	1	3	1	8	13
industrial electrician cranbourne		-	-	1	1	1	1	1	1	1	1	1	1	1	2
industrial electrician dandenong		-	-	5	5	5	6	4	1	3	3	4	7	14	16
industrial electrician narre warren		-	-	3	4	5	7	2	3	1	1	2	4	7	6
industrial electrician carrum downs		-	-	4	5	3	3	3	4	3	2	4	2	3	5
industrial electrician mordialloc		-	-	2	1	2	1	1	1	1	1	2	2	9	9
industrial electrician clayton		-	-	5	3	2	2	2	2	2	2	2	2	-	10
industrial electrician springvale		-	-	1	1	2	2	1	1	1	1	1	2	2	3
