		2023-02-24	2023-03-16	2023-04-14	2023-05-15	2023-05-22	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-16	2024-02-15	2024-03-15	2024-04-19	2024-04-24	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
conveyancers ballarat		-	-	-	20	19	16	14	14	15	18	16	17	23	23	24	21	21	17	19	18	22	17	10	8
conveyancers camperdown		-	-	61	1	2	2	1	2	1	1	2	2	2	2	2	1	1	1	2	1	1	1	2	2
conveyancers cobden		10	9	10	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	2	2	2	2	2	2
conveyancers colac		14	15	12	7	6	5	5	5	6	5	4	5	5	5	8	7	7	7	4	4	6	3	3	4
conveyancers hamilton		-	-	-	6	6	6	6	2	3	5	4	3	4	3	3	2	2	2	2	3	1	2	3	1
conveyancers mortlake		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	2
conveyancers port fairy		-	-	-	2	2	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1
conveyancers portland		-	-	-	3	4	5	3	3	5	4	5	6	5	5	8	7	7	2	2	4	3	3	3	2
conveyancers terang		10	11	10	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
conveyancers warrnambool		1	3	2	2	3	6	6	5	6	7	6	3	3	5	3	2	2	2	2	2	1	2	2	2
personal injury lawyers ballarat		50	-	49	5	6	4	3	2	2	1	1	2	3	1	5	3	2	4	3	1	4	3	2	4
personal injury lawyers camperdown		-	-	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
personal injury lawyers cobden		14	15	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
personal injury lawyers colac		5	6	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2
personal injury lawyers hamilton		-	-	-	1	1	1	1	1	1	2	2	2	2	2	3	3	3	2	1	1	1	1	2	2
personal injury lawyers mortlake		20	36	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
personal injury lawyers port fairy		-	-	-	1	1	1	1	-	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
personal injury lawyers portland		-	-	-	1	1	1	1	1	2	1	1	1	2	1	2	2	2	1	1	2	1	1	-	1
personal injury lawyers terang		3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
personal injury lawyers warrnambool		3	4	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	3	3	3	4
property lawyers ballarat		65	73	73	7	6	6	6	4	6	4	4	4	4	4	4	4	4	4	4	4	4	4	2	4
property lawyers camperdown		15	21	17	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	2	2
property lawyers cobden		6	7	9	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
property lawyers colac		5	4	4	3	3	3	3	3	3	2	2	2	2	2	3	2	2	2	2	2	3	2	2	3
property lawyers hamilton		-	-	-	2	1	2	2	-	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1
property lawyers mortlake		21	17	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	7	1
property lawyers port fairy		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
property lawyers portland		-	-	-	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
property lawyers terang		12	14	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
property lawyers warrnambool		3	3	4	3	3	3	3	-	4	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2
will contest lawyers ballarat		38	62	53	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
will contest lawyers brighton		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
will contest lawyers camperdown		10	13	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
will contest lawyers mornington		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
will contest lawyers cobden		6	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
will contest lawyers colac		9	10	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
will contest lawyers craigieburn		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4
will contest lawyers echuca		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
will contest lawyers frankston		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
will contest lawyers geelong		56	65	61	1	1	1	3	2	1	1	2	2	2	1	1	1	1	1	1	1	2	1	3	1
will contest lawyers hamilton		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
will contest lawyers mortlake		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
will contest lawyers port fairy		-	12	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
will contest lawyers portland		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1
will contest lawyers ringwood		-	-	-	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	1	1	1	1	1	1
will contest lawyers springvale		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
will contest lawyers sunbury		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
will contest lawyers terang		4	5	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
will contest lawyers warrnambool		8	7	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
will contest lawyers werribee		-	-	-	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
personal injury lawyers melbourne		-	70	-	42	28	29	17	14	20	16	21	22	26	28	20	24	21	23	16	22	43	19	29	19
property lawyers melbourne		-	-	-	44	53	25	22	25	28	29	23	22	27	14	18	24	23	20	21	-	33	57	39	31
will contest lawyers melbourne		-	-	-	78	3	40	7	7	9	9	8	9	9	6	6	7	7	5	7	7	7	8	6	7
property conveyancers melbourne		-	-	-	-	-	71	77	96	98	-	-	36	40	36	74	-	-	98	75	-	-	-	-	-
injury compensation lawyers melbourne		-	-	-	34	23	33	20	17	24	14	23	27	29	32	24	22	24	24	24	22	28	19	21	19
