		2024-09-16	2024-10-18	2024-11-14
Excavation Melbourne		-	-	49
Excavation Contractors Melbourne		-	-	46
Earthmoving Melbourne		-	-	-
Earthmoving Contractors Melbourne		-	-	89
Piling Contractor Melbourne		-	63	19
Piling Services Melbourne		-	86	19
Site Cut Excavation		-	77	38
Basement Construction Melbourne		-	33	18
Archaeological Excavation Services		-	20	4
Soil Waste Disposal Melbourne		-	-	20
Excavation Ballarat		-	74	16
Excavation Bacchus Marsh		-	19	7
Excavation Melton		-	7	4
Excavation Caroline Springs		-	3	1
Excavation Brooklyn		-	8	2
Excavation Newport		-	7	4
Excavation Footscray		-	10	3
Excavation Richmond		-	32	7
Excavation Brunswick		-	21	4
Excavation Tullamarine		-	14	3
Excavation Campbellfield		-	21	2
Excavation Craigieburn		-	79	5
Excavation Sunbury		-	37	10
Excavation Epping		-	9	5
Excavation Eltham		-	13	7
Excavation Kew		-	17	5
Excavation Canterbury		-	19	2
Excavation Armadale		-	91	6
Excavation Windsor		-	7	3
Excavation Burwood		-	11	7
Excavation Blackburn		-	13	10
Excavation Doncaster		-	18	4
Excavation Donvale		-	6	4
Excavation Vermont		-	-	2
Excavation Ringwood		-	29	7
Excavation Dandenong		-	-	7
Excavation Hallam		-	4	3
Excavation Bayswater		-	25	5
Earthmoving Ballarat		-	-	35
Earthmoving Bacchus Marsh		-	41	9
Earthmoving Melton		-	42	7
Earthmoving Caroline Springs		-	3	2
Earthmoving Brooklyn		-	12	3
Earthmoving Newport		-	9	11
Earthmoving Footscray		-	26	2
Earthmoving Richmond		-	38	2
Earthmoving Brunswick		-	8	3
Earthmoving Tullamarine		-	47	3
Earthmoving Campbellfield		-	20	4
Earthmoving Craigieburn		-	37	3
Earthmoving Sunbury		-	43	4
Earthmoving Epping		-	6	3
Earthmoving Eltham		-	43	8
Earthmoving Kew		-	14	5
Earthmoving Canterbury		-	57	2
Earthmoving Armadale		-	82	5
Earthmoving Windsor		-	19	5
Earthmoving Burwood		-	5	6
Earthmoving Blackburn		-	6	9
Earthmoving Doncaster		-	17	4
Earthmoving Donvale		-	13	2
Earthmoving Vermont		-	7	2
Earthmoving Ringwood		-	28	8
Earthmoving Dandenong		-	-	8
Earthmoving Hallam		-	7	2
Earthmoving Bayswater		-	38	6
