		2021-12-16	2022-01-20	2022-02-17	2022-03-16	2022-05-20	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-08	2022-11-28	2022-12-16	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-07-20	2023-08-14	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
mobile pink slip inspections		-	-	-	-	-	-	-	-	-	-	-	14	11	12	9	12	8	-	11	8	10	7	9	9	9	15	15	15	14	14	13	13	16	15
mobile mechanic sydney		-	-	-	-	-	-	-	-	-	-	-	7	9	8	8	13	11	-	15	13	15	20	12	15	11	11	10	9	7	8	7	12	6	13
mobile car repairs sydney		-	-	-	-	-	-	-	-	-	-	-	7	8	9	9	11	12	-	14	13	19	21	18	14	15	11	19	17	16	18	24	16	22	22
car repair wilton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	6	7	9	5	11	3	4	5	5	3	8	8	9	2
car repair picton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17	11	18	6	-	11	12	8	8	5	6	4	5	6	5
car repair wollongong		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	39	-	32	-	32	32	31	28	-	26	28	28	25	20	23
car repair leppington		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	10	-	69	14	8	12	8	10	9	6	7	8	9	8	6	7	5	5
car repair prestons		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	15	11	10	11	6	8	8	8	8	8	12	10	11	11
mobile mechanic wilton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	7	-	22	2	3	6	2	4	2	1	1	1	1	1	2	1	1	1
mobile mechanic picton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	6	-	19	6	5	6	5	3	3	3	2	3	1	1	1	1	1	1
mobile mechanic wollongong		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13	-	-	66	7	5	5	4	3	3	3	3	4	3	3	2	2	4	2
mobile mechanic leppington		-	-	-	-	-	-	-	-	-	-	-	72	70	-	-	6	6	-	21	5	2	2	2	2	2	2	2	2	2	2	1	1	2	1
mobile mechanic prestons		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	31	5	-	18	4	5	2	2	2	2	2	2	2	2	2	2	2	3	3
car repair campbelltown		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	35	29	30	24	22	24	22	-	30	28	29	24	26	25	25
car repair ingleburn		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	54	45	56	26	28	28	31	25	27	25	24	25	17	20	21
mobile mechanic campbelltown		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	36	-	7	11	12	4	4	4	4	5	5	3	3	6	2
mobile mechanic ingleburn		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	5	24	5	5	3	3	3	3	3	3	3	3	3	2	3
