		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-03	2022-04-22	2022-05-12	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-03-27	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-08-30	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-17	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-10	2024-08-16	2024-09-20	2024-10-18	2024-11-14
caravan manufacturers albury		1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	3	2	2	2	3	3	3	1	1	1	2	1	1	1	1	1	2
caravan manufacturers ballarat		1	1	1	2	2	2	2	2	3	2	2	2	1	2	2	2	2	2	5	1	1	2	1	1	1	2	1	1	2	3	3	1	2	3	3	3	3	3	4
caravan manufacturers bendigo		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	3	1	1	1	2	1	1	1	3	3	2	3	3	1	1	1	3	3	3
caravan manufacturers campbellfield		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
caravan manufacturers frankston		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
caravan manufacturers geelong		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
caravan manufacturers mornington		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1
caravan manufacturers pakenham		1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
caravan manufacturers wodonga		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
caravan manufacturers yarrawonga		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2
caravan mornington		9	9	9	15	10	8	8	9	7	8	8	8	7	8	8	6	9	9	14	11	10	11	11	12	17	21	19	13	20	23	21	31	23	26	22	19	28	13	16
caravans albury		13	12	10	11	9	9	9	11	11	8	7	8	8	11	8	6	6	8	5	5	7	5	5	6	6	6	6	6	7	5	5	5	4	4	4	4	4	4	6
caravans ballarat		8	7	7	7	7	6	6	6	6	7	6	6	6	7	6	7	7	6	6	6	7	6	7	6	5	5	4	6	6	6	5	5	5	5	5	5	7	7	7
caravans bendigo		9	11	10	9	8	8	7	9	9	9	8	7	6	8	8	9	9	9	9	9	9	7	9	9	10	8	7	7	7	7	8	8	8	7	7	7	7	7	9
caravans campbellfield		3	2	3	3	3	3	2	2	2	3	2	1	1	2	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	24	1	1	1	1
caravans frankston		6	2	3	3	3	2	3	4	2	3	3	2	3	3	2	1	2	1	1	2	3	2	1	3	2	1	1	1	1	1	1	1	2	2	3	2	4	4	4
caravans geelong		9	8	8	11	10	9	10	9	10	10	10	9	11	12	12	13	12	14	15	15	13	14	13	15	13	13	10	10	13	12	13	11	11	12	12	12	14	10	9
caravans pakenham		4	3	3	4	3	3	3	3	2	2	3	3	3	3	3	2	3	3	4	2	2	2	2	2	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3
caravans wodonga		9	8	7	8	9	8	7	7	5	6	5	6	6	5	4	4	5	5	3	3	2	3	3	3	3	3	4	4	3	3	3	3	3	3	3	3	3	3	3
caravans yarrawonga		3	4	3	4	4	3	2	2	2	2	3	3	3	3	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	2	2	2	2	2	2	2	2	3	3
caravan manufacturers melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	1	2	1	2	2	2	1	2	2	2	1	1	1	1	1
caravans for sale melbourne		21	27	18	20	17	18	24	27	26	27	32	34	34	31	30	30	26	26	26	31	30	25	28	25	31	29	26	24	24	26	26	24	27	36	38	27	29	27	26
caravans melbourne		12	16	11	10	10	12	12	11	11	7	14	13	12	16	12	13	15	12	14	16	17	22	30	24	23	21	18	19	17	16	18	18	20	18	19	16	14	14	13
