		2024-08-05	2024-09-20	2024-10-18	2024-11-14
DVA psychiatric assessments Brisbane		-	1	1	1
Veteran psychiatric evaluations		-	1	1	1
Psychiatric assessment for veterans		-	5	4	8
Mental health assessments for veterans		-	33	2	1
Military service psychiatric		-	-	-	-
DVA psychiatric assessment Sydney		-	6	8	4
Psychiatric assessment for veterans Sydney		-	7	18	2
DVA psychiatric assessment Melbourne		-	5	4	3
Psychiatric assessment for veterans Melbourne		-	8	6	1
DVA psychiatric assessment Adelaide		-	6	1	1
Psychiatric assessment for veterans Adelaide		-	5	1	1
DVA psychiatric assessment Perth		-	15	8	7
Psychiatric assessment for veterans Perth		-	7	3	5
DVA psychiatric assessments Hobart		-	11	2	1
Psychiatric assessment for veterans Hobart		-	-	2	1
DVA psychiatric assessments Gold Coast		-	8	1	1
Psychiatric assessment for veterans Gold Coast		-	-	1	1
DVA psychiatric assessment Canberra		-	8	11	2
Psychiatric assessment for veterans Canberra		-	10	9	4
Veteran psychiatric reports		-	2	1	1
Psychiatric reports for veterans		-	1	1	1
Independent DVA mental health reports		-	18	21	23
DVA report writing service		-	1	1	2
Veteran mental health services		-	-	15	23
Australian veteran mental health		-	-	-	-
Independent medical opinions DVA		-	-	-	45
DVA mental health claims		-	47	12	30
