		2021-11-18	2021-12-13	2021-12-21	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-08-31	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-04-23	2024-05-13	2024-05-17	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-13
add on air conditioning		10	9	8	15	17	20	64	51	42	31	27	26	28	48	39	50	46	59	73	52	64	38	28	35	34	34	26	53	64	66	70	-	76	76	-	66	-	77	79	76	-
add on cooling		59	59	36	54	56	58	67	59	51	42	34	26	20	23	22	19	28	38	40	51	52	50	31	36	34	36	33	35	59	63	65	76	80	70	66	85	67	76	63	48	61
air conditioner installation melbourne		11	11	11	13	10	17	15	17	16	14	14	17	18	13	14	42	16	14	14	13	13	12	9	7	9	4	4	5	6	6	5	5	5	5	5	5	5	5	6	6	8
air conditioner melbourne		27	24	39	31	52	71	53	92	96	76	80	81	-	41	59	-	89	90	74	-	-	89	93	60	41	13	15	17	15	12	15	14	14	12	11	10	14	27	19	19	-
air conditioner service melbourne		31	36	45	37	41	39	44	68	69	47	53	-	-	-	85	93	-	81	72	61	-	59	43	50	56	55	57	76	72	63	71	-	-	-	96	69	64	-	90	41	45
air conditioning		-	-	-	-	-	-	-	-	-	91	-	-	-	-	-	-	-	-	-	72	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
air conditioning installation		32	17	62	32	34	47	-	45	33	30	29	31	40	30	75	74	71	22	29	32	62	32	25	18	13	6	5	11	12	14	9	17	12	14	12	8	23	23	20	19	25
air conditioning installers melbourne		14	14	16	14	17	18	17	18	22	19	20	21	22	19	25	64	20	14	13	13	14	15	11	10	9	5	6	8	8	5	6	7	5	5	5	5	7	6	6	6	7
air conditioning melbourne		46	32	95	56	87	73	89	-	-	-	-	-	-	-	-	-	-	81	-	-	-	-	-	-	-	-	-	12	-	-	-	-	28	-	12	9	15	39	36	15	19
air conditioning service melbourne		23	22	43	47	54	78	89	-	-	-	70	-	-	-	-	-	-	92	86	81	96	76	53	60	71	45	75	78	32	31	31	62	-	32	30	28	72	89	42	50	-
airconditioning		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	42	-	-	-	42	-	39	78	-	-	-	29	-	77	76	-	-
commercial air conditioning installation		32	12	15	9	11	11	12	-	-	39	24	42	55	-	44	30	33	40	41	38	53	26	24	23	25	22	18	31	21	39	34	16	31	19	18	16	20	21	-	15	40
commercial air conditioning melbourne		38	31	53	47	58	54	52	48	28	15	28	13	12	26	21	16	19	13	13	19	29	-	-	28	30	16	24	24	23	20	22	21	26	21	21	12	23	12	16	17	22
commercial air conditioning systems		-	56	-	70	28	91	-	22	21	17	17	21	56	46	45	59	44	63	77	70	93	36	33	31	52	46	51	44	44	48	-	-	-	95	-	80	-	43	93	56	53
commercial heating and cooling		25	31	63	84	62	56	20	70	7	15	8	8	10	14	11	6	15	16	11	8	9	9	6	6	6	7	6	7	6	12	4	4	4	3	4	2	5	1	4	5	3
daikin aircon		21	13	36	46	80	60	64	58	57	49	46	53	50	-	93	-	-	-	-	-	-	-	-	-	80	70	-	-	-	79	-	-	-	-	-	-	-	-	-	-	-
daikin airconditioning melbourne		5	5	5	4	4	4	7	8	8	7	8	8	9	8	8	8	10	10	8	11	9	7	10	8	10	8	10	9	19	16	22	17	17	18	18	13	13	17	19	17	11
daikin hvac		34	37	42	35	41	6	39	6	7	5	6	5	5	1	6	5	12	10	11	16	16	7	8	9	9	10	9	13	10	11	8	10	12	13	10	-	43	18	45	51	-
daikin split system melbourne		6	6	6	6	6	6	6	9	8	8	9	10	12	13	13	12	12	12	18	19	20	21	14	10	16	17	20	20	27	27	15	19	19	26	24	33	25	22	13	12	10
daikin vrv		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
domestic ducted air conditioning systems		26	60	45	58	56	22	-	-	-	10	-	-	-	-	-	-	-	-	-	27	-	67	74	70	50	12	59	14	-	18	93	-	-	-	-	-	60	82	55	-	-
duct heating system		9	-	-	16	10	7	9	12	13	18	14	15	13	15	10	-	-	87	37	45	30	-	25	27	25	25	22	23	-	-	69	28	26	27	46	75	70	59	74	64	53
