		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-08-31	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-13
Electrician Balwyn		20	21	14	9	9	8	5	6	5	8	8	8	8	7	8	8	11	11	11	11	17	36	34	17	-	8	8	9	10	9	8	7	12	12	19	16	13	14
Electrician Bayswater		3	3	2	2	1	2	2	4	3	3	1	1	1	1	1	2	4	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	4	5	3	3
Electrician Blackburn		3	1	1	2	1	3	3	4	6	16	3	2	4	3	4	5	6	6	8	6	7	7	8	9	5	4	4	4	6	3	5	3	3	3	4	2	2	7
Electrician Box Hill		15	19	16	13	10	7	8	9	13	12	11	10	10	11	11	12	12	12	14	13	25	19	22	13	19	11	11	10	11	15	14	18	11	12	13	12	11	14
Electrician Brighton		11	10	8	6	6	7	7	8	11	23	12	13	9	11	11	13	12	8	8	6	9	10	16	12	15	8	12	12	13	8	22	11	7	11	25	45	41	24
Electrician Bulleen		5	5	4	4	3	3	4	3	3	5	3	4	4	3	4	4	5	4	7	7	8	7	7	5	6	3	3	3	4	3	1	10	6	6	4	6	5	7
Electrician Camberwell		13	15	13	13	9	11	10	11	12	12	10	12	12	12	13	12	12	11	12	11	13	12	12	13	15	16	13	8	10	9	19	19	17	18	15	8	13	16
Electrician Chadstone		8	7	6	6	7	5	6	7	6	7	9	8	8	9	8	8	9	10	10	9	12	9	10	13	10	9	8	9	10	10	10	9	9	8	9	11	10	10
Electrician Croydon		1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	4	4	2	3	5	3	1	1	1	2	1	3	4	4	5	5	2	1	1
Electrician Doncaster		14	13	9	12	9	7	5	7	8	9	6	6	6	6	5	5	6	7	7	9	12	14	24	18	20	12	14	13	13	11	16	15	17	15	12	10	9	28
Electrician Eastern Suburbs		2	2	1	1	1	1	1	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	3	1	1	1	1	2	1	1	1	1	4	1	3	2
Electrician Ferntree Gully		12	12	11	9	9	6	9	6	9	11	8	7	10	7	8	8	9	7	12	13	15	13	14	8	8	6	7	6	7	8	8	9	8	10	5	5	7	9
Electrician Forest Hill		4	4	4	2	2	1	2	2	3	3	3	3	1	1	1	1	2	3	4	3	5	4	4	4	4	4	4	5	1	2	6	4	3	5	7	9	16	5
Electrician Glen Iris		12	14	10	9	9	10	9	15	17	16	17	15	17	13	15	16	13	13	9	8	16	15	12	15	16	15	15	13	14	13	14	15	14	10	9	9	6	5
Electrician Glen Waverley		11	12	10	10	9	8	7	9	9	9	6	6	6	6	5	5	7	7	7	7	9	8	7	8	10	13	22	25	26	13	20	13	11	10	10	10	6	8
Electrician Greensborough		4	3	4	4	3	3	5	8	7	9	12	11	11	10	11	10	13	12	11	8	11	8	8	7	7	6	7	5	7	2	5	4	4	2	3	2	3	3
Electrician Hawthorn		12	10	9	8	4	7	7	7	9	8	8	8	7	5	4	4	4	5	5	6	7	4	5	7	12	9	10	12	13	11	15	19	11	25	16	20	31	31
Electrician Kew		7	8	10	9	4	6	7	8	13	13	15	11	12	12	9	9	9	13	9	9	8	9	9	10	9	7	7	8	7	7	6	9	11	5	8	8	9	9
Electrician Lilydale		3	3	3	3	3	3	3	3	3	4	3	3	3	2	3	5	5	5	5	4	4	3	2	4	2	2	2	3	3	4	5	6	7	4	5	5	5	2
Electrician Malvern		9	12	6	9	9	13	14	16	16	15	13	12	11	13	11	13	10	11	11	9	14	13	17	14	22	25	22	28	30	31	30	36	44	32	35	38	41	44
Electrician Maroondah		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1
Electrician Mitcham		6	7	4	2	2	2	2	4	3	2	2	2	2	1	2	4	5	4	4	5	5	4	6	3	4	3	3	3	3	3	2	3	3	3	3	3	4	3
Electrician Montrose		1	1	1	1	1	1	3	3	3	3	2	2	3	2	2	2	3	4	4	5	6	6	4	4	5	5	4	3	3	3	3	3	4	3	4	3	5	3
Electrician Mooroolbark		2	1	2	1	2	2	3	4	4	3	3	3	3	3	4	5	4	4	3	5	4	4	5	5	4	3	4	4	5	3	4	4	4	5	4	2	1	3
Electrician Nunawading		4	4	4	4	4	2	3	2	3	3	2	2	2	1	2	3	5	4	4	4	8	3	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
Electrician Ringwood		3	3	1	1	3	4	3	4	3	3	3	3	3	1	2	3	4	5	5	5	5	4	5	5	4	1	1	2	2	1	2	2	2	2	2	2	2	4
Electrician Seville		3	3	3	3	3	3	3	2	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	4	2	2	2	11
Electrician Surrey Hills		3	3	4	4	4	5	7	10	10	11	9	9	10	9	10	11	8	6	4	4	4	4	5	6	8	5	5	6	6	5	3	4	5	7	8	2	7	4
Electrician Templestowe		4	8	7	9	7	5	3	7	8	9	5	4	6	3	3	4	6	4	6	6	6	6	7	4	5	5	5	4	5	3	4	5	4	5	6	9	6	6
Electrician Vermont		9	8	4	6	4	5	5	7	10	20	10	-	11	5	7	8	7	9	11	8	13	16	18	14	17	8	14	10	14	12	15	9	8	7	7	8	99	6
Electrician Wantirna		11	11	9	8	8	9	8	10	9	11	9	5	5	5	6	6	6	6	6	5	6	4	6	5	4	3	2	2	3	3	5	8	7	6	9	20	7	6
Electrician Warrandyte		3	3	2	1	1	3	2	4	4	4	2	2	4	3	5	5	7	5	7	7	5	5	6	5	6	2	2	2	2	2	2	2	2	2	2	1	2	3
