		2023-02-24	2023-03-09	2023-04-03	2023-04-14	2023-05-17	2023-05-19	2023-06-08	2023-06-21	2023-07-03	2023-07-20	2023-08-17	2023-09-06	2023-10-20	2023-11-17	2023-12-07	2023-12-22	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
painters toorak		24	23	30	26	27	19	20	18	17	16	19	17	10	14	6	12	6	6	6	7	6	6	7	6	7	9	6
painters st kilda		19	19	27	22	-	-	21	22	14	-	18	11	8	8	7	7	7	7	5	4	4	4	4	4	4	5	6
painters richmond		20	20	41	37	-	-	-	20	20	18	17	8	11	10	9	6	6	8	3	3	4	8	11	11	3	11	19
painters brighton		-	-	-	57	-	-	-	-	28	19	16	9	6	5	4	4	4	3	3	3	3	4	3	3	3	-	3
painters camberwell		40	82	54	35	-	-	-	-	35	32	31	17	13	16	9	15	6	11	5	6	7	9	11	10	12	10	11
painters kew		-	-	-	-	-	-	-	-	27	23	18	8	5	6	5	3	3	4	3	4	5	5	3	4	4	3	5
painters south yarra		-	-	-	55	-	-	-	28	22	22	21	13	13	10	8	9	9	10	10	9	8	8	7	8	13	16	19
painters essendon		27	85	-	21	19	19	17	16	17	23	19	15	16	14	14	15	14	14	14	11	13	16	15	13	12	51	11
painters southbank		69	73	-	15	58	13	12	11	8	9	8	5	3	1	1	1	1	1	1	1	1	1	2	1	2	2	7
painters port melbourne		-	-	-	19	73	-	78	15	16	14	17	11	13	11	7	7	7	10	8	8	8	11	11	11	10	8	9
painters prahran		18	18	22	16	17	24	27	8	9	5	4	3	2	2	3	3	2	5	4	5	9	9	9	10	9	9	8
painters docklands		-	10	-	12	41	69	65	15	11	11	8	7	5	5	5	5	5	6	5	4	4	4	4	4	4	8	5
house painters toorak		20	18	22	23	15	33	23	19	24	25	24	19	17	18	10	13	10	7	6	8	8	7	7	8	10	-	9
house painters st kilda		18	18	17	15	48	59	54	-	14	15	13	10	7	5	4	5	5	3	2	2	2	3	4	3	3	5	5
house painters richmond		16	18	-	22	95	-	-	18	17	17	19	6	5	5	5	6	5	3	2	3	4	4	5	3	4	12	18
house painters brighton		-	-	-	-	-	-	-	-	25	22	20	11	10	8	8	8	9	7	6	5	4	6	4	3	5	5	3
house painters camberwell		34	45	44	27	31	51	51	33	28	37	31	22	21	14	7	14	7	8	3	2	2	3	4	4	5	4	4
house painters kew		55	-	72	61	66	73	76	70	31	25	26	10	6	3	2	2	3	1	1	2	2	3	2	5	4	3	3
house painters south yarra		-	-	-	38	-	-	-	23	23	20	20	12	10	5	5	6	8	7	7	6	5	6	5	6	8	16	17
house painters essendon		37	43	43	25	21	25	19	18	17	20	21	18	16	15	16	18	15	15	14	12	13	19	19	21	17	16	13
house painters southbank		20	17	23	16	13	16	18	13	11	11	13	9	3	3	2	2	1	2	2	2	2	2	1	2	3	2	7
house painters port melbourne		56	-	-	-	45	-	48	17	17	18	15	11	12	-	9	8	7	11	8	8	8	9	9	10	9	8	8
house painters prahran		22	21	22	19	20	19	17	13	14	7	5	3	2	2	2	3	3	3	3	4	5	7	7	8	9	7	8
house painters docklands		10	11	14	13	10	12	13	13	12	8	7	7	5	5	5	5	5	5	5	3	3	4	4	4	4	4	5
