		2022-12-24	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-12	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-04	2024-05-16
Dry Cleaners Albert Park		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Dry Cleaners South Melbourne		7	6	5	6	5	6	5	1	1	2	1	1	1	1	1	1	1	1
Dry Cleaners Port Melbourne		9	9	9	4	2	4	3	3	5	5	4	4	4	4	4	5	4	4
Dry Cleaners St Kilda		59	39	33	42	3	4	2	2	2	2	1	1	1	1	1	1	1	1
Dry Cleaners Elwood		-	75	47	73	1	1	1	1	1	1	2	2	2	2	2	2	2	2
Dry Cleaners Hawthorn East		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Dry Cleaners Burwood		-	81	84	-	4	15	2	2	2	2	3	2	2	2	3	3	3	3
Dry Cleaners Richmond		81	82	50	79	5	95	2	3	5	3	4	6	4	7	3	3	3	3
Dry Cleaners Camberwell		3	3	3	3	3	3	3	3	2	3	3	2	3	3	3	3	1	2
Dry Cleaners Kew		83	96	97	-	3	2	2	2	2	2	4	3	3	4	4	4	4	4
Dry Cleaners Ashburton		2	3	3	3	3	2	3	3	2	2	2	2	2	2	2	2	2	2
Dry Cleaners Hawthorn		2	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1
Dry Cleaners Balwyn		-	92	90	-	6	8	5	5	11	11	11	6	7	5	4	4	4	4
Dry Cleaners Box Hill		-	-	-	-	4	2	2	2	2	2	2	2	2	2	2	2	2	2
Dry Cleaners Abbotsford		-	-	-	-	1	2	1	1	1	1	1	1	1	1	1	1	1	1
Dry Cleaners Surrey Hills		-	-	-	-	5	5	4	3	2	1	2	2	2	2	2	1	1	1
Dry Cleaners Canterbury		23	20	20	22	2	3	3	3	3	3	3	3	3	3	4	3	2	2
Dry Cleaners Malvern		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Dry Cleaners South Yarra		32	30	32	30	5	4	6	6	7	9	8	8	9	9	9	6	6	8
Dry Cleaners Toorak		11	10	10	11	5	5	5	4	3	4	3	3	2	3	4	3	3	2
Dry Cleaners Windsor		91	80	68	83	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Dry Cleaners Armadale		13	13	15	14	8	7	3	1	1	2	1	1	1	1	1	1	1	1
Dry Cleaners Prahran		42	37	28	42	6	9	8	4	4	4	4	4	4	5	5	5	4	5
Laundromat Malvern		6	7	5	6	3	3	3	3	1	3	3	3	3	2	1	3	1	1
Laundromat South Yarra		-	-	-	60	5	5	5	5	4	6	7	7	7	4	6	4	7	3
Laundromat Toorak		40	37	40	55	6	6	5	6	5	9	6	6	6	6	5	5	4	3
Laundromat Windsor		-	-	-	-	3	1	1	2	3	2	2	1	1	1	3	3	3	3
Laundromat Armadale		51	-	-	-	7	6	4	4	4	5	5	4	5	4	4	5	3	4
Laundromat Prahran		-	-	-	-	4	4	4	2	2	2	2	2	2	2	2	2	2	2
Dry Cleaners Werribee		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Dry Cleaners Point Cook		4	4	5	5	3	3	2	2	2	2	2	2	2	2	2	2	2	2
Dry Cleaners Hoppers Crossing		4	3	3	4	2	1	2	1	1	1	1	1	1	1	1	1	1	1
Dry Cleaners Tarneit		10	10	10	10	5	4	4	2	1	1	1	2	1	1	1	1	1	1
Dry Cleaners Sanctuary Lakes		7	7	3	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Dry Cleaners South Kingsville		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Dry Cleaners Williamstown		2	2	2	1	1	1	2	2	4	2	1	1	1	1	1	1	1	1
Dry Cleaners Altona		15	15	41	45	3	3	2	1	1	1	1	1	1	1	1	1	1	1
Dry Cleaners Newport		-	-	-	-	66	2	2	1	1	1	1	1	1	1	1	1	1	1
Dry Cleaners Altona North		35	40	22	24	2	2	2	2	1	1	2	2	2	1	1	1	1	1
Dry Cleaners Seddon		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Dry Cleaners Kensington		30	25	32	33	4	1	1	1	1	1	1	1	1	1	1	1	1	1
Dry Cleaners Yarraville		78	83	13	13	6	2	2	2	2	2	2	2	2	2	2	2	2	2
Dry Cleaners Footscray		5	3	4	5	2	4	4	4	4	4	3	4	4	2	2	2	2	2
Dry Cleaners Flemington		76	80	88	74	3	2	2	2	2	3	1	1	1	1	1	1	1	1
Dry Cleaners Albion		91	77	56	47	29	2	2	1	2	2	2	2	1	1	1	1	1	1
Dry Cleaners Sunshine		64	11	59	67	4	3	3	3	2	3	3	4	3	3	3	2	2	2
Dry Cleaners West Footscray		12	10	9	12	4	4	4	2	2	2	2	2	2	2	2	2	2	2
Dry Cleaners Maidstone		69	70	72	84	3	2	3	3	3	3	5	5	5	2	3	4	3	2
Dry Cleaners Maribyrnong		47	65	64	-	4	3	2	1	1	2	2	1	1	1	1	1	1	1
Alterations Seddon		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Alterations Kensington		-	75	67	-	6	5	5	5	4	6	5	4	3	3	1	1	1	1
Alterations Yarraville		-	-	-	-	6	4	4	4	4	3	2	2	2	1	1	1	1	1
Alterations Footscray		19	18	19	20	8	8	8	8	6	8	6	6	9	8	9	9	8	5
Alterations Flemington		-	-	-	-	6	5	6	5	6	6	5	5	5	4	4	4	4	4
Alterations Albion		-	-	-	-	-	4	1	1	1	1	1	1	1	1	1	1	1	1
Alterations Sunshine		-	-	-	-	8	8	8	8	10	8	9	13	11	14	12	12	12	12
Alterations West Footscray		-	-	-	-	10	9	11	8	10	11	7	7	6	6	4	5	5	4
Alterations Maidstone		-	-	-	-	2	3	2	2	2	2	2	2	3	3	3	3	2	2
Alterations Maribyrnong		-	-	-	-	8	3	6	3	8	9	7	6	7	8	9	8	8	6
Dry Cleaners Balaclava		-	57	66	36	3	4	1	1	2	2	2	2	1	1	1	1	1	1
