		2024-08-20	2024-09-20	2024-10-18	2024-11-14	2024-12-03
electrician beaconsfield		46	59	18	27	23
electrician clyde		-	-	16	14	21
electrician warragul		31	25	20	19	18
electrician drouin		-	70	17	12	10
electrician bunyip		9	11	5	2	2
electrician garfield		6	6	4	4	4
electrician pakenham		10	13	9	7	7
electrician officer		22	-	17	20	22
electrician berwick		43	41	12	13	15
ev charger installation beaconsfield		-	-	1	1	1
ev charger installation clyde		-	-	3	1	2
ev charger installation warragul		-	-	2	2	2
ev charger installation drouin		-	-	2	2	2
ev charger installation bunyip		-	-	1	1	1
ev charger installation garfield		-	-	1	1	1
ev charger installation pakenham		-	-	2	1	1
ev charger installation officer		-	-	3	2	2
ev charger installation berwick		-	-	1	2	1
electrical contractor beaconsfield		43	48	7	8	7
electrical contractor clyde		-	-	20	17	18
electrical contractor warragul		40	-	17	10	10
electrical contractor drouin		80	-	17	9	7
electrical contractor bunyip		8	12	2	1	1
electrical contractor garfield		13	19	2	4	5
electrical contractor pakenham		17	27	9	6	7
electrical contractor officer		-	-	7	4	4
electrical contractor berwick		45	45	10	10	10
commercial electrician beaconsfield		20	26	6	9	8
commercial electrician clyde		-	-	7	4	4
commercial electrician warragul		19	22	9	8	8
commercial electrician drouin		58	-	4	5	5
commercial electrician bunyip		10	12	1	1	1
commercial electrician garfield		7	9	3	2	3
commercial electrician pakenham		17	21	16	15	13
commercial electrician officer		45	-	8	3	4
commercial electrician berwick		26	24	5	8	9
switchboard upgrade beaconsfield		12	12	1	1	1
switchboard upgrade clyde		-	57	1	1	1
switchboard upgrade warragul		6	2	1	1	1
switchboard upgrade drouin		10	9	1	1	1
switchboard upgrade bunyip		1	2	1	1	1
switchboard upgrade garfield		4	3	1	1	1
switchboard upgrade pakenham		55	25	1	1	1
switchboard upgrade officer		-	-	3	3	2
switchboard upgrade berwick		31	27	1	1	1
