		2022-09-12	2022-10-13	2022-11-17	2022-11-28	2022-12-15	2023-01-19	2023-01-31	2023-02-17	2023-03-16	2023-03-27	2023-04-14	2023-05-08	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-12	2024-05-08	2024-06-15	2024-07-20	2024-08-26	2024-09-23	2024-10-18	2024-11-14
work harassment lawyers		3	4	3	3	3	3	2	3	3	-	2	2	2	3	3	3	3	2	2	2	2	2	2	2	3	1	1	1	4	3
work harassment lawyers brisbane		-	-	-	-	-	-	-	11	14	-	21	13	16	15	12	15	16	11	11	11	15	15	12	10	9	10	7	8	11	10
work harassment lawyers melbourne		-	-	-	-	-	-	-	2	2	-	2	2	2	3	2	3	2	1	2	2	2	2	2	2	2	2	2	3	2	2
work harassment lawyers sydney		-	-	-	-	-	-	-	11	15	-	17	16	14	12	12	11	15	12	10	2	6	3	15	11	11	10	8	17	20	14
work harassment lawyers adelaide		-	-	-	-	-	-	-	18	16	-	20	19	19	17	16	18	11	15	15	7	15	12	11	10	9	11	11	12	13	13
age discrimination lawyers		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
australian employment lawyers		10	8	5	4	3	2	2	2	2	2	2	1	2	3	3	2	2	1	1	1	1	1	1	1	2	3	7	10	9	5
compensation lawyers		-	-	-	-	-	-	-	-	-	-	52	49	48	24	26	23	25	26	25	32	30	29	-	16	7	18	15	14	19	-
compensation lawyers adelaide		-	-	-	-	-	-	-	-	-	-	62	55	53	74	78	-	71	68	99	97	95	95	-	-	89	89	94	55	-	-
compensation lawyers brisbane		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
compensation lawyers canberra		-	-	-	-	-	-	-	-	-	-	-	-	-	58	69	66	70	63	93	87	80	-	81	69	65	72	77	80	-	-
compensation lawyers melbourne		-	-	-	-	-	42	-	-	-	-	31	26	25	15	18	16	25	22	18	19	19	19	18	12	9	12	-	20	19	20
compensation lawyers sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
contract lawyers melbourne		29	24	25	25	25	22	25	22	20	20	18	21	22	37	37	34	-	30	25	32	33	29	29	33	-	22	25	22	23	21
employment discrimination lawyer		3	3	4	4	3	2	2	2	3	2	2	2	2	1	2	2	3	2	2	1	1	2	2	2	2	1	1	1	1	2
employment law advice		22	12	40	33	17	12	12	14	22	27	29	33	25	43	12	15	12	9	19	12	10	39	40	27	42	47	47	42	20	14
employment law firms melbourne		6	3	7	7	4	6	6	6	7	5	7	4	6	3	4	4	4	2	2	2	1	2	2	3	4	3	5	8	4	5
employment law specialists		11	9	5	-	1	9	10	10	4	6	7	4	9	4	5	10	6	9	7	13	13	13	13	16	14	9	15	14	14	2
employment lawyers adelaide		68	52	33	30	56	29	28	34	76	-	81	-	79	42	-	78	-	-	-	-	-	-	76	73	76	69	76	49	53	54
employment lawyers brisbane		-	-	-	-	-	65	77	71	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	94
employment lawyers canberra		-	88	-	61	-	23	24	21	49	71	46	18	17	15	16	34	18	15	16	19	24	27	30	26	22	23	23	21	21	18
employment lawyers melbourne		3	3	3	3	3	3	3	3	5	3	2	3	3	2	3	3	2	2	1	2	1	2	2	3	2	2	4	4	3	5
employment lawyers sydney		-	94	38	35	27	35	36	39	63	61	59	62	67	95	90	90	79	78	86	81	84	91	-	89	-	89	51	-	76	-
employment legal advice		6	11	14	6	13	8	7	6	7	16	21	20	19	12	13	15	12	17	23	23	20	28	-	36	38	84	68	-	29	18
