		2021-11-18	2021-12-12	2021-12-20	2022-01-20	2022-02-17	2022-03-02	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-12	2023-08-17	2023-09-06	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-14	2024-03-27	2024-04-19	2024-05-16	2024-06-13	2024-06-28	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
plumber balwyn		17	18	15	13	13	8	7	9	10	9	10	11	11	11	11	12	11	12	17	15	16	14	15	14	17	13	11	12	11	11	7	6	6	5	4	4	2	3	1	4	5
plumber blackburn		10	8	8	8	13	8	8	8	9	8	9	8	8	7	-	-	8	8	8	7	7	7	7	7	15	9	5	6	5	4	7	5	5	7	9	8	9	11	10	23	13
plumber box hill		20	20	19	17	17	17	13	13	12	12	14	14	18	16	15	17	14	14	14	18	15	12	13	26	24	14	8	8	8	5	4	3	3	3	3	3	3	3	2	3	3
plumber burwood		22	21	18	16	15	13	13	17	23	29	21	9	10	9	8	8	7	7	9	8	8	5	6	6	6	4	4	4	5	5	4	3	6	5	7	7	7	9	5	14	4
plumber campbellfield		5	2	4	3	3	2	3	2	4	2	2	3	4	4	4	4	3	4	4	3	2	4	2	3	4	2	3	2	4	3	3	3	4	4	1	1	1	1	1	4	3
plumber doncaster		13	12	12	11	12	12	10	10	8	6	7	7	7	7	3	6	2	4	6	3	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2
plumber epping		5	4	4	1	3	1	2	2	3	2	2	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
plumber greensborough		19	15	14	13	14	11	13	12	12	13	12	12	13	16	14	10	12	11	9	9	7	7	7	6	6	3	4	1	1	2	2	2	2	2	1	1	1	1	1	1	1
plumber heidelberg		15	15	10	10	12	10	10	10	10	9	10	9	9	9	8	9	7	6	8	7	6	3	7	4	5	3	2	2	3	4	2	2	2	2	2	2	2	2	4	4	3
plumber kew		24	15	14	12	11	9	8	2	4	4	4	5	5	5	7	8	6	5	7	6	7	7	6	5	6	5	4	5	3	5	3	3	3	4	5	5	4	5	3	8	6
plumber mt waverley		13	11	11	9	12	9	9	7	8	6	6	9	9	6	6	6	5	3	6	5	5	4	5	5	5	4	4	5	4	5	3	4	3	3	3	3	3	3	3	4	5
plumber mulgrave		16	18	13	9	12	12	10	10	11	9	6	8	8	9	8	8	4	3	5	3	2	3	3	3	4	1	1	1	1	3	1	3	3	4	1	1	2	2	4	7	6
plumber preston		10	11	8	9	11	10	10	7	9	6	7	6	6	5	3	3	4	3	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3
plumber reservoir		9	8	8	6	7	7	4	5	7	7	7	5	6	6	6	6	4	4	6	6	4	5	5	6	6	6	4	4	3	4	3	3	3	4	4	1	3	2	2	2	2
plumber ringwood		18	12	12	12	14	15	13	7	9	8	7	6	5	4	4	4	3	3	4	3	3	3	3	3	5	2	2	3	3	2	2	2	2	2	2	3	2	2	2	77	4
plumber surrey hills		10	7	7	8	8	7	3	6	3	8	6	4	6	6	4	4	4	4	5	6	6	5	5	6	6	5	5	5	5	5	4	4	4	5	7	7	8	8	7	10	9
plumber templestowe		22	18	18	17	20	16	16	11	12	11	9	10	10	11	11	11	9	4	9	8	8	5	6	4	4	4	3	2	3	4	5	5	5	5	4	3	4	5	5	12	6
plumber thomastown		16	16	9	8	9	8	7	7	5	6	6	6	6	6	6	4	5	4	6	4	4	4	6	5	7	7	5	5	8	3	1	1	1	1	1	1	1	1	1	1	2
plumber vermont		11	8	5	4	5	5	5	7	7	7	9	9	7	7	7	7	8	13	16	16	12	15	15	17	19	-	16	22	20	10	6	5	6	8	6	6	5	6	6	8	26
plumber watsonia		7	5	3	6	4	2	3	4	6	4	7	10	7	6	9	9	5	5	10	9	9	6	6	8	7	9	9	10	9	9	7	9	9	7	4	5	3	5	4	5	4
blocked drains balwyn		11	9	5	3	7	7	4	1	1	1	3	3	2	2	2	2	2	2	2	1	1	1	1	1	5	1	1	1	1	1	1	1	2	4	2	2	1	2	1	2	2
blocked drains blackburn		2	2	2	2	2	2	2	1	1	1	1	3	4	3	3	3	1	9	7	1	1	1	11	11	7	6	1	2	1	2	2	3	4	4	7	7	6	2	1	2	2
blocked drains box hill		5	5	7	4	3	3	3	4	3	3	4	6	4	4	4	4	2	2	3	1	2	1	2	2	2	1	1	1	2	2	1	1	2	2	1	1	1	1	2	4	2
blocked drains burwood		13	9	7	8	9	6	7	3	2	2	1	3	1	1	2	2	1	1	3	3	1	3	3	7	7	6	7	7	4	4	4	4	4	4	4	3	3	2	2	3	1
blocked drains campbellfield		2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	2	2	3	3	4	2	2	5	2	2	2	2	2	1	3	3
blocked drains doncaster		5	5	10	8	5	2	2	2	5	5	6	4	6	6	5	3	2	2	3	4	2	3	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	4
blocked drains epping		2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	1	2	2	1	1	2	2	3	2	1	1	3	3
blocked drains greensborough		5	3	7	6	6	3	4	1	1	2	2	2	2	2	2	2	2	2	2	1	3	2	3	3	3	3	2	2	1	1	2	2	2	3	1	1	1	1	1	1	1
blocked drains heidelberg		6	3	3	6	5	6	3	4	3	1	2	2	4	3	1	1	1	1	3	1	1	1	2	2	2	3	4	5	4	4	3	3	3	3	7	6	7	6	3	7	3
blocked drains kew		13	16	13	16	8	6	7	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	1	1	1	3	2	1	2	2	3	1	1	1	1
blocked drains mt waverley		3	2	2	2	2	1	2	1	2	2	2	2	3	2	2	2	2	2	2	2	1	1	1	1	1	1	1	5	3	4	1	3	3	1	1	1	1	1	1	1	2
blocked drains mulgrave		7	4	4	3	4	3	4	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	3	2	2	2	2	1	5	6	2	2	2	8	3
blocked drains preston		3	4	3	3	4	3	3	3	3	4	4	4	4	4	4	2	3	3	9	1	1	1	1	1	1	1	1	1	3	2	2	2	2	2	2	2	3	2	1	2	2
blocked drains reservoir		6	5	5	6	6	6	4	3	3	5	6	6	6	5	6	5	4	5	6	5	1	4	4	5	5	5	2	5	7	6	6	7	6	5	7	26	3	8	6	10	9
blocked drains ringwood		6	4	4	4	3	3	4	4	4	6	5	6	6	7	1	1	2	1	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	1	1	2	1	1	1	2	1
blocked drains surrey hills		6	1	1	1	1	1	1	1	2	2	2	1	2	2	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	4	2
blocked drains templestowe		6	10	8	8	6	4	5	5	6	5	5	7	6	6	3	4	3	3	5	1	1	1	1	2	2	2	2	2	2	2	5	5	5	7	2	1	1	1	1	2	1
blocked drains thomastown		6	6	2	5	4	2	3	2	3	1	2	2	3	3	3	2	2	2	2	2	2	2	1	2	1	1	1	1	1	1	2	2	2	5	3	3	4	2	1	3	2
blocked drains vermont		5	3	2	3	3	1	1	2	1	2	1	2	2	3	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2
blocked drains watsonia		1	2	2	2	2	2	2	2	1	2	2	2	1	2	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	5	4
Hot water repairs Blackburn		6	9	6	4	4	3	3	3	2	3	2	2	3	3	3	3	2	2	4	23	3	1	2	1	3	1	1	1	1	1	1	1	3	3	1	1	1	2	2	3	4
Hot water repairs Vermont		9	5	3	1	2	2	2	2	1	3	11	13	10	8	7	10	8	8	2	1	3	2	3	1	1	1	1	1	1	1	1	1	1	4	1	1	4	1	5	4	3
Hot water repairs Balwyn		5	5	5	3	4	3	4	2	2	2	2	2	4	4	2	3	3	3	4	3	4	3	3	3	5	4	5	6	6	7	4	4	4	5	4	4	3	6	5	9	5
Hot water repairs Heidelberg		6	5	5	3	3	3	3	3	3	3	3	4	4	4	4	3	2	3	3	3	4	3	3	4	5	4	3	1	5	6	4	4	6	9	1	1	1	1	4	4	3
Hot water repairs Greensborough		10	14	11	8	9	8	7	3	3	3	3	3	6	5	5	5	2	2	3	3	1	3	2	2	2	2	2	1	1	1	2	3	2	5	3	3	3	4	4	5	4
Plumber Melbourne		93	71	29	47	51	32	46	34	37	41	53	38	47	41	41	68	40	34	32	34	30	29	38	44	69	40	46	15	60	74	83	54	55	22	24	29	26	11	9	21	14
Blocked Drains Melbourne		49	33	26	21	18	12	12	11	7	10	9	6	4	4	3	4	4	5	5	5	6	8	7	7	9	7	8	8	8	7	9	14	17	24	12	12	11	14	20	32	22
Hot Water Repairs Melbourne		74	52	53	40	40	38	38	37	28	32	28	34	39	35	34	34	35	-	42	49	28	28	24	20	20	27	19	19	12	20	19	20	19	25	20	26	64	46	57	57	49
Real estate plumber Melbourne		8	6	6	6	4	4	4	4	4	5	6	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	2	2	2	5	1	2	2	2	7	6	14	11
Plumber Ashwood		17	8	9	11	11	8	4	7	8	7	8	4	4	4	5	6	8	10	10	9	8	6	5	8	8	6	5	5	5	5	5	5	4	3	4	4	4	4	6	36	5
Plumber Bayswater		22	22	22	17	22	13	15	8	6	5	6	4	5	5	5	5	2	2	2	2	2	2	2	2	5	3	3	4	5	3	2	6	3	4	1	1	1	1	2	2	2
Plumber Bentleigh		13	13	13	12	10	10	10	11	12	17	16	18	14	16	13	19	16	21	23	19	20	12	9	10	7	4	4	4	3	3	3	3	3	3	3	3	3	3	2	3	2
Plumber Boronia		10	9	10	8	10	8	8	8	8	8	7	5	3	3	4	4	3	3	4	4	4	3	3	3	4	2	2	2	2	2	2	2	2	2	1	1	1	2	1	3	6
Plumber Camberwell		28	25	26	22	18	16	14	14	14	14	11	11	11	13	12	13	9	9	12	15	10	12	13	8	13	13	14	13	14	14	5	7	7	4	2	2	2	4	4	71	4
Plumber Chirnside Park		11	8	9	10	10	8	9	9	11	11	11	10	8	8	8	8	7	7	7	8	6	7	7	8	10	4	6	6	5	4	2	1	1	1	1	1	1	1	1	1	1
Plumber Clayton		18	30	19	14	13	12	11	12	19	16	16	17	11	11	10	9	6	7	9	10	6	7	6	6	7	5	4	3	5	4	4	5	1	1	2	1	1	2	44	1	1
Plumber Glen Waverley		16	13	19	12	15	15	14	15	15	17	15	14	11	11	12	10	9	8	8	7	7	5	5	5	4	4	4	4	3	4	3	3	3	3	3	3	3	2	2	5	2
Plumber Lilydale		16	12	12	13	13	11	11	11	14	13	10	10	11	9	7	7	8	5	5	6	6	6	6	6	6	6	6	4	4	4	3	3	3	2	1	1	1	2	2	2	2
Plumber Malvern		23	19	20	16	17	13	13	11	10	9	9	10	11	12	12	11	10	9	11	11	10	9	10	10	11	11	9	12	13	9	6	9	6	6	4	4	4	8	8	10	7
Plumber Mount Waverley		18	11	11	12	14	11	12	9	10	6	6	9	9	6	7	8	5	6	6	5	5	5	5	5	5	4	5	5	5	4	3	4	3	4	3	3	3	3	4	6	3
Plumber Nunawading		12	8	9	12	11	11	11	10	14	9	9	9	7	6	7	7	6	7	7	3	3	3	4	4	5	3	4	4	2	2	2	2	1	1	1	1	1	2	2	3	3
Plumber Rowville		20	16	18	18	20	16	16	16	16	14	13	12	9	9	8	7	4	4	5	4	5	3	3	4	4	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2
Plumber Wantirna		19	15	15	12	12	11	12	12	11	12	11	11	8	8	7	7	11	4	5	3	3	3	4	4	4	1	2	1	1	1	2	1	2	4	3	3	1	1	1	4	4
Plumber Wheelers Hill		17	15	16	15	15	15	12	11	10	11	12	12	11	13	8	7	6	5	6	4	4	3	3	3	6	4	4	3	4	4	3	3	3	3	3	4	4	3	3	10	3
Blocked Drains Ashwood		3	3	4	4	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3
Blocked Drains Bayswater		8	7	6	6	5	5	5	5	6	5	5	5	4	6	4	4	4	4	3	5	2	2	3	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1
Blocked Drains Bentleigh		4	4	6	6	5	3	2	2	2	5	4	3	2	2	3	2	1	1	2	2	2	3	2	2	1	3	2	3	11	13	10	10	13	15	13	8	4	3	4	6	6
Blocked Drains Boronia		2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
Blocked Drains Camberwell		4	7	6	9	6	5	5	4	3	3	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	2	1	28	2
Blocked Drains Chirnside Park		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	2	2	2	2	2	2
Blocked Drains Clayton		6	4	4	3	4	3	3	2	3	6	6	5	5	4	4	4	6	9	4	3	4	3	2	4	12	11	4	7	7	6	7	6	5	6	5	4	4	2	2	7	3
Blocked Drains Glen Waverley		7	6	6	8	21	20	19	20	17	16	17	5	5	5	5	5	5	5	5	6	7	3	2	2	2	1	2	2	2	2	2	2	2	3	3	2	3	3	3	3	3
Blocked Drains Lilydale		3	4	5	5	4	3	3	3	4	4	4	5	3	3	3	3	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2
Blocked Drains Malvern		6	6	6	6	6	6	6	4	3	4	5	4	5	5	5	5	4	4	3	3	3	3	2	3	3	3	5	6	7	7	6	6	8	8	7	6	4	6	4	10	16
Blocked Drains Mount Waverley		3	3	4	3	7	6	4	3	4	2	2	2	2	2	2	2	2	3	2	2	2	2	2	3	4	2	1	6	6	7	1	3	1	2	2	2	1	2	1	2	4
Blocked Drains Nunawading		3	3	2	3	2	2	2	2	2	2	3	4	2	2	2	1	1	1	2	2	1	1	1	1	2	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1
Blocked Drains Rowville		5	4	4	4	2	1	1	1	1	1	2	1	1	1	1	1	1	2	2	2	2	1	2	2	2	2	3	2	2	2	2	2	3	5	3	3	3	1	2	4	2
Blocked Drains Wantirna		5	5	4	5	3	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	2	2	1	2	2	1	2	1
Blocked Drains Wheelers Hill		2	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1
Hot Water Repairs Ashwood		2	1	1	1	1	1	1	1	1	1	1	3	3	4	4	4	2	3	10	3	3	1	2	1	2	1	1	1	1	2	2	3	4	2	3	1	2	2	1	1	1
Hot Water Repairs Bayswater		6	2	5	2	4	2	2	2	2	3	2	2	2	3	3	3	2	2	2	2	2	2	1	3	3	1	1	2	1	2	2	2	2	4	3	3	2	2	2	3	3
Hot Water Repairs Bentleigh		6	10	9	6	6	4	4	2	1	1	1	1	2	2	3	3	1	1	3	3	3	1	3	1	1	1	1	1	1	3	1	1	2	1	1	1	1	4	2	3	3
Hot Water Repairs Boronia		7	6	6	3	2	2	3	2	2	3	4	3	4	4	2	2	2	2	2	2	2	2	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
Hot Water Repairs Camberwell		4	4	4	2	2	3	3	2	1	2	2	2	2	2	1	1	3	1	3	3	2	2	1	1	3	2	3	2	3	5	3	3	3	5	4	3	6	5	5	7	6
Hot Water Repairs Chirnside Park		4	4	3	3	3	2	2	3	2	2	2	2	2	1	1	1	1	2	3	1	2	1	1	2	2	1	1	1	1	1	1	1	4	3	2	3	3	3	2	2	2
Hot Water Repairs Clayton		2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	2	5	3	5	8	4	4	8	5	6	5	7	4	6	5	3	1	1	6
Hot Water Repairs Glen Waverley		9	8	8	4	2	2	2	2	2	2	3	2	2	2	2	1	1	1	2	3	1	1	2	1	3	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	1
Hot Water Repairs Lilydale		7	6	6	5	4	2	2	2	2	2	2	2	3	3	3	3	2	2	3	3	3	3	3	1	4	3	4	4	4	4	3	3	4	4	3	3	3	3	3	5	4
