		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-11	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-13	2023-08-17	2023-09-15	2023-10-20	2023-11-06	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
Cabinet Makers Preston		7	5	7	7	8	6	5	5	5	6	6	6	4	3	3	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2
Cabinet Makers Coburg		8	3	3	6	7	6	5	3	2	2	3	1	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Cabinet Makers Brunswick		10	10	8	7	7	5	3	2	2	3	4	4	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1
Cabinet Makers Essendon		8	7	6	7	6	6	5	3	3	3	2	2	2	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cabinet Makers Airport west		12	9	8	9	8	8	8	7	2	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
Cabinet Makers Thornbury		7	6	6	5	7	6	6	6	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1	1	2	2	2	2	1	2	2	2	2
Cabinet Makers Northcote		6	6	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cabinet Makers Keilor		9	9	7	10	12	6	6	5	5	5	6	5	4	5	4	4	4	3	4	2	2	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1
Cabinet Makers Kew		9	6	6	7	7	7	4	4	3	4	3	3	1	2	1	1	1	2	2	2	3	3	2	2	3	2	2	3	3	3	3	2	3	3	3	2	2
Cabinet Makers Balwyn		7	7	7	8	7	7	7	5	5	5	5	4	1	1	2	2	2	2	2	2	3	2	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1
Cabinet Makers Maribyrnong		5	5	5	5	5	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	11	1	1	1	1	1	1	1	1	1	1
Cabinet Makers Ivanhoe		9	9	7	9	8	7	7	6	5	5	4	3	2	2	2	2	2	1	1	2	2	2	1	2	2	2	2	1	2	2	2	1	2	2	2	3	3
Kitchens Preston		19	11	37	54	43	20	11	11	17	11	9	8	8	6	5	6	6	6	6	6	5	7	4	5	5	14	10	11	10	8	13	29	28	29	28	27	36
