		2021-10-21	2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-01	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-01	2023-03-14	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-10-07
bruxism treatment armadale		2	2	1	2	2	1	1	2	2	2	2	2	3	5	3	1	4	2	3	2	2	2	2	2	2	2	1	2	1	1	1	1	2	1	2	1
bruxism treatment malvern		3	1	2	2	1	2	3	3	2	2	3	13	13	2	10	13	13	11	1	1	1	1	1	1	2	2	1	1	2	2	2	2	2	1	2	1
bruxism treatment caulfield		-	-	-	-	-	-	-	-	-	-	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1
earache caulfield		-	-	-	-	-	-	-	-	-	-	2	6	6	4	2	2	2	2	3	2	2	2	2	2	1	1	2	2	1	1	1	1	1	1	1	4
face pain caulfield		-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
face pain melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
headaches caulfield		-	-	-	-	-	-	-	-	-	-	17	18	19	16	14	11	12	12	13	9	13	16	7	11	5	9	6	9	6	8	9	9	7	9	8	10
jaw clicking caulfield		-	-	-	-	-	-	-	-	-	-	2	2	2	3	2	1	1	1	2	1	2	3	2	3	2	2	2	2	2	2	2	2	1	1	2	2
jaw clicking melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jaw locking caulfield		-	-	-	-	-	-	-	-	-	-	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jaw locking melbourne		1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	1
jaw pain caulfield		-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jaw pain melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
