		2022-03-03	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-09	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
concreting melbourne		-	-	89	81	85	90	-	-	-	-	52	42	85	-	-	85	66	62	-	69	73	50	57	64	68	71	64	51	76	-	-	-	66
concreters bayside		-	12	10	10	12	10	9	10	9	9	9	7	8	8	7	10	7	9	7	8	5	6	8	6	8	12	7	6	7	10	7	6	7
concreters berwick		-	19	19	14	13	13	13	11	11	11	12	12	10	9	8	8	9	9	7	6	6	6	6	6	8	8	8	7	8	8	8	8	7
concreters blackburn		-	15	14	10	10	9	10	11	8	9	10	23	6	7	5	8	6	6	8	6	6	6	5	1	4	8	9	7	8	11	8	9	6
concreters brighton		-	9	12	11	11	12	11	9	9	9	7	6	5	5	5	6	5	10	7	5	4	5	4	1	4	4	5	4	6	7	6	5	5
concreters carrum downs		-	14	14	12	11	11	11	14	11	9	9	9	9	10	9	8	9	8	8	7	6	9	9	8	7	6	7	5	7	8	8	7	6
concreters cranbourne		-	16	27	11	13	14	15	21	16	20	16	12	13	14	13	13	12	12	11	7	6	7	6	5	6	9	8	7	8	13	16	13	16
concreters croydon		-	54	13	11	11	11	11	11	10	9	9	11	12	12	12	11	10	10	12	10	9	10	9	10	11	9	10	12	21	10	10	12	11
concreters doncaster		-	16	11	8	8	13	7	8	8	7	7	6	7	7	8	6	7	7	6	4	4	4	4	4	4	4	4	3	5	3	6	3	3
concreters frankston		-	22	39	24	16	24	18	26	19	19	21	20	20	15	17	18	16	24	14	14	15	19	19	18	20	18	19	25	29	29	28	16	17
concreters langwarrin		-	18	19	9	9	10	9	12	10	13	13	9	8	7	7	7	7	7	6	6	2	2	4	4	4	6	7	5	8	10	9	13	10
concreters malvern		-	6	9	8	10	9	7	7	8	5	5	3	4	4	4	4	3	3	1	1	1	1	1	2	1	1	1	1	1	1	1	8	7
concreters moorabbin		-	8	8	7	7	7	6	7	7	7	6	6	7	7	5	5	7	8	8	7	8	7	6	5	6	6	6	6	6	6	3	3	3
concreters mount waverley		-	14	15	12	14	12	11	13	11	10	11	11	12	11	11	8	9	10	8	7	6	6	5	5	7	7	7	7	7	8	5	5	6
concreters narre warren		-	15	19	14	14	14	13	14	13	14	13	11	9	10	10	12	10	11	10	11	10	10	10	12	13	13	12	10	9	19	15	18	12
concreters ringwood		-	14	11	12	12	12	12	12	13	11	10	10	9	8	7	6	6	7	6	5	5	5	7	6	8	8	9	9	11	11	11	11	11
concreters seaford		-	13	13	12	14	12	11	14	9	9	9	9	11	13	13	12	9	11	12	10	8	8	8	8	9	11	11	9	11	12	11	12	11
retaining wall bayside		-	6	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	4	5	5	4	4	4	4	5	7	6	4	6	8	7	6	4
retaining wall berwick		-	11	10	9	9	9	10	13	13	12	10	9	12	11	8	10	14	15	14	14	11	10	10	11	14	25	17	18	17	19	12	13	16
retaining wall blackburn		-	5	6	4	4	5	5	6	6	7	7	8	8	7	6	6	6	7	7	6	1	1	3	5	7	10	5	7	11	12	12	15	16
retaining wall brighton		-	6	6	4	6	4	4	7	6	8	5	5	7	8	7	9	8	15	9	10	7	9	9	9	8	7	8	9	11	13	8	8	8
retaining wall carrum downs		-	11	8	6	6	5	4	6	6	6	3	3	3	3	3	6	5	7	5	4	4	2	3	2	3	8	7	10	12	14	12	12	11
retaining wall cranbourne		-	13	16	12	12	9	8	10	8	8	6	7	7	3	3	3	2	3	5	3	3	1	1	1	2	2	2	6	7	9	7	5	2
retaining wall croydon		-	59	12	6	8	8	8	11	11	9	7	4	6	4	3	4	5	5	1	2	2	2	2	3	4	7	9	7	8	9	8	5	4
retaining wall doncaster		-	7	6	5	6	6	5	7	7	7	7	7	8	10	10	9	10	10	10	13	12	10	11	12	14	14	16	17	20	17	13	15	17
retaining wall frankston		-	16	15	9	11	11	10	11	9	13	15	14	11	12	13	13	13	10	7	11	7	9	6	6	10	9	7	6	5	9	10	10	10
retaining wall langwarrin		-	7	7	4	5	4	5	5	4	5	2	3	3	4	4	4	4	6	3	3	3	3	3	3	3	3	3	4	4	4	5	8	9
retaining wall malvern		-	4	4	3	3	2	3	4	4	5	1	3	5	5	5	5	5	5	3	3	3	4	2	4	4	4	3	5	6	3	2	2	5
retaining wall moorabbin		-	5	4	2	3	4	4	4	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	4	6	6	6	8	9	5	5	6
retaining wall mount waverley		-	8	7	6	7	7	7	9	8	6	4	4	5	6	8	2	3	3	3	3	3	4	3	3	3	2	3	2	2	2	2	3	1
retaining wall narre warren		-	8	7	4	4	4	3	5	1	3	3	3	3	4	4	3	4	3	4	4	2	2	2	2	2	2	2	2	2	6	3	2	1
retaining wall ringwood		-	13	10	9	7	7	7	10	9	8	7	6	8	7	7	8	8	11	9	8	8	7	7	7	8	7	6	6	7	8	9	8	8
retaining wall seaford		-	4	4	4	4	4	5	5	5	5	4	3	2	4	5	5	2	4	4	4	4	4	2	2	2	1	2	4	4	5	3	2	1
