		2024-07-09	2024-08-16	2024-09-11	2024-10-18	2024-11-14
disability support worker blacktown		-	17	14	18	27
disability support worker castle hill		-	7	7	11	13
disability support worker dural		-	9	5	4	9
disability support worker lidcombe		-	17	10	7	13
disability support worker mount druitt		-	20	11	11	20
disability support worker parramatta		-	17	19	28	36
disability support worker penrith		-	25	24	20	35
disability support worker quakers hill		-	7	6	7	9
disability support worker richmond		-	10	9	9	9
disability support worker st marys		-	10	14	13	6
disability support worker toongabbie		-	16	4	4	6
disability support worker windsor		-	14	13	11	9
ndis providers blacktown		-	42	32	16	31
ndis providers castle hill		-	6	6	10	11
ndis providers dural		-	1	1	1	7
ndis providers lidcombe		-	2	1	1	7
ndis providers mount druitt		-	10	7	10	13
ndis providers parramatta		-	22	16	20	43
ndis providers penrith		-	28	25	23	36
ndis providers quakers hill		-	5	5	6	6
ndis providers richmond		-	18	16	14	39
ndis providers st marys		-	10	6	10	11
ndis providers toongabbie		-	3	3	5	6
ndis providers windsor		-	11	9	12	20
