		2024-07-09	2024-08-16	2024-09-11	2024-10-18	2024-11-14
NDIS cleaners castle hill		-	30	2	4	6
NDIS cleaners cherrybrook		-	6	2	1	4
NDIS cleaners dural		-	5	6	2	4
NDIS cleaners menai		-	8	4	3	4
NDIS cleaners mount druitt		-	8	4	3	8
NDIS cleaners padstow		-	5	1	1	1
NDIS cleaners parramatta		-	16	6	12	24
NDIS cleaners penrith		-	61	8	6	15
NDIS cleaners rhode		-	8	7	1	2
NDIS cleaners sutherland		-	10	4	5	12
NDIS cleaners wentworth point		-	5	4	11	11
cleaning services castle hill		-	-	80	56	95
cleaning services cherrybrook		-	-	27	20	25
cleaning services dural		-	-	19	22	25
cleaning services menai		-	-	21	16	21
cleaning services mount druitt		-	-	30	19	62
cleaning services padstow		-	-	17	15	18
cleaning services parramatta		-	-	58	43	79
cleaning services penrith		-	-	50	51	82
cleaning services rhode		-	-	-	15	16
cleaning services sutherland		-	-	56	64	100
cleaning services wentworth point		-	-	70	68	89
commercial cleaning castle hill		-	65	87	100	-
commercial cleaning cherrybrook		-	46	48	13	20
commercial cleaning dural		-	18	10	11	14
commercial cleaning menai		-	34	15	14	10
commercial cleaning mount druitt		-	42	13	21	24
commercial cleaning padstow		-	15	10	11	13
commercial cleaning parramatta		-	-	94	74	42
commercial cleaning penrith		-	-	28	28	29
commercial cleaning rhode		-	51	7	6	8
commercial cleaning sutherland		-	-	57	83	-
commercial cleaning wentworth point		-	16	16	17	21
end of lease cleaning castle hill		-	-	69	64	81
end of lease cleaning cherrybrook		-	-	19	6	16
end of lease cleaning dural		-	42	23	11	13
end of lease cleaning menai		-	30	14	12	17
end of lease cleaning mount druitt		-	-	21	22	48
end of lease cleaning padstow		-	-	15	10	12
end of lease cleaning parramatta		-	-	37	21	42
end of lease cleaning penrith		-	-	32	22	53
end of lease cleaning rhode		-	25	22	16	27
end of lease cleaning sutherland		-	-	44	27	51
end of lease cleaning wentworth point		-	-	61	44	51
