		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
houses for rent burwood		36	-	-	-	-	-	-	-	-	-	-	-	37	-	-	-	-	-	7	13	-	-	10	13	13	-	-	20	25	17	-	18	13	22	14	-	-
houses for sale burwood		-	-	-	-	-	-	17	-	-	-	-	-	-	-	-	-	-	8	9	8	8	8	12	13	-	-	-	45	31	24	-	-	-	-	-	-	-
real estate agents burwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	53	-	-	-	-	-	-	-	-	-	-	-	-	-
commercial real estate burwood		15	-	-	-	-	-	-	-	-	27	15	14	11	11	10	-	-	-	-	-	-	16	15	14	-	31	23	-	-	-	39	40	-	21	8	-	-
commercial property burwood		10	-	-	-	-	-	-	-	-	3	5	5	5	10	5	5	7	8	6	6	4	3	14	5	-	-	21	-	-	-	-	61	-	21	8	11	5
houses for rent box hill		-	-	-	-	-	-	8	10	10	15	9	9	8	8	8	8	9	12	10	10	9	-	10	11	16	20	-	-	29	-	-	-	-	-	-	23	-
houses for sale box hill		21	-	-	-	17	24	25	24	23	17	-	24	22	-	24	24	22	18	-	-	23	20	22	21	-	-	-	-	-	-	-	-	-	-	-	-	-
real estate agents box hill		-	-	22	-	23	23	27	24	21	20	17	43	43	-	-	-	-	-	-	-	46	16	19	18	16	35	56	47	49	84	-	57	41	85	47	45	44
commercial real estate box hill		11	-	-	-	20	33	25	19	18	20	17	14	8	-	8	7	5	3	3	6	5	5	5	5	-	-	7	6	9	8	8	17	21	23	-	-	12
commercial property box hill		9	-	-	-	19	25	9	12	4	14	12	9	8	-	10	9	6	7	-	5	5	6	5	6	-	-	8	8	9	8	9	16	21	20	22	20	12
houses for rent vermont		16	-	-	-	-	-	-	-	-	-	13	12	8	14	15	13	11	9	10	14	13	16	14	19	13	23	31	28	31	26	30	13	12	31	22	22	14
houses for sale vermont		23	-	-	-	-	12	13	21	16	16	11	12	11	21	14	14	12	12	15	14	14	10	12	12	-	20	32	31	32	42	-	-	-	50	59	-	-
real estate agents vermont		-	-	-	-	-	11	9	10	10	9	10	10	11	12	8	6	6	7	10	6	8	6	9	9	9	-	-	11	-	-	-	77	-	30	-	84	9
