		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
dance costumes		29	27	35	25	32	37	48	53	-	-	-	-	-	-	-	-	-	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dance costumes australia		27	21	23	22	26	26	37	39	41	45	52	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	86	-	-	-	47	65	-	-	-	-
dancewear		14	10	5	3	5	5	4	5	5	5	6	7	12	5	13	10	5	4	5	6	5	6	6	10	5	8	8	9	2	6	7	12	77	72	11	16
dance wear		26	26	8	10	9	5	7	6	7	8	25	9	31	5	56	10	5	5	6	5	5	5	5	10	5	6	4	6	8	3	6	34	35	45	13	14
dancewear australia		15	17	18	17	25	24	24	15	22	30	61	78	-	-	85	-	-	81	-	34	42	32	50	48	41	53	57	41	60	61	63	59	41	39	29	20
capezio australia		15	41	26	16	21	30	-	19	24	21	-	-	-	-	-	-	-	-	-	38	39	-	-	-	-	66	38	-	-	-	-	81	68	69	10	16
dance bags		40	33	37	29	31	38	88	48	85	83	-	-	-	-	-	51	19	17	37	39	18	63	52	-	28	63	60	47	54	53	86	88	48	49	37	51
gymnastics leotards australia		3	3	3	2	2	3	5	4	5	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	47	-	-	-	-	52	-	-	-	-
dream duffel		22	23	20	18	17	18	21	23	26	30	-	-	-	-	-	-	-	-	16	19	14	17	20	17	30	39	57	41	-	48	52	57	25	39	34	30
energetiks dancewear		23	30	22	17	14	5	12	14	11	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	35	-	-	-	-	-	-	-	-	-	-	-
leotards australia		15	16	12	13	16	11	10	12	23	19	-	-	-	-	-	-	77	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
leotards for sale		26	43	23	12	30	33	43	27	37	24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	87	-	-	-	-	-	-
dance bag australia		11	11	10	10	10	12	21	23	25	26	-	-	-	-	-	-	56	68	64	-	-	-	42	-	43	43	42	36	36	32	23	36	37	45	-	-
dance bags australia		13	11	13	12	13	17	23	22	26	33	-	-	-	-	-	-	48	60	61	-	-	-	40	53	45	52	43	33	33	37	35	34	35	48	51	-
dance leotards		14	13	20	12	11	12	17	16	17	13	-	-	-	-	-	-	62	63	65	59	42	45	41	50	41	49	46	58	61	51	56	-	-	-	-	-
dance shoes australia		12	16	13	22	23	21	22	21	23	22	45	-	-	63	64	60	30	67	27	13	12	14	14	11	12	11	10	11	14	14	14	16	19	23	16	15
dancewear online		19	22	11	9	10	11	19	15	14	15	56	49	-	-	-	-	45	62	-	43	41	45	-	-	50	63	66	-	-	-	-	-	-	-	-	-
dance shoes melbourne		2	3	3	4	6	5	7	8	8	7	22	31	15	12	6	9	7	4	5	6	5	8	2	2	2	2	2	3	3	2	4	7	3	5	3	6
dance store		10	4	4	4	2	2	3	2	3	2	4	4	6	4	8	5	2	3	2	2	2	2	2	4	4	4	2	2	2	3	3	2	3	3	5	8
ballet tights		58	46	49	70	27	27	62	55	29	35	-	-	-	-	-	-	-	-	60	-	81	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dancewear melbourne		2	1	2	2	2	3	3	2	3	3	5	6	4	3	3	3	2	2	2	2	2	2	3	4	2	2	3	2	4	5	4	3	4	3	4	3
capezio dancewear		15	29	25	14	18	18	16	12	9	11	-	-	47	-	42	-	-	35	38	38	36	38	37	55	-	41	50	-	-	-	-	-	-	32	21	22
gymnastics crop tops		30	33	34	31	36	38	41	31	45	39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	65	36	-	-	-	-	-	-	-	-	-
calisthenics shop		2	2	2	2	2	2	2	2	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
contemporary dance costumes australia		11	11	11	12	14	19	20	18	23	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ballet accessories australia		9	9	8	6	7	11	12	12	13	8	12	12	18	15	15	14	12	12	11	10	9	12	14	15	12	18	16	10	14	15	14	13	12	8	12	11
ballet shop melbourne		3	3	2	2	2	2	2	3	3	3	6	7	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ballroom dancing shoes australia		3	1	3	1	2	4	5	5	4	3	31	42	49	37	32	26	16	19	18	9	16	13	18	13	13	10	8	14	14	10	7	8	5	7	5	3
ballroom dresses australia		1	1	1	1	1	1	2	2	2	2	17	24	26	22	17	23	13	18	19	7	3	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2
buy dancewear online australia		10	10	10	10	11	11	10	14	13	13	20	56	43	20	26	24	16	15	17	14	16	16	19	23	16	28	33	27	44	41	39	46	24	42	22	22
buy swarovski crystals online		4	5	4	5	5	5	5	3	3	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	81	-	-	80	-	-	-	-
dance shops melbourne		2	1	1	1	2	2	3	2	2	1	4	4	2	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
