		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-08	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
glaziers Melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Steel Window design Melbourne		4	3	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	3	2	3	3	3	3	2	3	2	3
window replacement Melbourne		15	14	14	16	15	12	14	16	17	13	17	17	22	30	34	36	38	24	23	31	24	24	23	25	32	39	30	25	36	34	32	25	25	25	20	19	17
emergency glazing melbourne		1	1	1	2	2	5	3	2	4	5	3	3	3	4	2	3	1	2	5	4	1	2	3	3	2	6	2	2	4	1	3	1	3	2	2	3	5
glazier melbourne		1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glazier niddrie		2	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	1
slim steel windows		1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	3
steel framed windows melbourne		1	1	1	1	1	1	1	2	1	2	1	1	2	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2
steel window frames melbourne		1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
crittall steel windows		2	2	2	2	1	1	2	1	2	2	2	2	2	1	2	2	2	2	2	2	1	1	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2
emergency glazier melbourne		1	2	1	2	2	3	3	3	4	4	2	2	3	2	2	4	5	5	6	6	5	5	5	5	4	6	3	3	6	3	3	3	3	2	3	3	4
glass replacement melbourne		4	7	7	7	7	5	6	4	5	5	5	5	5	5	9	10	8	8	5	5	5	9	7	7	4	5	3	2	4	4	5	3	4	3	3	3	3
glass window replacement melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	3	1	4	1	1	2	2	2	1	3	2	3	1	1	1	2
glazier caulfield		2	3	3	3	3	2	2	2	2	2	2	2	1	1	1	1	1	1	2	1	1	1	4	5	4	4	4	4	4	5	3	1	1	1	2	4	6
glazier northcote		1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glazier south yarra		1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2
steel windows melbourne		4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	3	3	3	3	3	3	2	4	3	2	2	2	2
thermally broken steel windows		2	3	1	-	3	3	2	5	6	9	4	4	7	8	5	9	10	6	5	9	7	6	16	10	7	7	5	6	6	9	30	5	6	6	4	4	1
cheap glazier melbourne		1	1	3	2	2	3	3	3	3	2	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	3
custom steel windows		3	4	3	3	5	3	4	4	4	5	5	4	7	6	4	7	8	8	8	8	8	6	9	5	6	5	4	6	3	7	8	7	6	6	11	12	14
glass repairs melbourne		4	5	8	6	7	3	5	4	5	3	4	2	2	3	8	9	9	9	5	6	7	6	7	7	6	6	4	4	5	5	5	4	4	3	4	4	4
glazier airport west		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glazier coburg		1	2	2	1	1	1	1	2	2	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glazier fitzroy		1	1	1	1	2	1	2	1	2	2	2	2	2	2	2	2	2	9	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	3	3
glazier north melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glazier prahran		2	3	4	5	5	4	4	3	5	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glazier preston		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glazier tullamarine		1	1	2	2	2	1	2	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	2	1	2	2	2	2	1	1	1	1	1	1	1	1
