		2024-06-17	2024-07-18	2024-08-15	2024-08-25	2024-09-11	2024-09-15	2024-09-20	2024-10-18	2024-11-14	2024-12-03
container homes sydney		-	-	-	-	-	-	95	35	39	42
container homes melbourne		-	-	-	-	14	16	14	11	13	13
granny flats sydney		-	-	-	-	-	-	-	84	-	-
granny flats melbourne		-	-	-	30	43	37	45	17	43	39
modular homes sydney		-	-	32	16	16	16	10	14	14	14
modular homes melbourne		-	-	30	76	16	16	19	16	18	16
prefabricated homes sydney		-	-	30	14	39	12	5	10	9	8
prefabricated homes melbourne		-	-	19	13	13	15	9	9	17	16
tiny homes sydney		-	-	-	-	-	-	-	84	66	53
tiny homes melbourne		-	-	-	-	-	-	58	85	30	29
site office builders sydney		-	-	1	1	1	3	1	1	1	1
site office builders melbourne		-	-	1	1	1	23	22	1	29	1
camping cabins sydney		-	-	-	-	-	-	-	18	20	16
camping cabins melbourne		-	-	-	-	-	-	12	14	22	20
temporary emergency buildings sydney		-	-	1	1	3	-	-	12	7	6
temporary emergency buildings melbourne		-	-	-	38	21	27	12	11	1	1
modular homes albury		-	-	-	13	31	5	12	5	7	5
modular homes ballarat		-	-	-	9	38	9	8	5	4	5
modular homes geelong		-	-	-	7	34	7	18	10	10	3
modular homes gosford		-	-	-	3	-	4	5	6	11	7
modular homes newcastle		-	-	-	10	-	10	8	11	6	6
modular homes wollongong		-	-	-	4	-	6	4	3	3	3
granny flats albury		-	-	-	7	-	24	26	6	5	2
granny flats ballarat		-	-	-	36	46	27	29	5	4	5
granny flats geelong		-	-	-	7	57	6	44	2	2	2
granny flats gosford		-	-	-	10	-	10	61	10	12	10
granny flats newcastle		-	-	-	49	-	-	-	28	24	26
granny flats wollongong		-	-	-	69	-	-	81	17	25	22
