		2024-10-16	2024-11-14
childcare beaconsfield		83	14
childcare berwick		18	14
childcare clyde		43	49
childcare cranbourne		94	-
childcare eumemmerring		57	10
childcare hallam		16	14
childcare hampton park		-	17
childcare narre warren		55	42
childcare officer		31	28
childcare pakenham		75	40
daycare beaconsfield		76	14
daycare berwick		24	14
daycare clyde		25	22
daycare cranbourne		67	57
daycare eumemmerring		55	8
daycare hallam		45	17
daycare hampton park		83	19
daycare narre warren		36	34
daycare officer		84	11
daycare pakenham		45	29
kindergarten beaconsfield		66	18
kindergarten berwick		43	29
kindergarten clyde		32	24
kindergarten cranbourne		39	29
kindergarten eumemmerring		35	3
kindergarten hallam		36	20
kindergarten hampton park		58	49
kindergarten narre warren		39	15
kindergarten officer		17	12
kindergarten pakenham		-	27
montessori childcare beaconsfield		3	1
montessori childcare berwick		3	-
montessori childcare clyde		6	2
montessori childcare cranbourne		26	8
montessori childcare eumemmerring		3	1
montessori childcare hallam		1	1
montessori childcare hampton park		47	3
montessori childcare narre warren		3	1
montessori childcare officer		23	7
montessori childcare pakenham		3	2
