		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-15	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-18	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-02-20	2024-03-15	2024-04-19	2024-05-16	2024-06-14	2024-07-18	2024-08-16	2024-09-05	2024-10-18	2024-11-14
roof painting berwick		14	10	9	12	12	-	11	11	6	6	3	3	3	3	3	3	11	11	8	11	10	11	6	7	8	9	9	5	7	4	4	3	2	1	1	1	1	1
roof painting boronia		7	5	3	2	2	2	2	4	2	2	2	4	3	2	1	1	2	2	1	2	1	1	1	1	2	3	3	3	3	3	3	2	1	1	1	2	2	2
roof painting brighton		6	11	6	7	7	6	5	3	2	3	2	2	2	2	3	2	5	8	5	5	3	4	3	1	3	4	3	2	2	3	3	3	4	3	2	3	2	2
roof painting carrum downs		3	3	2	2	2	6	-	6	2	2	2	3	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	5	4	4	5	4	3	3	3	4	4	4
roof painting cranbourne		13	15	10	10	4	4	3	4	4	3	2	2	2	2	2	1	3	3	2	1	1	1	1	1	2	2	2	3	3	3	3	2	2	2	3	7	3	1
roof painting croydon		-	33	-	31	32	34	-	34	29	-	-	10	7	7	7	-	10	7	4	5	5	4	5	6	7	11	10	11	11	6	6	5	5	4	5	5	4	3
roof painting donvale		3	2	1	1	1	-	-	2	2	2	-	2	-	2	3	2	5	-	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	1	1	1	1	1
roof painting ferntree gully		7	13	4	5	7	14	-	11	-	7	-	4	6	-	-	2	3	3	4	2	2	2	1	2	1	2	2	2	1	3	2	1	2	1	1	2	4	2
roof painting hallam		-	7	-	-	3	3	4	4	4	4	-	-	3	4	5	4	-	8	5	5	4	5	3	3	3	5	6	6	6	6	4	4	5	4	4	5	4	4
roof painting hampton park		5	5	-	5	6	8	6	-	3	-	-	3	4	-	3	3	-	3	1	3	2	4	3	1	1	2	2	4	4	3	2	2	2	2	3	2	1	1
