		2021-04-19	2021-06-17	2021-07-15	2021-08-19	2021-09-16	2021-10-21	2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-15	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-23	2024-02-20
roof painting pakenham		-	-	-	-	-	-	-	-	-	10	10	5	5	-	5	-	2	2	-	3	2	3	-	5	1	2	4
roof painting hallam		1	1	1	1	1	1	4	3	2	3	-	-	-	-	-	-	4	4	-	-	-	-	6	-	-	11	9
roof painting keysborough		4	-	5	4	5	3	4	3	4	4	3	1	2	1	1	1	1	1	1	1	2	3	7	10	9	-	13
roof painting narre warren		18	-	17	18	19	18	-	18	16	17	13	10	6	-	10	7	6	7	-	7	13	14	19	-	22	-	19
roof painting rowville		9	-	9	8	10	10	11	14	14	15	13	11	6	8	5	-	-	5	-	4	6	6	14	-	-	10	8
roof painting berwick		1	4	2	2	5	4	4	7	6	7	4	1	2	7	8	-	-	6	-	5	-	7	-	14	-	-	17
roof painting boronia		12	-	14	11	10	8	8	9	-	8	6	-	-	3	-	4	4	3	4	4	-	4	7	-	10	11	10
roof painting cranbourne		24	-	20	17	19	15	19	16	14	15	13	-	-	11	-	11	6	6	-	7	-	10	20	-	-	-	9
roof painting hampton park		2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	9	-	9	8
roof painting knoxfield		3	-	14	12	12	8	-	10	10	6	7	3	2	3	3	3	4	3	2	2	3	4	-	-	14	-	9
roof painting ringwood		9	18	17	11	12	9	7	9	9	9	7	5	5	5	7	5	4	3	6	-	9	9	-	-	25	19	18
roof restoration hallam		9	11	10	10	9	9	10	13	-	-	-	-	-	-	-	-	-	-	-	-	4	-	11	12	-	-	16
roof restoration keysborough		7	-	9	8	9	5	5	6	7	5	5	2	2	3	6	4	-	5	-	5	3	4	9	10	10	-	15
roof restoration narre warren		22	-	38	45	37	17	-	24	22	21	20	14	11	-	20	18	13	15	-	20	15	16	30	-	35	-	38
roof restoration rowville		29	-	36	35	38	16	21	31	26	27	24	17	-	10	10	-	-	18	-	11	10	9	26	-	-	21	27
roof restoration berwick		10	13	13	11	13	11	12	18	16	21	19	17	18	16	26	-	-	17	-	19	-	20	28	29	-	-	31
roof restoration boronia		16	-	17	17	14	9	10	12	-	13	12	-	-	11	-	-	9	8	9	9	-	11	21	-	18	22	44
roof restoration cranbourne		22	-	35	29	38	20	23	19	27	21	28	-	18	19	-	20	17	17	-	15	-	16	36	-	-	-	21
roof restoration hampton park		5	5	7	7	8	6	6	9	-	7	7	6	7	3	6	5	2	6	5	5	5	5	-	14	-	14	13
roof restoration knoxfield		9	-	15	16	15	10	15	15	15	13	12	8	7	5	7	6	5	5	5	7	5	7	-	-	12	-	24
roof restoration ringwood		14	28	27	27	23	19	20	21	23	19	20	12	-	16	26	-	14	13	16	-	13	16	28	-	30	27	26
roof repairs hallam		12	16	12	14	10	9	-	15	-	-	-	-	-	-	-	-	-	-	-	-	4	4	8	9	-	-	16
roof repairs keysborough		8	8	7	6	5	5	5	5	4	6	4	3	3	3	4	4	3	3	3	4	4	5	10	10	11	-	-
roof repairs narre warren		24	-	27	19	21	26	-	21	27	26	32	28	13	-	19	17	12	12	-	18	18	18	27	-	32	-	25
roof repairs rowville		33	24	35	36	34	24	21	37	35	39	38	28	-	21	16	-	-	23	-	15	15	17	20	-	-	-	20
roof repairs berwick		16	20	18	16	16	14	15	25	22	26	24	-	19	23	24	-	-	18	-	18	17	18	23	23	-	26	35
roof repairs boronia		19	-	38	25	21	12	13	15	-	18	15	-	-	12	-	15	10	9	11	9	-	11	16	-	20	19	20
roof repairs cranbourne		27	30	35	42	38	22	22	21	31	23	23	-	-	25	-	23	17	17	-	16	-	19	31	-	-	-	23
roof repairs hampton park		6	8	5	8	7	5	5	8	11	17	11	8	8	7	8	7	8	11	12	-	7	9	-	15	-	16	15
roof repairs knoxfield		10	-	22	25	15	11	-	14	13	14	12	10	9	10	11	7	6	6	7	8	-	8	-	-	13	-	16
roof repairs ringwood		21	32	35	31	27	24	27	28	25	27	23	-	-	24	23	-	18	20	24	-	14	17	32	-	32	27	26
roof restoration brighton		24	-	31	31	18	6	9	15	21	18	18	11	10	19	-	-	-	13	14	13	11	12	21	19	-	20	27
roof restoration carrum downs		13	15	11	11	11	12	14	13	-	14	14	9	-	13	13	-	9	8	8	-	9	10	-	15	16	15	21
roof restoration mornington		25	-	44	47	49	34	39	46	-	28	27	16	-	13	-	-	15	16	15	14	14	16	34	35	34	-	33
roof restoration knox		7	-	12	9	11	8	7	8	8	5	4	7	-	7	-	5	-	5	6	-	4	-	4	-	-	-	20
roof restoration moorabbin		24	-	13	18	22	8	7	10	-	8	8	5	6	4	-	10	6	9	-	11	11	-	14	17	-	17	19
roof restoration donvale		20	-	5	6	6	5	5	5	-	6	5	-	-	6	-	12	-	7	-	6	5	-	11	-	11	10	15
roof restoration croydon		18	17	11	15	23	20	38	31	22	21	37	30	33	11	29	24	-	22	21	22	15	-	28	-	34	-	27
roof restoration pakenham		9	9	7	9	10	9	12	15	32	32	30	18	20	-	14	-	9	9	-	13	13	14	-	19	18	19	22
roof painting croydon		12	9	6	6	12	10	9	19	14	10	8	5	5	5	5	6	4	5	3	3	2	2	7	-	16	-	13
roof painting ferntree gully		15	14	11	10	10	8	9	12	8	6	1	1	1	2	3	2	1	1	1	1	2	5	-	9	-	-	5
roof painting donvale		8	-	3	2	3	3	2	3	-	3	2	1	1	1	-	1	1	1	1	1	1	-	7	3	4	4	10
roof painting carrum downs		10	12	11	8	7	7	5	4	-	7	5	2	3	4	5	-	5	4	6	-	8	9	-	13	13	14	19
roof painting mornington		21	-	13	13	14	9	11	14	-	15	5	1	1	1	1	1	1	2	2	1	4	3	4	7	12	7	11
