		2021-11-18	2022-02-14	2022-05-20	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2024-03-18	2024-04-02	2024-05-08	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
courtyard landscaping melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
irrigation contractors melbourne		3	1	3	2	3	3	5	5	3	3	3	3	3	1	2	3	3	3	3	2	2	2	3	3	3	5	1	1	2	3
Paving contractors melbourne		2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2
artificial turf northcote		1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	-	2	2	2	2	3	2	2	3	2	2	2	3
artificial turf preston		1	1	1	1	1	1	2	1	2	2	1	1	3	2	3	2	1	1	1	1	1	2	2	2	2	2	2	2	3	3
artificial turf fairfield		1	1	1	1	1	1	1	1	1	1	1	3	3	4	3	3	3	4	3	4	4	6	1	7	6	94	14	8	8	2
landscaping brunswick		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	46	1	2	1	1	1
landscaping clifton hill		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
landscaping coburg		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
landscaping essendon		2	2	1	2	2	2	2	2	3	2	3	3	3	3	3	3	3	3	2	2	2	3	3	3	3	3	2	1	2	2
landscaping fitzroy		1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	2	2	2	4	5	5	3	3	4
landscaping flemington		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	1	5	1	1	1
landscaping kensington		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	3	3
Landscaping preston		1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1
landscaping moonee ponds		1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
landscaping pascoe vale		1	1	1	2	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
landscaping maidstone		4	1	3	3	73	87	67	56	3	3	3	64	2	3	3	2	-	1	3	3	2	2	1	2	1	2	3	2	2	2
landscaping williamstown		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
paving brunswick		5	6	5	6	6	5	6	6	6	6	4	5	5	6	3	4	4	3	3	2	2	3	3	2	3	3	3	3	2	2
paving clifton hill		3	2	3	3	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
paving coburg		5	5	4	3	3	3	4	3	4	3	3	3	3	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
paving essendon		8	9	7	6	6	7	7	6	7	5	8	7	8	9	9	8	8	4	3	3	4	3	4	3	3	3	3	2	2	1
decking clifton hill		5	2	4	2	2	2	2	2	3	3	3	2	5	5	5	5	3	4	3	5	3	4	4	4	4	5	11	4	4	4
decking kensington		2	2	3	3	3	3	4	3	4	3	2	3	3	3	2	1	1	1	1	1	1	3	3	3	4	4	4	4	3	4
decking maidstone		1	1	3	4	18	46	45	51	73	59	2	2	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
decking moonee ponds		5	2	7	6	3	4	5	5	4	4	3	3	4	4	3	2	1	1	3	1	1	1	2	1	3	3	3	3	2	2
decking pascoe vale		3	1	3	3	3	2	2	2	2	3	2	3	3	2	2	2	3	3	2	3	3	1	1	1	1	1	1	1	1	1
decking preston		3	2	5	7	3	3	4	3	4	3	5	3	4	4	7	6	8	6	10	7	3	9	10	5	7	8	9	8	6	8
landscaping Northcote		12	13	12	13	12	11	10	9	8	8	4	4	4	4	5	4	4	4	5	5	6	5	7	4	6	11	7	8	12	14
landscaping Thornbury		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
landscaping Fairfield		8	6	3	86	-	95	6	9	8	7	4	4	3	4	3	4	4	4	2	2	2	3	4	3	1	4	25	3	2	10
