		2023-01-20	2023-02-16	2023-03-16	2023-04-14	2023-04-20	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
termite solutions melbourne		43	39	8	9	9	7	9	12	12	10	10	9	12	8	6	6	7	6	6	10	6	7	9	7
termite control melbourne		12	9	5	4	4	4	4	3	3	3	6	6	6	5	6	6	6	6	6	6	6	6	6	6
termite pest control melbourne		11	7	5	3	3	3	3	2	4	3	5	4	4	4	4	4	5	3	4	4	1	6	6	5
termite inspection melbourne		7	4	3	3	3	3	3	3	2	3	5	4	5	5	5	4	4	4	5	5	5	5	5	5
termite inspection cost melbourne		5	5	5	5	-	11	18	19	13	13	12	7	11	13	11	15	17	14	13	13	12	16	16	14
pre purchase termite inspection		11	12	4	5	4	3	3	3	4	9	9	6	6	4	4	4	5	4	4	4	4	4	4	4
termite treatment melbourne		6	6	4	4	5	4	4	3	3	4	6	6	6	5	6	6	5	4	8	6	6	7	7	6
termite treatment cost melbourne		10	8	8	10	8	18	25	21	22	21	15	18	17	22	17	18	-	26	20	21	14	17	18	16
termite prevention melbourne		12	6	5	5	5	4	4	3	3	3	6	7	6	5	6	5	6	5	6	9	5	6	8	6
termite protection melbourne		13	10	8	7	5	4	4	3	4	4	7	7	6	5	5	5	5	4	7	6	6	7	7	5
termite barrier melbourne		31	23	12	14	17	15	8	8	9	8	8	10	11	13	12	12	12	11	12	13	42	24	32	45
termite baiting melbourne		-	-	-	-	-	15	12	21	17	13	25	16	21	16	16	16	16	17	18	18	17	54	23	28
termite control for real estate agents		8	12	9	5	6	2	2	2	2	2	2	2	2	3	3	2	2	1	3	8	1	1	-	1
termite control for body corporates		8	-	4	2	3	3	2	3	3	4	2	2	2	1	1	1	2	2	2	2	2	1	5	3
possum control melbourne		10	9	7	7	2	3	3	4	3	2	3	3	3	2	2	2	2	2	2	2	2	3	4	4
possum pest control melbourne		11	9	8	6	3	3	4	4	5	3	3	3	3	2	2	2	2	2	2	2	2	4	2	4
possum removal melbourne		13	11	5	6	5	3	4	5	3	5	4	2	3	2	2	2	1	1	2	2	2	2	4	3
possum removal cost melbourne		-	-	-	-	-	-	-	16	-	-	-	-	-	21	19	21	-	-	24	20	18	25	17	28
possum catcher melbourne		14	13	8	8	4	4	5	7	6	5	5	4	4	4	4	4	4	4	4	4	3	4	3	4
possum proofing melbourne		13	10	7	7	5	3	6	8	6	6	6	5	4	4	3	3	2	3	2	3	2	3	4	4
bird control melbourne		7	7	6	5	1	5	6	6	6	6	6	6	8	6	6	7	7	7	6	7	9	10	10	13
bird pest control melbourne		6	6	6	5	5	5	6	6	6	5	6	5	6	5	4	3	5	4	5	5	5	7	83	5
bird netting melbourne		-	-	-	-	-	45	41	46	33	39	32	37	45	71	63	-	67	78	75	74	72	-	51	56
bird proofing melbourne		12	10	10	10	8	5	7	8	7	7	6	6	7	7	5	5	6	6	5	4	1	12	8	9
solar panel bird proofing melbourne		-	-	-	-	-	23	25	33	29	32	31	23	31	34	32	28	54	30	48	48	53	59	67	62
bird control essendon		-	-	-	-	-	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
bird control brunswick		-	-	-	-	-	2	2	2	3	2	2	3	2	2	1	1	1	1	1	1	2	2	1	2
bird control yarraville		84	36	38	38	-	3	3	2	1	2	2	2	2	1	1	2	1	1	2	2	2	1	2	2
bird control altona		-	-	-	97	95	1	2	2	2	1	1	1	1	1	2	2	2	1	1	1	1	2	1	2
bird control west melbourne		21	-	63	6	5	2	2	1	2	2	2	3	3	2	2	1	2	2	2	1	2	2	3	4
bird control footscray		37	35	39	46	43	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bird control williamstown		-	-	-	-	-	1	1	1	2	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1
bird control newport		-	-	-	-	-	1	2	1	1	1	1	1	1	2	1	1	2	1	1	12	16	2	1	2
bird control kensington		8	7	3	6	4	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bird control north melbourne		-	-	-	71	-	1	1	1	-	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1
bird control ascot vale		-	-	-	-	-	1	1	1	1	1	1	1	1	1	24	1	2	1	1	1	2	1	2	1
bird control maribyrnong		17	33	22	21	20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bird control kingsville		86	90	58	55	60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
bird control niddrie		-	-	-	-	-	20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1
bird control avondale heights		-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bird control parkville		-	-	-	-	-	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3
bird control port melbourne		-	-	-	-	-	1	1	1	-	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1
termite control essendon		-	-	-	-	82	11	3	3	3	4	6	3	4	7	4	6	4	3	4	3	2	4	4	3
termite control brunswick		-	-	-	-	-	8	10	7	7	6	6	5	7	7	7	7	5	5	6	6	13	7	53	7
termite control yarraville		23	25	29	32	28	7	5	3	3	3	4	3	3	3	4	1	3	1	1	3	3	3	4	2
termite control altona		70	81	77	71	73	9	9	9	10	6	8	6	10	7	8	6	4	4	3	4	6	9	7	8
termite control west melbourne		65	74	53	48	46	7	2	2	2	4	5	5	8	8	4	4	4	3	5	4	5	6	6	7
termite control footscray		29	30	32	37	30	7	6	3	3	2	2	2	2	1	1	1	1	1	1	1	1	2	1	2
termite control williamstown		-	-	-	91	89	4	4	3	3	2	2	2	2	2	2	3	4	3	2	3	3	3	3	4
termite control newport		-	-	-	-	-	3	3	3	2	1	1	17	2	16	2	19	27	2	3	17	15	2	3	5
termite control kensington		2	3	2	2	1	3	2	2	2	1	1	1	1	2	2	1	1	1	2	2	1	2	2	1
termite control north melbourne		-	96	57	40	44	28	3	2	1	4	2	2	1	2	1	1	1	1	1	1	1	1	3	5
termite control ascot vale		-	-	-	-	-	7	5	3	3	1	1	1	2	2	2	2	2	2	2	2	2	3	5	4
termite control maribyrnong		26	28	24	20	22	6	6	5	6	6	5	2	1	2	2	2	1	1	1	2	2	2	2	2
termite control kingsville		81	81	70	62	55	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2
termite control niddrie		-	-	-	-	-	25	4	3	1	2	2	3	3	3	3	1	1	1	1	1	3	3	3	2
termite control avondale heights		-	-	-	-	-	5	5	4	3	3	3	3	3	4	1	4	3	2	2	2	3	5	6	6
termite control parkville		-	-	-	-	-	23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	6
termite control port melbourne		-	-	-	-	-	9	6	3	4	5	5	5	5	5	3	4	4	4	4	4	6	4	6	4
possum removal essendon		-	-	65	64	-	5	5	4	4	3	2	2	2	3	2	3	2	2	2	4	1	2	1	2
possum removal brunswick		-	-	-	-	-	7	7	7	6	6	6	6	6	6	6	6	7	6	7	8	7	8	6	5
possum removal yarraville		-	-	-	-	-	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
possum removal altona		-	68	52	40	70	9	7	5	8	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1
possum removal west melbourne		-	-	49	49	-	4	5	5	2	2	3	2	3	3	3	2	3	3	2	3	3	4	3	4
possum removal footscray		-	-	-	-	-	8	4	4	1	5	5	5	5	4	6	7	6	5	6	5	4	5	4	3
possum removal williamstown		84	85	60	24	22	4	4	4	3	6	6	5	4	5	5	4	6	3	6	5	4	5	4	4
possum removal newport		-	-	-	-	-	2	2	2	3	2	2	12	9	7	5	6	5	4	5	3	3	3	3	3
possum removal kensington		14	4	2	3	3	3	4	4	1	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1
possum removal north melbourne		-	-	37	47	12	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
possum removal ascot vale		-	-	-	-	-	5	3	1	3	4	4	2	2	2	2	2	2	2	2	2	2	2	2	2
possum removal maribyrnong		22	22	17	23	15	5	5	4	2	5	3	3	3	4	3	3	2	2	2	2	2	1	1	2
possum removal kingsville		-	-	-	-	-	5	2	4	3	3	2	4	1	1	1	1	3	1	1	1	1	1	1	1
possum removal niddrie		-	-	-	-	-	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
possum removal avondale heights		-	-	-	-	-	3	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2
possum removal parkville		-	-	-	67	-	4	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3
possum removal port melbourne		-	-	-	-	-	4	3	4	3	4	5	4	5	1	1	1	1	1	1	1	1	1	2	2
