		2023-03-14	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-15	2024-09-20	2024-10-02	2024-11-14
home loans berwick		-	-	-	-	-	77	12	10	13	14	16	13	10	8	21	15	9	13	8	11	12
home loans clyde		-	-	-	-	-	-	7	7	6	6	8	7	9	11	10	13	6	14	12	13	24
home loans craigieburn		-	-	-	-	-	12	9	10	9	9	12	6	6	5	8	7	4	9	9	13	12
home loans donnybrook		-	-	-	-	-	2	3	2	2	2	2	2	3	3	3	3	3	3	3	5	5
home loans gisborne		-	-	-	-	-	-	8	11	11	8	10	10	9	9	11	11	12	10	7	13	12
home loans sunbury		-	-	-	-	-	44	6	8	9	10	10	8	9	8	11	60	6	9	10	9	17
home loans tarneit		-	-	-	-	-	-	7	8	7	7	11	9	8	7	15	13	8	18	16	23	24
home loans truganina		-	-	-	-	-	-	9	7	8	7	6	4	4	5	10	10	8	7	8	9	17
home loans werribee		-	-	-	-	-	13	8	11	15	13	18	7	5	5	12	23	11	20	17	19	29
home loans wollert		-	-	-	-	-	8	5	5	5	5	5	5	5	5	4	7	4	3	5	5	4
mortgage brokers berwick		-	-	-	-	-	55	10	11	13	12	12	10	8	7	11	11	8	14	12	16	24
mortgage brokers clyde		-	-	-	-	-	-	11	12	11	13	18	18	16	19	19	20	15	21	21	24	28
mortgage brokers craigieburn		-	-	-	-	-	9	10	8	6	9	10	10	10	9	14	10	8	7	8	8	11
mortgage brokers donnybrook		-	-	-	-	-	4	4	3	3	3	2	4	4	5	6	7	5	9	8	10	7
mortgage brokers gisborne		-	-	-	-	-	29	7	6	6	4	4	5	5	8	12	11	8	10	8	9	13
mortgage brokers sunbury		-	-	-	-	-	39	10	9	9	9	10	11	9	11	14	16	9	16	13	21	18
mortgage brokers tarneit		-	-	-	-	-	34	7	6	6	5	9	10	7	8	12	12	6	14	12	19	20
mortgage brokers truganina		-	-	-	-	-	40	10	8	7	6	6	8	6	5	10	10	9	11	11	13	19
mortgage brokers werribee		-	-	-	-	-	53	10	11	12	11	13	11	8	7	11	10	11	15	19	21	23
mortgage brokers wollert		-	-	-	-	-	7	6	5	4	5	5	6	6	10	8	8	7	12	9	9	11
mortgage brokers coomera		-	-	-	-	-	17	8	10	11	9	9	8	11	10	12	14	9	12	10	14	17
