		2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-11	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-26
bedroom furniture melbourne		37	28	64	91	72	29	25	36	25	24	29	35	36	32	53	47	36	19	19	19	30	23	22	38	39	43	46	48	44	64	80	49	45	64	76	78
blackwood furniture melbourne		2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1
custom furniture melbourne		43	26	25	25	18	21	25	23	19	13	13	12	11	9	9	10	9	9	9	11	10	11	12	12	13	11	11	9	12	14	8	8	7	8	8	9
custom made furniture melbourne		58	38	48	38	16	18	20	21	11	11	11	11	11	9	9	8	9	9	9	9	9	9	10	10	10	10	9	9	10	12	9	8	7	9	8	9
custom timber furniture melbourne		16	15	17	18	12	13	14	14	12	9	8	10	9	6	8	7	5	5	5	8	10	5	7	9	9	8	6	6	7	8	5	5	5	6	5	8
jarrah furniture melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
marri timber furniture		65	61	61	51	35	61	9	50	50	33	62	60	44	64	4	3	5	5	8	9	8	6	10	13	14	17	15	10	8	6	7	12	9	13	11	9
redgum furniture melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
solid timber dining tables melbourne		2	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	-	6	6	3	5	10	12	4	7	5	4	4	12	11	12	12
solid timber furniture		4	5	2	3	2	2	9	3	1	3	1	4	1	2	4	4	4	3	3	4	4	3	4	5	6	7	5	6	7	8	6	7	4	5	3	3
tasmanian blackwood furniture melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2
tasmanian blackwood timber Melbourne		11	10	9	8	7	10	11	10	11	7	8	9	8	5	6	6	4	8	7	7	6	6	10	8	7	5	6	7	6	8	7	7	9	6	8	7
tasmanian oak furniture		13	12	11	11	8	7	11	12	18	18	22	23	25	22	20	10	9	9	11	10	9	10	10	14	12	16	17	19	17	17	29	33	18	19	15	31
timber dining tables melbourne		4	3	1	1	1	4	2	3	4	1	4	4	1	1	2	1	4	2	2	8	10	6	8	7	12	14	15	7	11	13	13	13	12	16	15	20
timber entertainment unit		98	-	93	-	84	81	83	87	59	64	66	48	61	85	88	70	51	59	48	37	52	59	-	-	56	72	71	69	62	-	78	-	84	-	84	-
timber furniture melbourne		7	7	7	7	6	3	3	5	4	4	5	5	2	4	2	3	4	7	6	7	5	7	5	3	5	9	5	7	5	6	5	6	6	4	5	5
timber furniture		4	6	2	7	2	2	2	9	2	5	2	6	5	7	1	3	3	9	2	5	6	6	6	6	7	11	8	10	5	5	10	4	3	7	4	5
timber office furniture melbourne		26	22	20	23	9	10	9	24	8	13	11	11	14	12	22	17	19	23	14	9	13	16	10	9	11	22	16	21	18	11	33	34	32	37	16	54
victorian ash furniture		1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2
