		2021-04-15	2021-05-20	2021-06-17	2021-07-15	2021-08-19	2021-09-16	2021-10-21	2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-14	2022-08-17	2022-09-16	2022-10-13	2022-10-18	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-14	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-10
australian ebikes		14	18	19	35	34	22	22	22	22	65	23	20	27	23	31	24	24	17	22	17	15	16	25	22	21	20	17	21	26	23	24	10	10	7	26	23	20	23
e bikes australia		14	45	40	82	-	75	90	82	75	-	47	57	63	50	79	45	52	55	49	49	52	41	45	45	51	50	45	60	48	51	43	63	57	17	79	89	74	73
ebike		15	20	17	27	41	-	-	22	29	51	34	36	31	-	32	-	-	26	25	25	26	65	45	58	56	68	69	65	62	55	61	69	49	36	41	40	-	-
ebike sale		13	15	27	58	55	51	42	44	37	88	35	28	38	33	25	20	18	24	26	22	20	20	37	20	27	23	18	18	27	25	25	21	17	19	28	27	36	27
buy electric bike		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	51	35	35	43	45	44	43	36	38	34	34	32	32	38	42	48	46	57	68
ebike melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	30	25	19	32	28	23	25	22	24	20	17	19	-	42	33	35	33	31	21
ebike shop		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20	7	6	14	3	5	3	4	3	3	6	10	6	20	14	20	25	26	26
ebike sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29	33	28	47	44	46	35	33	24	31	25	31	33	57	-	39	35	35	41
ebikes online		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	17	20	27	25	36	24	29	23	25	20	20	23	9	9	35	33	35	32
electric bicycle australia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	35	39	43	26	31	31	25	35	33	39	30	34	65	59	37	69	77	78	86
electric bicycle for sale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28	26	24	23	25	28	26	26	22	-	24	-	19	18	22	47	29	35	23
electric bicycles brisbane		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	42	44	44	51	50	47	58	47	53	74	86	83	64	58	45	64	51	57	71
electric bicycles melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	40	42	41	40	38	30	30	28	25	18	26	25	24	31	54	39	29	28	31
electric bicycles sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	36	37	34	35	33	39	36	37	29	37	29	35	34	26	28	26	27	24	21
electric bike shop melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	40	34	35	33	34	29	26	27	28	21	20	26	24	41	41	39	38	34	30
electric bike perth		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80	-	87	-	-	-	82	-	-	73	-	-	-	-	-	-	-	80	35
electric bikes		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	77	-	36	78	-	-	-	43	45	35	32	29	46	49	40	41	-	48	54
electric bikes adelaide		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	38	49	46	47	39	40	43	-	40	49	39	42	43	37	37	39	37	40	40
electric bikes australia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	36	36	22	45	41	48	34	43	39	42	32	-	81	58	19	63	94	83	80
electric bikes brisbane		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	40	51	42	66	65	68	78	71	91	-	99	-	97	94	70	-	79	81	-
electric bikes for sale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	66	59	37	40	28	47	89	20	25	62	68	-	72	58	22	32	40	60	28
electric bikes melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	45	44	38	37	38	39	35	30	19	21	22	25	26	35	56	34	33	27	-
electric bikes online		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21	27	19	24	22	27	40	26	-	26	19	22	22	17	14	26	22	40	44
electric bikes sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	47	46	35	41	44	60	52	36	23	39	34	-	38	38	43	38	44	26	39
ebikes		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	84	86	-	52	66	52	50	58	51	39	40	25	49	45	68	71	61	59	61
electric bike		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	48	-	-	-	46	43	40	38	33	63	63	59	66	-	58	-
electric push bike		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	41	24	34	-	-	34	26	20	40	36	-	-	-
electric bicycle		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	50	54	57	59	43	62	54	56	54	32	55	55	60	66	62	59	74	60	-
womens electric bike		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	87	-	-	-	-	26	28	-	-	62	-	-	-	18	27	73	33	-
