		2021-11-18	2021-12-08	2022-01-20	2022-02-18	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-13	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-19	2024-10-18	2024-11-14
Asphalt Driveways		23	8	9	6	16	24	15	5	5	3	2	3	4	2	2	2	6	10	10	11	32	34	36	7	2	9	2	2	2	9	7	16	11	8	6	20	20
Asphalt Driveways Melbourne		7	6	4	4	5	4	4	6	7	4	5	4	3	4	5	3	5	5	5	4	7	8	5	4	3	3	6	5	3	3	3	7	8	5	8	8	7
asphalt driveway repair		4	7	8	5	4	9	6	5	6	5	3	2	5	2	4	11	14	89	64	61	55	33	31	17	8	6	8	8	10	10	11	23	18	14	15	15	17
Asphalting Melbourne		4	3	4	4	2	3	1	2	2	1	1	1	1	1	2	2	2	3	2	1	2	3	2	1	1	1	2	2	2	2	2	7	3	2	3	3	5
Asphalt Road Patching		4	3	4	5	4	5	4	5	2	2	2	2	2	2	2	4	6	10	24	10	8	7	9	8	10	9	8	5	3	4	5	4	5	5	4	-	2
Asphalt Cheltenham		1	1	1	1	1	59	2	2	1	46	11	16	15	1	1	1	1	3	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
Asphalt Brighton		3	5	2	4	3	3	2	3	3	9	75	15	5	7	5	6	10	4	4	4	4	3	1	4	4	4	2	1	1	1	1	1	1	2	2	2	3
Asphalt Frankston		-	7	7	7	6	6	5	5	4	5	2	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	2
Asphalt Langwarrin		2	1	2	3	3	4	4	3	3	3	1	2	1	1	1	1	1	1	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2
Asphalt Somerville		3	4	2	6	6	4	3	6	6	4	2	2	1	2	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Asphalt Mornington		8	10	7	7	7	7	7	7	7	8	7	7	6	6	6	6	4	4	3	2	3	4	2	2	2	2	2	2	2	2	2	3	4	4	5	6	5
Asphalt Beaumaris		39	36	20	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	17	4	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1
Asphalt Black Rock		-	-	4	4	3	-	3	93	-	-	2	2	2	1	68	75	62	95	2	78	2	2	2	2	1	1	1	2	84	90	79	88	95	77	1	2	2
Asphalt Malvern		2	2	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Asphalt Glen Iris		1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Asphalt Driveways Cheltenham		2	2	1	2	2	42	2	2	1	2	36	1	32	6	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
Asphalt Driveways Brighton		3	3	3	4	4	4	3	4	4	3	3	3	27	39	2	23	31	10	12	4	5	6	5	5	5	2	1	1	6	1	1	1	1	1	1	1	3
Asphalt Driveways Frankston		9	13	11	10	8	10	7	7	5	6	4	3	3	2	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
Asphalt Driveways Langwarrin		3	5	3	3	3	4	8	7	3	3	2	2	2	1	1	1	1	2	2	1	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2
Asphalt Driveways Somerville		4	4	3	-	6	4	4	4	3	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Asphalt Driveways Mornington		20	22	9	10	10	8	9	9	8	9	8	8	7	7	7	7	2	3	3	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	5
