		2022-12-16	2023-01-19	2023-02-17	2023-03-16	2023-04-14	2023-05-08	2023-06-15	2023-07-20	2023-08-03	2023-09-15	2023-10-12	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-04	2024-03-06	2024-04-19	2024-05-13	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
fishing kayaks		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	29	21	15	15	35	20	20	25
fishing kayaks for sale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	7	9	8	9	6	9	14	12
single sit in kayak		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	5	4	4	4	4	4	3	3
single sit on top kayak		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	3	2	2	3	2	3	2	2
inflatable kayaks		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	11	11	14	13	8	11	31	18
inflatable kayaks australia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	5	8	8	10	7	9	10	10
inflatable kayaks melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	4	7	6	8	4	3	3	6
sea kayaks		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	1	1	1	1	1
expedition kayaks		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	4	4	4	3	4	4	4	4
stand up paddle boards for sale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16	-	20	23	23	24	28	41	30
sup for sale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25	25	24	29	21	28	18	16	22
buy stand up paddle boards		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	51	27	28	22	21	20	61	49	50
inflatable stand up paddle boards		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28	42	52	31	25	14	45	45	51
inflatable sup board		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27	41	35	40	27	25	12	66	78
point 65 modular kayak		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1
recreational kayaks		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1
kayak shop sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	1	2	5	2	2	3
kayaks for sale sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	5	5	6	6	7	8	9	6
stand up paddle board sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	92	-	-	-	98	78	-	93	-
kayak shop melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	2	2	2	2	3	2	2	2
kayaks for sale melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	5	5	5	3	5	6	6	5
stand up paddle board melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	56	78	-	41	44	54	61	-	61
kayak shop gold coast		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1
kayaks for sale gold coast		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	3	2	4	2	2
stand up paddle board gold coast		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	85	89	90	71	71	67	49	52	69
kayak shop newcastle		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2	1	1	1	1	1	1	1
kayaks for sale newcastle		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	5	4	4	5	4	4	2	1
stand up paddle board newcastle		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19	15	16	13	27	23	24	8	4
kayaks for sale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	5	1	2	2	1	2	1	3
kayak for sale australia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	3	2	3	1	2	2	2
double kayak		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	6	7	6	8	10	5	17	2
tandem kayaks		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	6	6	3	5	5	6	3	3
single kayak		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	3	3	5	5	2	2	2
single kayak for sale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	4	5	3	5	7	1	1	1
surf ski for sale australia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	1	3	1	1	4	2	5
touring kayaks		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	1	3	3	2	4	4	2
touring kayak for sale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	2	3	3	4	4	2
lightweight kayaks australia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1
lightweight kayaks for women		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	3	1
kayak accessories		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	3	2	2	1	5	2	2
kayak accessories australia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	3	1	1	1	1	1	1
kayak seats		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	20	20	9	20	33	39	23	26
kayak seats australia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	4	4	6	7	3	2	2
kayak storage		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2	1	1	1	2	7	8	6
kayak storage racks		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	1	2	1	1	2	1	1
kayaks geelong		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	2	2	2	2	2	2	2	2
kayaks for sale geelong		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	2	2	3	5	2
kayaks brisbane		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	4	22	6	4	4	2	2	3
kayaks for sale brisbane		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	4	3	2	2	3	4	3	1
kayaks port macquarie		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2	1	1	1	1	1	1	1
kayaks for sale port macquarie		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	1	1	1	3	3	2	2
