		2022-12-16	2023-01-19	2023-02-17	2023-03-16	2023-04-14	2023-05-08	2023-06-15	2023-07-20	2023-08-03	2023-09-15	2023-10-12	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-04	2024-03-06	2024-04-19	2024-05-13	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
fishing kayaks		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	29	17	14	16	35	20	29	20
fishing kayaks for sale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13	12	13	10	14	8	10	35	9
single sit in kayak		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	4	4	3	4	4	4	3	3
single sit on top kayak		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	3	3	2	3	3	3	2	2
inflatable kayaks		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	11	11	13	14	7	11	46	18
inflatable kayaks australia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	5	8	8	10	9	10	12	10
inflatable kayaks melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	5	5	5	8	4	5	4	6
sea kayaks		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	1	1	1	1	1
expedition kayaks		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	4	4	4	2	4	4	3	4
stand up paddle boards for sale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	22	22	21	21	26	37	32	31
sup for sale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27	26	17	40	27	22	22	17	23
buy stand up paddle boards		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	87	23	31	22	22	20	31	63	39
inflatable stand up paddle boards		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21	37	47	28	23	15	38	42	56
inflatable sup board		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28	42	38	29	22	31	49	61	79
point 65 modular kayak		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1
recreational kayaks		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	49	1
kayak shop sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	1	2	2	4	2	3
kayaks for sale sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	5	5	5	6	7	9	7	5
stand up paddle board sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	92	-	-	-	96	97	93	-	-
kayak shop melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	2	2	2	2	4	2	2	2
kayaks for sale melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	5	4	5	3	7	3	6	4
stand up paddle board melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	59	81	-	40	45	28	60	-	63
kayak shop gold coast		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1
kayaks for sale gold coast		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	2	2	4	4	2
stand up paddle board gold coast		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	87	89	-	54	71	68	44	55	67
kayak shop newcastle		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1
kayaks for sale newcastle		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	5	4	4	5	16	8	1	1
stand up paddle board newcastle		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20	17	17	13	21	23	24	9	4
kayaks for sale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	9	2	2	3	2	1
kayak for sale australia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	3	2	3	1	2	2	2
double kayak		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	6	9	7	9	10	3	9	2
tandem kayaks		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	6	7	3	3	3	3	3	3
single kayak		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	4	3	3	4	5	1	2	1
single kayak for sale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	4	5	3	3	6	2	8	2
surf ski for sale australia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	1	3	3	1	4	3	5
touring kayaks		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	1	6	6	5	4	4	2
touring kayak for sale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	2	1	3	2	2	2	4
lightweight kayaks australia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1
lightweight kayaks for women		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1
kayak accessories		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	3	2	2	1	2	2	2
kayak accessories australia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2	3	1	1	1	1	1	1
kayak seats		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	21	19	9	23	34	38	25	26
kayak seats australia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	4	6	5	8	3	2	4
kayak storage		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2	1	1	1	2	7	8	6
kayak storage racks		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	1	3	1	1	2	1	1
kayaks geelong		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	2	2	2	2	2	2	2	2
kayaks for sale geelong		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	2	2	3	1	2
kayaks brisbane		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	5	5	4	4	4	2	2	2
kayaks for sale brisbane		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	4	4	2	3	3	4	6	1
kayaks port macquarie		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2	1	1	1	2	1	1	1
