		2022-12-16	2023-01-19	2023-02-17	2023-03-16	2023-04-14	2023-05-08	2023-06-15	2023-07-20	2023-08-03	2023-09-15	2023-10-12	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-04	2024-03-06	2024-04-19	2024-05-13	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
fishing kayaks		30	26	20	18	13	13	23	20	28	19	18	13	15	12	11	7	14	50	22	14	15	35	21	40	14
fishing kayaks for sale		49	49	11	9	9	11	12	11	12	11	12	10	12	9	12	13	13	13	9	12	12	10	10	10	10
single sit in kayak		44	42	23	10	9	10	9	7	11	7	6	6	5	7	5	4	5	4	4	4	5	4	4	3	3
single sit on top kayak		20	22	18	8	6	6	6	4	5	6	3	3	4	6	6	3	4	3	2	2	3	2	3	2	2
inflatable kayaks		46	36	23	41	52	51	60	43	39	26	26	13	24	13	13	12	12	12	16	17	13	6	-	31	17
inflatable kayaks australia		68	72	12	14	15	21	24	22	22	15	12	11	11	9	7	4	3	6	8	8	10	9	9	70	10
inflatable kayaks melbourne		20	20	12	9	9	5	6	4	3	3	3	3	8	6	7	6	6	4	7	6	9	4	3	3	6
sea kayaks		19	12	12	12	9	5	7	8	9	5	6	3	2	2	2	2	2	2	1	2	1	1	1	43	1
expedition kayaks		-	-	6	7	9	5	4	6	7	8	8	5	6	5	5	4	4	4	4	4	2	4	4	-	4
stand up paddle boards for sale		-	-	-	22	16	13	19	18	19	16	15	19	8	16	17	15	15	22	25	20	24	21	44	35	34
sup for sale		-	71	79	24	21	20	41	19	21	25	18	11	13	32	33	31	30	25	27	42	28	34	26	24	31
buy stand up paddle boards		-	-	-	23	18	18	26	25	24	23	17	24	21	26	22	-	21	26	24	24	23	22	27	37	61
inflatable stand up paddle boards		-	-	63	19	20	17	51	67	84	45	42	40	13	12	12	27	29	30	44	32	24	14	40	36	58
inflatable sup board		-	52	-	18	21	18	76	44	33	31	29	19	15	12	18	28	30	43	39	28	32	19	45	67	61
point 65 modular kayak		3	2	2	2	2	2	2	2	2	3	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1
recreational kayaks		17	7	8	6	6	6	7	8	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kayak shop sydney		5	4	4	4	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	3
kayaks for sale sydney		10	11	5	5	5	5	5	5	5	5	5	4	5	5	4	4	5	5	5	5	6	6	10	5	5
stand up paddle board sydney		-	-	-	78	87	88	91	72	97	78	92	70	-	-	93	99	93	-	-	-	82	-	-	94	-
kayak shop melbourne		7	7	4	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2
kayaks for sale melbourne		15	19	12	8	8	6	7	6	5	5	5	4	5	4	4	4	4	5	3	5	3	7	7	6	4
stand up paddle board melbourne		-	99	92	63	63	65	74	74	85	63	56	49	81	92	67	64	87	80	-	41	45	65	69	-	64
kayak shop gold coast		2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kayaks for sale gold coast		5	6	5	2	4	4	4	3	3	3	4	3	2	2	2	2	2	2	2	2	3	2	4	2	2
stand up paddle board gold coast		-	-	78	75	70	73	69	61	77	59	60	59	67	87	88	86	84	88	90	82	72	69	49	44	69
kayak shop newcastle		-	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	1	1
kayaks for sale newcastle		-	8	5	5	5	5	5	4	4	4	5	3	3	3	3	3	3	4	3	4	5	4	4	1	1
stand up paddle board newcastle		-	43	30	14	16	18	21	20	23	32	28	19	18	23	22	52	44	17	16	13	21	70	25	13	4
kayaks for sale		-	-	-	-	-	-	-	-	11	10	10	10	10	10	4	11	10	9	9	4	4	8	5	4	2
kayak for sale australia		-	-	-	-	-	-	-	-	8	9	9	4	2	22	2	3	3	3	3	2	3	1	2	2	2
double kayak		-	-	-	-	-	-	-	-	12	11	9	7	10	10	5	5	10	10	8	10	8	8	5	9	2
tandem kayaks		-	-	-	-	-	-	-	-	48	9	9	8	9	7	3	3	3	5	6	3	5	5	5	3	3
single kayak		-	-	-	-	-	-	-	-	32	40	37	20	5	3	3	3	3	3	3	3	5	5	2	2	2
single kayak for sale		-	-	-	-	-	-	-	-	26	28	29	8	3	3	3	3	3	4	4	3	3	8	2	2	2
surf ski for sale australia		-	-	-	-	-	-	-	-	32	24	30	5	6	6	1	2	2	1	1	2	2	1	4	2	5
touring kayaks		-	-	-	-	-	-	-	-	6	4	4	3	3	3	3	1	2	1	2	6	6	5	4	4	2
touring kayak for sale		-	-	-	-	-	-	-	-	12	15	6	4	2	3	2	1	1	1	2	2	3	3	2	2	4
lightweight kayaks australia		-	-	-	-	-	-	-	-	14	3	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1
lightweight kayaks for women		-	-	-	-	-	-	-	-	79	29	28	2	1	1	1	1	1	1	2	1	1	1	1	1	1
kayak accessories		-	-	-	-	-	-	-	-	53	27	30	5	2	1	2	1	1	1	3	2	2	1	5	2	3
kayak accessories australia		-	-	-	-	-	-	-	-	31	32	17	8	4	2	8	1	1	1	3	1	1	1	1	1	1
kayak seats		-	-	-	-	-	-	-	-	12	14	15	11	8	5	3	7	8	25	23	9	28	34	39	27	27
kayak seats australia		-	-	-	-	-	-	-	-	8	12	10	3	3	1	1	2	3	3	3	4	5	7	3	2	4
kayak storage		-	-	-	-	-	-	-	-	25	21	16	7	1	2	1	1	1	3	2	2	1	2	7	65	6
kayak storage racks		-	-	-	-	-	-	-	-	28	24	14	9	2	4	2	2	2	1	1	2	1	1	2	1	1
kayaks geelong		-	-	-	-	-	-	-	-	-	-	-	4	4	3	2	2	2	2	2	2	2	2	2	2	2
kayaks for sale geelong		-	-	-	-	-	-	-	-	-	-	-	7	5	3	2	1	1	1	1	1	2	2	3	3	2
kayaks brisbane		-	-	-	-	-	-	-	-	32	30	10	16	11	9	5	4	4	5	5	3	4	4	2	2	2
kayaks for sale brisbane		-	-	-	-	-	-	-	-	26	29	-	10	9	11	6	5	5	4	3	2	2	3	4	3	1
kayaks port macquarie		-	-	-	-	-	-	-	-	-	-	-	7	6	2	1	1	1	2	1	1	1	2	1	1	1
kayaks for sale port macquarie		-	-	-	-	-	-	-	-	25	-	-	4	4	3	2	2	2	1	1	1	1	3	3	3	2
