		2021-11-18	2021-12-16	2023-07-14	2023-07-17	2023-09-18	2023-10-17	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
barns berwick		-	-	-	-	-	-	-	2	2	31	3	2	2	1	4	1	1	1	1
barns clyde		-	-	-	-	-	-	-	2	2	2	2	2	2	2	2	2	2	2	1
barns cockatoo		-	-	-	-	-	-	20	1	1	1	1	1	1	1	1	5	2	1	1
barns drouin		-	-	-	-	-	-	7	3	43	30	29	1	1	1	1	1	1	1	1
barns gembrook		-	-	-	-	-	56	1	1	1	1	1	1	1	1	1	1	1	1	1
barns pakenham		-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1
barns nar nar goon		-	-	-	-	-	-	40	6	5	5	4	4	4	5	5	5	5	8	6
barns officer		-	-	-	-	-	81	19	29	7	7	7	9	1	1	1	1	1	1	1
barns warragul		-	-	-	-	-	-	69	69	71	70	72	64	13	12	17	19	6	8	8
garages beaconsfield		-	-	-	-	-	73	39	57	66	43	42	2	1	1	1	4	1	1	1
garages berwick		-	-	-	-	-	-	63	65	57	63	70	53	3	3	2	3	2	2	2
garages clyde		-	-	-	-	-	-	-	-	61	7	-	1	1	1	1	1	5	5	12
garages cockatoo		-	-	-	-	-	-	1	1	1	2	1	1	2	1	1	2	1	1	1
garages drouin		-	-	-	-	-	63	44	10	12	12	3	3	12	16	4	2	2	2	2
garages gembrook		-	-	-	-	-	75	-	3	2	2	1	1	1	1	1	1	1	1	1
garages pakenham		-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1
garages langwarrin		-	-	-	-	-	-	2	2	2	2	2	2	3	2	2	2	2	2	2
garages nar nar goon		-	-	-	-	-	58	47	8	8	8	1	2	1	1	2	3	3	2	2
garages narre warren		-	-	-	-	-	-	5	30	-	-	-	6	5	4	4	4	3	3	3
garages officer		-	-	-	-	-	-	54	57	1	13	1	1	1	1	7	7	1	11	1
garages warragul		-	-	-	-	-	-	-	-	-	-	-	86	55	57	54	67	34	39	39
carports beaconsfield		-	-	-	-	-	22	6	6	6	7	5	5	1	1	1	1	5	1	2
carports berwick		-	-	-	-	-	51	-	32	18	19	28	9	9	6	3	1	1	2	1
carports clyde		-	-	-	-	-	34	9	6	3	5	5	4	6	6	8	5	3	1	2
carports cockatoo		-	-	-	-	-	52	1	2	1	1	2	1	1	1	1	2	1	1	1
carports cranbourne		-	-	-	-	-	56	53	59	62	68	3	1	1	1	1	1	1	1	1
carports drouin		-	-	-	-	-	30	17	15	17	20	10	7	2	2	2	2	1	1	1
carports endeavour hills		-	-	-	-	-	-	9	9	8	8	4	4	4	3	3	3	2	2	2
carports pakenham		-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1
carports langwarrin		-	-	-	-	-	58	7	4	4	4	4	2	2	2	2	1	1	1	1
carports narre warren		-	-	-	-	-	58	34	5	3	2	3	2	2	2	2	2	2	2	2
carports officer		-	-	-	-	-	26	1	1	1	1	1	1	1	1	1	1	1	1	1
