		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-03-29	2022-04-22	2022-05-18	2022-06-06	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-13	2023-07-05	2023-07-25	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
womens western boots for sale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	6	9	11	9	17	15	16	18	17	12	15	9	9	11	14
mens western boots for sale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	7	3	5	3	5	7	4	6	5	5	4	3	-	-	4
cowboy boots		27	26	26	13	7	9	9	9	7	8	9	11	13	13	7	11	11	8	10	10	10	14	14	18	12	13	10	10	20	16	23	27	26	13	53	29	32	23	26
cowboy boots for boys		17	18	26	12	14	14	17	4	4	5	3	3	5	3	5	2	2	2	2	2	1	1	3	3	4	5	3	5	3	5	4	4	6	4	3	6	6	5	8
cowboy boots for girls		8	9	7	5	4	3	5	4	4	4	3	3	4	4	1	1	1	3	3	3	3	3	3	4	5	6	4	4	5	5	5	4	6	3	3	3	2	3	2
cowboy boots for men		15	15	17	11	9	7	7	7	7	7	7	7	7	8	5	4	4	5	6	5	5	5	6	5	5	7	7	8	8	8	8	10	13	7	10	8	4	9	9
cowboy boots for women		14	16	21	15	14	13	13	15	37	25	20	16	19	19	13	13	11	16	17	20	18	22	23	20	25	21	16	15	22	21	21	22	23	21	15	25	26	28	31
cowgirl boots		11	11	16	9	10	11	10	23	10	10	18	23	12	15	22	17	18	41	22	28	24	38	35	37	42	44	51	41	46	38	45	15	61	54	-	43	24	54	14
cowboy hats		38	32	28	27	20	23	26	20	15	12	12	14	12	-	17	13	6	10	12	13	14	10	14	8	15	9	10	11	11	11	8	9	4	7	11	19	-	41	22
kids western		25	9	7	7	6	6	4	6	4	3	3	3	2	1	2	1	2	1	2	3	1	3	3	3	3	3	3	7	4	9	7	6	9	8	4	5	8	7	6
mens western		40	36	24	19	15	16	14	5	6	6	4	4	4	7	8	6	4	6	4	5	4	4	4	5	5	4	6	8	8	8	6	6	9	5	6	10	6	8	8
womens western boots		13	13	23	13	12	14	12	11	25	19	17	17	15	16	15	13	12	13	12	13	19	18	18	16	12	20	20	20	19	18	26	24	21	19	15	17	15	23	28
western shirts men		16	15	22	9	12	12	7	5	7	7	5	4	4	4	5	4	4	5	4	5	4	4	5	4	5	6	7	7	7	7	6	9	11	7	11	7	7	7	8
Western saddlery		1	4	3	1	1	1	1	1	1	1	46	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	5	5	4	5	3	5	5	6	6	4	5	2
western shirts women		12	10	17	10	11	11	11	11	8	10	8	6	9	9	6	3	3	4	6	7	8	7	7	8	5	13	13	12	12	13	12	11	6	3	2	4	-	-	5
western spurs		4	4	3	3	2	2	3	2	2	2	3	1	1	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	1	1	1	1
western bridle		4	4	6	4	3	3	5	4	4	3	4	4	4	3	4	4	4	4	4	3	4	3	3	3	3	4	5	5	9	7	5	2	8	1	3	6	4	1	1
western saddle pad		12	10	12	10	9	9	12	9	9	9	76	7	7	7	3	4	5	5	5	5	5	4	4	4	3	4	2	5	4	3	9	3	4	7	7	5	4	2	2
akubra hats		-	-	52	49	32	50	38	25	30	24	24	26	23	22	45	33	41	24	44	27	29	42	34	39	25	26	27	27	39	31	32	35	34	33	59	50	60	56	53
ringers western		34	37	32	31	31	30	18	12	9	18	22	14	8	10	12	16	16	15	18	15	9	11	11	11	12	9	16	11	19	20	23	14	23	13	13	20	30	32	32
ariat boots		30	32	24	24	30	29	27	22	26	28	23	16	17	14	10	10	8	13	8	9	10	9	9	9	9	8	9	8	9	10	10	9	8	6	13	27	53	13	32
cinch jeans		34	15	14	11	10	9	7	8	8	8	6	5	4	6	6	3	5	5	5	5	3	4	8	7	4	5	7	8	8	22	29	16	-	22	15	8	17	16	17
ariat australia		-	-	-	-	-	-	-	-	-	-	11	12	12	10	8	9	10	7	9	8	8	8	6	6	6	6	6	7	7	7	7	9	8	9	6	7	6	9	8
