		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-05-29	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-05	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
pallets Melbourne		3	3	3	4	4	4	4	4	4	4	4	4	3	3	3	4	5	4	3	4	3	4	2	4	4	4	4	4	4	4	4	5	5	3	5	4	4	4
timber pallets Melbourne		2	1	3	3	3	3	2	3	4	4	4	4	3	2	4	6	6	5	4	4	5	4	4	2	3	4	5	5	5	5	4	4	4	2	2	3	3	4
Pallets Dandenong		5	5	7	5	5	6	6	6	6	6	6	6	6	6	6	7	7	7	8	7	6	5	5	5	6	6	8	9	8	6	7	8	7	6	6	5	5	5
pallets noble park		1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	3	3	2	1	2	2	1	1	2	2	2	2	2	2	1	1	2	1	2
pallets hallam		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3
Pallets Bayswater		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	2	2	2	2	-	3	3	3	3	3	3	3	3	4	3	3	3	2	2	3
pallets ringwood		1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pallets moorabbin		1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1
pallets tullamarine		2	2	2	2	2	2	1	2	1	1	2	2	3	3	3	3	4	4	3	2	2	2	2	3	2	2	4	2	3	3	2	2	2	2	2	2	1	1
pallets oakleigh		1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2
pallets mulgrave		2	2	1	1	2	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	1	2	3	3	2	2	2	2	2	2
pallets Carrum downs		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pallets clayton		3	2	2	2	2	2	2	2	2	2	2	1	2	1	1	2	2	2	2	2	2	2	1	2	2	2	1	3	3	4	4	4	3	3	3	3	3	4
pallet for sale		2	4	3	3	3	3	3	4	4	75	4	4	4	4	5	7	6	6	5	6	5	6	5	6	8	3	4	3	3	5	10	9	8	4	4	6	6	3
custom pallets		15	16	7	5	9	9	10	11	9	9	15	15	15	15	8	15	15	15	12	9	9	7	9	12	12	11	12	12	14	13	12	15	15	12	12	10	14	15
export pallets		22	25	38	32	33	35	37	44	25	39	37	35	10	29	11	35	31	25	34	11	14	12	8	21	24	9	9	11	9	7	13	10	16	8	10	6	8	6
export pallets dandenong		3	4	4	4	4	5	3	3	3	5	4	4	4	-	4	3	2	2	1	1	1	1	2	2	2	1	2	2	2	2	3	2	2	2	2	2	2	3
second hand pallets		2	1	1	3	2	2	1	4	2	4	3	3	3	3	2	6	5	6	3	5	5	5	4	4	2	3	3	3	3	4	4	6	5	2	2	2	5	4
used pallets for sale		8	3	4	6	4	6	5	6	6	5	6	6	6	5	3	6	6	6	6	6	6	6	6	6	6	7	10	9	9	9	9	8	7	7	7	7	8	8
cheap pallets Melbourne		1	1	4	2	4	3	3	4	4	3	3	4	4	6	4	4	4	4	4	4	4	4	4	4	4	3	4	4	3	5	4	5	7	3	3	3	3	3
second hand pallets carrum downs		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Second hand pallets dandenong		3	3	3	3	3	5	4	3	2	3	4	3	4	4	4	5	5	4	4	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	4	5
Used pallets dandenong		4	4	4	4	4	5	5	4	3	4	4	4	5	5	5	5	5	5	4	3	4	4	3	4	4	5	5	6	6	6	5	6	6	5	5	7	6	6
pallet recycling Melbourne		2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	39	47	61	52	43	55	43	45	41	42	41	44
recycle pallets		4	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	44	36	47	55	68	73	42	16	23	15	15	26
pallet manufacturers melbourne		2	3	3	3	4	5	4	4	4	4	4	5	4	3	3	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	6	4	4	4	4	4
pallet removal melbourne		2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	-	-	-	34	33	47	38	36	36	38	36	36
recycled pallets melbourne		4	4	3	3	5	3	2	3	2	2	2	2	2	1	1	2	2	2	2	1	1	1	1	1	1	1	51	56	53	65	60	73	63	63	62	46	38	45
used pallets		8	3	4	4	2	6	4	4	4	5	3	3	5	4	2	8	7	8	14	8	13	9	7	7	8	4	5	3	5	5	8	2	4	3	6	5	6	8
we buy pallets melbourne		8	8	5	6	6	7	5	5	8	6	6	6	6	5	6	9	7	6	7	8	6	5	6	6	6	6	6	9	6	7	6	6	6	5	7	6	6	7
pallets cheltenham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pallets keysborough		2	2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2
pallets croydon		1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	1	2
pallets thomastown		2	2	2	2	2	2	1	1	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pallets brighton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	3	2	2	2	1	1	1	1	1	1	4	6	3	-	2
pallets abbotsford		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pallets epping		3	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	3	2	2	3	2	3	2	2	2	2	2	2	2	2	2	2	3	4
pallets laverton		4	3	2	3	2	2	2	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	4	4
pallets preston		2	2	2	3	3	3	2	2	2	2	2	2	3	2	2	3	3	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	8	1
pallets braeside		4	2	2	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	8
