		2024-02-19	2024-03-15	2024-04-19	2024-05-14	2024-06-13	2024-07-19	2024-08-16	2024-09-23	2024-10-18	2024-11-14
Bankstown criminal lawyer		-	-	29	26	27	32	37	22	38	42
Bankstown family lawyer		-	-	44	15	17	16	13	14	22	25
Bankstown lawyer		-	-	29	30	38	42	40	46	53	60
Bankstown property lawyer		-	-	8	5	5	3	3	3	5	6
Blacktown criminal lawyer		-	-	28	26	30	29	35	30	39	42
Blacktown family lawyer		-	-	23	15	15	14	18	23	23	25
Blacktown lawyer		-	-	47	28	21	32	23	32	44	48
Blacktown property lawyer		-	-	15	11	6	4	6	6	10	9
Burwood criminal lawyer		-	-	33	26	26	28	34	39	37	32
Burwood family lawyer		-	-	7	7	6	6	12	15	16	17
Burwood lawyer		-	-	44	27	17	17	27	24	17	18
Burwood property lawyer		-	-	4	3	4	5	8	6	4	8
Campbelltown criminal lawyer		-	-	38	24	24	25	33	37	39	38
Campbelltown family lawyer		-	-	20	12	12	12	21	25	32	25
Campbelltown lawyer		-	-	43	29	33	50	30	41	45	53
Campbelltown property lawyer		-	-	12	11	6	5	8	10	11	14
Fairfield criminal lawyer		-	-	25	20	27	13	8	16	38	41
Fairfield family lawyer		-	-	17	13	16	8	8	9	9	24
Fairfield lawyer		-	-	40	28	39	4	4	48	41	79
Fairfield property lawyer		-	-	18	13	13	5	5	14	16	20
Liverpool criminal lawyer		-	-	24	20	19	18	29	30	28	34
Liverpool family lawyer		-	-	62	35	17	17	54	17	22	30
Liverpool lawyer		-	-	53	35	70	37	35	65	36	-
Liverpool property lawyer		-	-	14	7	9	9	8	10	11	20
Oran park criminal lawyer		-	-	2	2	1	2	2	3	3	3
Oran park family lawyer		-	-	8	5	4	4	5	5	7	8
Oran park lawyer		-	-	15	12	9	8	10	10	12	12
Oran park property lawyer		-	-	1	12	1	1	11	6	5	8
Parramatta criminal lawyer		-	-	65	41	44	-	47	83	61	63
Parramatta family lawyer		-	-	49	31	42	46	38	63	54	59
Parramatta lawyer		-	-	-	81	76	82	79	89	82	96
Parramatta property lawyer		-	-	32	18	17	15	26	20	20	28
Wollongong family lawyer		-	-	56	35	56	43	42	47	61	64
Wollongong lawyer		-	-	-	-	-	-	95	-	-	-
Wollongong property lawyer		-	-	17	11	14	16	19	19	25	32
Wollongong criminal lawyer		-	-	43	31	27	34	46	35	46	48
