		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
apr dealer melbourne		2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
apr performance melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
audi mechanic melbourne		10	7	7	5	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	5	4	3	6	4	5	7	6	7	8	9	13	8	5	5	4	7	5
audi performance melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
audi repairs melbourne		9	10	7	5	5	5	6	3	3	3	3	3	2	3	3	2	3	3	3	5	4	5	5	8	7	8	8	10	10	10	12	7	6	6	6	6	8
audi service melbourne		11	10	11	11	8	6	12	11	17	13	9	9	9	7	4	4	4	5	5	7	8	8	9	7	7	10	12	10	10	18	23	12	12	16	15	12	16
audi specialist melbourne		8	7	7	5	2	5	5	3	3	2	2	2	2	2	2	2	2	1	2	5	4	5	7	6	5	8	8	9	8	12	12	7	5	3	3	6	5
audi tuning melbourne		3	3	4	3	5	4	4	3	4	4	4	2	5	4	3	4	2	4	3	3	3	3	5	5	5	5	6	6	6	6	4	6	6	6	4	6	6
bmw mechanic melbourne		18	25	16	14	12	11	12	12	12	11	11	15	12	13	14	14	14	19	18	27	21	24	29	24	23	32	34	32	17	18	24	21	20	17	14	17	15
bmw repairs melbourne		14	15	13	9	11	10	11	12	11	10	9	9	10	12	10	13	12	14	13	22	17	20	24	21	26	29	32	36	23	19	22	15	17	13	12	12	12
Audi mechanic berwick		9	8	5	5	5	5	5	5	6	22	6	6	6	6	6	7	6	6	6	6	6	5	5	6	5	5	6	7	7	8	6	8	6	8	8	7	8
Audi service berwick		9	9	7	7	8	7	9	9	10	14	9	9	11	9	7	9	14	10	18	8	8	8	13	11	13	11	11	11	12	11	11	21	13	22	19	16	19
