		2021-02-18	2021-03-17	2021-04-15	2021-05-14	2021-06-07	2021-07-15	2021-07-28	2021-08-24	2021-09-16	2021-10-23	2021-11-18	2021-12-16	2022-01-20	2022-02-18	2022-03-18	2022-04-22	2022-05-18	2022-06-14	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2024-02-13
air condition service bexley		13	11	8	10	10	11	14	14	41	27	35	39	22	22	28	43	47	43	50	42	57	30	23	24
air condition service hurstville		16	21	19	21	20	24	22	25	18	24	27	30	27	21	35	50	36	39	30	28	-	34	37	72
auto electrician hurstville		4	4	4	3	4	3	3	3	2	3	3	2	2	3	3	3	3	3	2	3	2	2	3	6
auto repair blakehurst		7	7	6	14	14	13	13	10	8	5	7	8	8	9	6	12	13	12	13	10	6	6	9	11
auto repair hurstville		3	3	3	4	4	4	5	5	3	3	4	4	6	6	5	8	8	6	6	5	4	4	6	6
auto service bexley		2	2	2	2	2	1	1	2	2	2	2	1	1	2	2	2	2	1	1	2	2	2	2	2
Automotive repair blakehurst		7	7	6	10	13	14	15	9	8	6	7	7	8	4	7	9	7	11	10	9	7	6	12	11
Automotive repair hurstville		2	2	2	3	3	4	4	3	2	2	3	4	4	4	5	7	8	5	5	5	4	4	6	6
car air conditioning regas blakehurst		1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1
car air conditioning regas hurstville		4	4	5	4	4	4	5	5	4	4	5	4	3	3	4	5	5	5	4	6	5	5	5	8
Car aircon regas blakehurst		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2
Car aircon regas hurstville		5	4	5	4	4	4	5	5	3	4	5	4	4	4	3	4	4	5	5	5	5	5	4	8
car mechanic bexley		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
car mechanic hurstville		3	5	4	5	5	4	4	4	3	3	4	5	6	6	6	7	8	7	7	7	5	5	7	6
