		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-10	2022-11-17	2022-12-15	2023-01-03	2023-02-17	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-10	2024-08-16	2024-09-20	2024-10-18	2024-11-14
female physiotherapist bulleen		1	1	2	2	2	1	2	1	1	1	2	1	1	1	1	1	2	2	2	1	1	2	2	1	1	1	2	1	1	2	3	2	2	1	1	1	1
headache treatment bulleen		2	2	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
osteopathy bulleen		7	8	9	10	12	9	10	23	17	10	18	16	10	13	23	18	14	13	13	14	10	25	28	25	10	11	10	10	10	10	11	36	30	33	31	9	8
physiotherapy bulleen		1	1	1	1	1	1	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	4	4	2	3	3	3	2	2
shoulder pain treatment bulleen		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sport physiotherapy bulleen		2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	3	4	3	4	2	3	3	4	5	4	5	4	4	4	5	4	5	4	4	5	5	3
clinical pilates bundoora		4	5	6	4	5	4	4	4	5	5	5	4	6	5	5	7	7	7	7	8	6	6	11	5	7	8	7	7	7	9	7	8	9	9	11	11	9
dry needling bundoora		4	7	4	4	4	4	3	5	5	3	2	2	3	3	3	4	3	3	3	3	3	3	4	4	4	4	4	3	3	3	3	3	2	3	5	5	5
female physiotherapist bundoora		4	5	5	7	6	7	6	7	6	7	6	6	5	5	5	4	5	6	6	5	5	4	5	3	5	4	4	4	4	6	4	4	3	4	6	6	5
headache treatment bundoora		3	4	4	2	2	2	2	3	5	5	3	3	2	2	2	3	4	2	3	4	2	1	1	1	1	2	2	1	1	1	1	1	1	1	2	2	4
heel pain bundoora		13	19	10	12	12	10	10	14	14	13	11	11	12	10	10	9	5	5	7	6	5	1	6	5	6	8	6	8	9	18	8	13	10	9	10	12	15
lower back pain treatment bundoora		3	3	2	2	2	2	2	3	3	2	3	5	2	4	2	3	3	2	2	2	3	2	2	2	2	3	2	2	2	2	1	1	2	1	2	1	2
neck pain treatment bundoora		3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	2	4	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	2
physio bundoora		2	3	3	3	2	3	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	3	2	2	2	3	3	3	3	2	2	2	2
physiotherapy bundoora		2	4	2	2	2	3	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	2	2	2	3	3	3	3	2	2	2	2
podiatry bundoora		30	31	19	27	39	29	27	29	28	34	24	30	30	25	27	26	23	24	26	25	37	36	41	42	20	58	64	26	57	57	57	56	54	67	69	55	63
shoulder pain treatment bundoora		1	2	3	2	2	3	3	2	2	3	4	3	3	2	3	3	2	3	3	3	1	1	2	2	2	2	2	2	2	2	2	3	2	2	2	2	3
sport physio bundoora		2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1
sports physiotherapy bundoora		1	2	2	2	1	2	2	2	3	3	2	2	2	2	2	2	2	2	3	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
clinical pilates coburg		3	3	3	3	3	3	2	3	4	5	4	4	5	6	6	9	9	12	10	17	17	13	13	11	9	10	10	10	11	9	7	9	9	9	9	10	12
dry needling coburg		13	13	11	11	11	11	8	7	7	8	7	7	9	6	6	7	6	8	9	9	9	10	9	9	8	9	11	8	8	8	7	9	8	7	7	10	8
