		2023-07-13	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-04-29	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
stone wholesalers		2	2	2	3	2	2	2	4	3	3	3	3	3	4	3	7	-	4
stone suppliers		8	10	8	9	11	9	11	9	12	14	9	9	11	5	6	19	13	16
stone suppliers melbourne		7	7	6	11	10	9	9	10	11	9	9	9	11	11	10	15	15	17
stone suppliers sydney		-	-	42	63	30	78	71	57	-	-	87	-	-	58	51	-	66	62
stone suppliers brisbane		-	-	-	67	67	-	70	-	83	77	-	33	34	-	41	63	63	-
stone suppliers adelaide		-	-	60	63	26	47	53	67	82	69	76	42	40	23	39	42	46	40
natural stone tiles		16	17	13	14	13	14	18	9	8	10	11	13	17	50	33	86	28	34
natural stone pavers		22	26	26	32	47	48	58	57	63	53	65	74	36	85	65	-	83	61
natural stone slabs		20	25	20	12	10	11	14	13	12	16	14	17	22	35	28	30	22	25
kitchen benchtops melbourne		-	-	-	-	-	90	-	93	43	-	41	64	71	57	65	-	77	93
kitchen benchtops sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bathroom tiles melbourne		-	-	-	-	-	43	79	67	67	61	45	70	70	60	55	-	95	75
kitchen tiles melbourne		58	51	47	41	58	26	34	40	23	22	20	46	48	45	39	70	48	53
stone slabs melbourne		7	8	8	8	9	8	8	10	9	9	8	10	9	10	10	12	14	11
stone slabs sydney		-	-	61	60	52	75	68	72	-	77	86	93	82	-	-	-	-	-
stone tiles melbourne		2	2	1	1	1	1	1	1	3	4	3	4	3	3	4	12	11	14
outdoor stone tiles		20	7	-	-	-	24	28	32	31	28	30	30	44	51	36	44	36	43
outdoor tiles melbourne		34	43	-	-	-	86	91	92	71	75	72	88	71	90	73	76	88	-
pavers melbourne		63	39	39	38	67	79	99	92	86	-	-	-	83	71	73	60	97	-
natural stone pavers melbourne		19	19	14	16	28	40	44	43	41	38	45	40	26	24	24	34	37	35
stone pavers melbourne		30	25	20	25	34	64	67	61	56	51	61	57	39	34	31	39	54	53
pool coping tiles		49	-	35	58	56	65	-	74	64	50	60	67	82	-	68	-	65	-
pool coping tiles melbourne		34	29	29	30	28	46	46	48	40	44	53	52	51	55	39	40	46	50
marble tiles melbourne		10	11	10	12	10	8	5	7	7	8	30	8	9	6	6	7	6	5
marble tiles sydney		-	-	-	89	-	-	-	93	86	94	94	-	83	78	56	72	59	65
marble slabs		5	3	6	3	4	5	6	5	4	5	5	5	6	16	10	13	68	8
marble slabs melbourne		3	3	3	4	4	5	6	7	5	4	3	5	4	4	6	8	22	6
marble slabs sydney		-	-	-	48	50	76	63	78	69	79	82	76	73	-	66	-	-	-
travertine tiles		-	27	15	24	27	46	42	37	24	18	32	39	48	-	68	-	-	-
travertine tiles melbourne		3	5	4	8	10	11	12	11	11	10	12	13	16	15	14	12	73	53
travertine pavers		89	77	64	60	48	46	82	54	48	55	66	-	72	-	-	-	-	-
travertine pavers melbourne		24	16	23	17	16	16	17	14	13	28	18	37	27	21	25	38	71	62
travertine pool coping		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
silver travertine		93	-	-	87	62	76	94	89	-	92	-	-	95	-	72	-	97	-
silver travertine tiles		48	68	46	69	49	55	83	75	65	65	75	76	91	-	86	72	86	-
silver travertine pavers		73	-	-	87	72	94	-	-	-	87	-	96	-	-	-	-	-	-
classic travertine		73	71	47	74	60	62	67	69	54	52	54	72	65	-	87	-	-	-
quartzite slabs		39	32	24	26	29	33	36	39	26	52	52	51	69	57	37	40	54	47
limestone pavers		63	53	48	68	60	78	-	-	-	-	-	-	-	-	-	-	-	-
limestone pavers melbourne		16	18	26	36	31	41	-	49	53	44	43	46	34	31	34	39	41	40
super white		60	40	28	17	21	22	38	45	61	46	64	69	58	50	64	39	52	-
super white dolomite		32	29	20	18	26	33	25	20	14	26	31	25	27	45	42	34	35	29
tundra grey		7	8	9	10	9	8	11	11	10	12	9	4	12	14	44	6	84	79
