		2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-08	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
Roof Repairs Coburg		-	56	14	13	8	8	7	4	4	5	5	8	7	6	6	6	4	4	3	3	3	3	3	3	2	2	2	2	2	3	3	3	2	1	2	3
Roof Repairs Eltham		10	41	10	7	7	7	7	6	6	5	6	4	5	4	3	3	3	3	2	2	2	2	2	2	2	3	5	6	9	7	8	6	11	9	8	9
Roof Repairs Greensborough		6	7	7	8	8	8	8	8	9	7	5	5	5	6	8	8	8	6	7	6	7	3	7	6	6	7	6	4	5	5	4	4	4	7	7	7
Roof Repairs Bundoora		11	9	10	11	8	9	9	10	11	10	8	9	9	5	5	11	7	5	6	8	6	6	9	7	5	7	10	10	13	12	9	10	9	8	8	15
Roof Repairs Preston		10	5	6	9	7	8	6	8	8	8	7	7	6	3	59	68	55	4	5	3	4	3	3	2	3	3	3	4	5	8	9	5	10	11	6	10
Roof Repairs Craigieburn		10	10	10	11	9	7	6	7	6	6	5	6	7	6	6	6	6	5	6	6	8	5	7	6	5	7	7	6	7	6	10	7	8	7	6	8
Roof Repairs Thornbury		8	8	8	8	8	6	6	7	7	7	5	6	4	2	2	4	4	4	4	4	6	6	9	5	4	4	4	4	4	4	5	5	6	6	5	7
Roof Repairs Brunswick		73	86	-	15	16	17	11	13	13	12	9	8	7	8	8	6	5	7	6	6	8	4	5	3	2	3	2	2	4	4	3	4	8	8	7	6
Roof Repairs Epping		9	8	6	5	5	5	4	4	5	4	4	2	2	1	1	2	2	2	2	1	2	2	3	4	5	6	7	5	5	7	5	7	7	6	9	9
Roof Repairs Reservoir		10	8	7	7	7	9	7	8	8	7	7	9	8	6	5	5	5	5	5	5	6	4	4	4	5	5	7	3	4	5	5	3	5	5	10	16
Roof Repairs Doreen		5	5	4	6	5	5	5	4	5	5	5	3	4	2	2	3	3	3	4	3	3	3	4	4	5	4	4	1	1	2	2	3	3	4	3	5
Roof Repairs Thomastown		-	10	10	14	8	62	6	55	8	6	7	5	5	5	3	2	2	3	4	2	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1
Roof Repairs Wallan		4	5	5	5	5	5	5	5	5	4	5	3	3	3	3	4	4	3	3	3	5	3	3	3	3	3	3	2	2	2	2	4	2	3	2	2
Roof Repairs Lalor		5	4	5	5	3	3	3	3	3	2	2	3	6	7	7	8	8	6	6	5	6	6	6	6	7	6	6	1	1	1	3	4	5	5	8	12
Guttering Coburg		-	-	10	12	6	5	5	4	6	4	4	4	4	7	4	7	4	4	4	4	3	9	7	7	8	7	9	4	5	5	6	7	5	4	8	9
Guttering Eltham		8	67	6	5	6	5	5	5	5	5	5	5	5	4	4	5	5	4	4	3	3	5	3	3	3	3	3	3	3	3	3	4	4	3	3	3
Guttering Greensborough		8	6	9	8	5	5	5	4	4	4	4	4	3	4	4	4	4	3	4	3	5	3	4	3	5	4	4	2	2	2	2	3	2	2	2	2
Guttering Bundoora		12	10	9	10	7	8	7	7	7	8	6	8	6	5	4	4	4	1	3	4	4	3	4	3	4	4	4	3	4	4	5	5	4	4	5	4
Guttering Preston		6	5	3	2	2	3	3	3	3	3	3	2	2	2	43	42	53	45	67	14	13	17	16	2	1	3	3	1	1	2	2	2	2	3	3	4
Guttering Craigieburn		10	11	10	8	7	5	10	7	7	5	3	3	1	5	4	6	5	4	5	4	4	2	3	2	3	4	3	3	3	3	3	3	3	2	2	2
Guttering Thornbury		4	2	3	3	4	3	3	3	3	3	4	2	3	3	3	3	3	2	8	5	3	6	1	1	1	1	1	1	1	2	2	2	2	2	2	2
