		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-08	2022-08-17	2022-09-16	2022-10-13	2022-11-16	2022-12-15	2022-12-20	2023-01-10	2023-02-03	2023-02-21	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-25	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-14	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
blocked drains allenstown		1	1	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1
blocked drains bargara		1	1	2	2	2	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blocked drains berserker		1	3	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blocked drains boyne island		3	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
blocked drains bundaberg		4	5	5	4	4	4	4	-	4	4	6	5	5	3	3	3	3	3	3	3	5	5	6	6	6	6	5	6	6	6	4	3	2	2	2	1	2	1	1
blocked drains burnett heads		1	1	2	1	2	2	2	3	3	2	3	3	3	-	1	1	2	1	1	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
blocked drains calliope		3	2	2	2	2	1	1	1	2	2	2	3	3	2	2	2	2	1	1	2	2	2	1	2	3	2	3	3	3	2	3	1	1	1	1	1	2	1	1
blocked drains clinton		1	1	2	2	2	2	2	2	2	2	3	2	1	2	1	1	2	2	2	2	2	3	4	3	1	1	2	3	2	3	4	4	4	4	2	2	2	2	2
blocked drains cooee bay		1	1	1	1	1	2	2	2	2	2	1	1	1	1	2	1	1	1	1	1	3	3	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1
blocked drains coral cove		1	1	2	2	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blocked drains craignish		1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
