		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-05	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-17	2023-07-31	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-15	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
body corp Plumber Melbourne		5	5	6	6	6	6	6	35	2	2	2	2	4	8	5	11	2	3	2	1	5	6	1	1	1	1	1	1	1	7	6	9	8	7	12	13	10	9
gas hot water systems melbourne		42	38	50	38	85	70	66	71	52	49	45	30	40	34	32	29	31	29	28	-	23	26	30	32	24	22	30	81	62	28	-	63	89	82	90	94	-	-
hot water heater installation		55	46	65	55	32	40	10	26	9	9	10	6	7	10	11	25	41	41	37	41	37	-	-	34	30	-	-	-	-	65	-	40	-	-	-	-	-	-
hot water heater repair service		15	21	10	4	7	65	35	94	68	28	64	56	69	24	80	66	67	19	50	14	12	13	11	45	44	51	30	69	75	80	76	44	95	31	19	15	19	15
hot water installation melbourne		16	12	11	12	31	18	22	19	16	17	10	9	8	7	8	7	8	9	9	11	11	11	11	13	11	10	14	12	13	17	16	23	32	31	38	35	39	39
hot water system installation melbourne		11	11	9	12	18	11	12	10	10	11	8	8	7	7	7	4	7	7	8	9	8	8	10	13	10	11	13	12	13	15	14	18	32	24	29	33	29	17
hot water systems melbourne		27	38	43	33	76	74	75	67	50	48	43	31	23	34	22	24	23	21	26	29	24	28	31	30	29	13	19	23	22	24	32	55	71	63	72	76	72	81
real estate plumber Melbourne		1	1	1	1	1	1	1	14	1	1	2	2	2	2	2	3	3	3	2	3	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
aquamax hot water system melbourne		8	7	4	2	2	6	6	5	6	5	5	4	3	4	6	9	10	9	9	7	7	5	7	6	13	9	12	19	16	17	12	12	10	9	13	17	15	16
bosch hot water system melbourne		3	3	3	3	3	8	6	7	7	7	6	5	6	6	15	17	16	16	11	11	10	7	7	8	10	8	12	12	14	13	15	16	10	8	12	15	21	18
dux hot water system melbourne		17	16	28	16	15	13	13	13	11	12	34	38	13	15	16	15	8	14	15	14	6	7	10	8	12	10	15	13	9	7	7	12	8	12	7	12	7	10
gas hot water system repairs melbourne		22	29	23	29	55	39	41	39	23	31	28	26	25	16	11	11	14	18	17	25	19	15	17	13	15	13	17	15	17	17	24	51	66	50	37	32	18	31
hot water repairs melbourne		18	35	23	19	32	40	51	42	24	42	28	29	29	13	11	10	15	25	19	42	25	18	17	15	13	11	14	21	19	20	87	29	51	40	84	29	19	16
hot water replacement melbourne		18	23	22	13	29	19	33	32	21	16	13	12	7	9	9	9	10	12	12	16	11	11	11	11	11	10	13	13	14	15	16	22	33	30	51	36	40	43
hot water service melbourne		19	30	19	20	66	27	29	28	24	26	22	18	13	9	10	9	13	14	16	18	13	11	13	11	12	13	11	14	15	16	16	21	33	30	35	32	50	43
hot water system repair melbourne		19	18	17	15	21	30	33	50	27	25	17	18	18	9	10	10	10	13	14	17	13	13	13	13	14	11	12	15	17	17	20	26	-	38	30	36	33	37
hot water system replacement melbourne		14	13	14	13	25	14	18	12	12	16	11	10	7	8	7	7	8	10	12	12	10	11	10	12	11	9	10	9	12	15	15	15	31	28	42	34	30	34
hot water system service melbourne		17	17	21	17	31	38	45	38	26	29	14	10	8	9	12	8	11	11	16	17	11	10	12	13	12	10	11	12	14	18	18	25	37	22	39	43	43	43
rheem hot water system melbourne		7	7	7	8	8	8	8	7	12	12	10	12	10	12	15	16	15	15	11	13	8	6	5	8	12	13	13	15	9	13	12	11	12	10	17	18	21	22
rinnai hot water system melbourne		9	7	7	7	10	21	9	10	8	7	7	7	7	7	9	8	9	5	5	7	7	8	4	5	12	8	10	12	7	6	5	11	6	6	11	9	15	10
thermann hot water system melbourne		9	4	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	6	7	6	6	8	7	6	5	6	6	5	5	6	6	8
vulcan hot water system melbourne		8	7	7	6	8	6	7	13	12	10	7	8	7	6	21	6	22	18	14	13	7	6	6	6	8	6	6	10	6	5	6	10	6	7	11	10	44	16
hot water unit replacement aberfeldie		1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	3	1	1	1	1
hot water unit replacement alphington		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2
hot water unit replacement armadale		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	2
hot water unit replacement ascot vale		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	5	5	1	3	3	1	1	2	3	3	2	4
hot water unit replacement balwyn		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2
hot water unit replacement bellfield		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
hot water unit replacement berwick		1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	3	3	2	1	1	2	2	2	1	3	2	2	2	2	2	2	1	2	2	2	3
hot water unit replacement blackburn		1	1	1	1	2	2	1	2	2	2	2	2	1	2	1	4	2	2	2	2	2	2	2	2	3	2	2	2	2	2	3	2	8	3	3	2	1	2
hot water unit replacement box hill		3	3	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	1	2	1	1	1	1
hot water unit replacement braybrook		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
hot water unit replacement broadmeadows		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
hot water unit replacement bundoora		1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
hot water unit replacement burwood		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3
hot water unit replacement caroline springs		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	3
hot water unit replacement coburg		3	3	1	1	2	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	1	2	3	3	2	3	3	2	2	2	4	3	1	2	1	2
hot water unit replacement craigieburn		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
hot water unit replacement cranbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	2	1	2	2	2	2	3	3	3	4	3	4	6	3	3	3	4	4
hot water unit replacement croydon		1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
hot water unit replacement doreen		1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
hot water unit replacement eaglemont		1	2	1	1	2	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
